case_id,checkpoint_id,step_id,step_position,split,model_source,H_t,H_t_minus_1,delta_H,A_t,A_t_plus_1,I_nec,I_plus,I_minus,burst_flag,gate_pass,unverifiable_flag,boundary_flag,difficulty_tier
dtest_case_0020,dtest_case_0020_t0,step_t0_0020,t0,dtest,gpt-4,0.2384,0.2111,0.0273,0.8197,0.805,0.2708,0.3494,0.161,False,True,False,False,hard
dtest_case_0021,dtest_case_0021_t2,step_t2_0021,t2,dtest,codellama,0.7903,0.1554,0.6349,0.1095,0.0,0.2456,0.3416,0.329,False,True,False,False,medium
dtest_case_0022,dtest_case_0022_t1,step_t1_0022,t1,dtest,codellama,0.376,0.1745,0.2015,0.6735,0.2121,0.1487,0.3601,0.0426,False,True,False,False,medium
dtest_case_0022,dtest_case_0022_t2,step_t2_0022,t2,dtest,codellama,0.6187,0.376,0.2427,0.1699,0.0,-0.3997,0.3165,0.1977,False,False,False,False,medium
dtest_case_0023,dtest_case_0023_t0,step_t0_0023,t0,dtest,gpt-4,0.2118,0.0962,0.1156,0.7977,0.1915,0.3793,0.0922,0.0361,False,False,False,False,complex
dtest_case_0023,dtest_case_0023_t1,step_t1_0023,t1,dtest,gpt-4,0.5307,0.2118,0.3189,0.4267,0.2249,-0.1338,0.3608,0.2442,False,True,False,False,complex
dtest_case_0024,dtest_case_0024_t1,step_t1_0024,t1,dtest,mistral,0.9293,0.0838,0.8455,0.2677,0.158,-0.2841,0.081,0.3366,False,False,False,False,hard
dtest_case_0024,dtest_case_0024_t2,step_t2_0024,t2,dtest,mistral,0.5696,0.9293,-0.3597,0.3305,0.2119,0.0722,0.1758,0.1651,False,True,False,False,hard
dtest_case_0025,dtest_case_0025_t0,step_t0_0025,t0,dtest,gpt-4,0.2893,0.2203,0.069,0.6766,0.6311,-0.0988,0.4838,0.0021,False,True,False,False,medium
dtest_case_0025,dtest_case_0025_t2,step_t2_0025,t2,dtest,gpt-4,0.1758,0.2893,-0.1135,0.9326,0.6921,0.295,0.3453,0.2085,False,True,False,False,medium
dtest_case_0026,dtest_case_0026_t1,step_t1_0026,t1,dtest,claude-3,0.4333,0.2396,0.1937,0.8736,0.9036,0.2621,0.3186,0.3922,False,False,False,True,easy
dtest_case_0026,dtest_case_0026_t2,step_t2_0026,t2,dtest,claude-3,0.3087,0.4333,-0.1246,0.8926,0.8797,0.235,0.0221,0.2353,False,False,False,True,easy
dtest_case_0027,dtest_case_0027_t2,step_t2_0027,t2,dtest,gemini-pro,0.7501,0.1683,0.5818,0.1908,0.1607,0.2655,0.0963,0.0461,False,True,False,False,medium
dtest_case_0029,dtest_case_0029_t1,step_t1_0029,t1,dtest,claude-3,0.3681,0.2363,0.1318,0.6692,0.7821,0.1612,0.3223,0.2601,False,True,False,False,medium
dtest_case_0029,dtest_case_0029_t2,step_t2_0029,t2,dtest,claude-3,0.2743,0.3681,-0.0938,0.8184,0.5972,0.1651,0.2205,0.1618,False,True,False,False,medium
dtest_case_0030,dtest_case_0030_t0,step_t0_0030,t0,dtest,mistral,0.3716,0.2908,0.0808,0.8816,0.3451,0.1601,0.2134,0.3507,False,True,False,False,hard
dtest_case_0030,dtest_case_0030_t2,step_t2_0030,t2,dtest,mistral,0.7079,0.3716,0.3363,0.4957,0.4956,-0.0073,0.192,0.373,False,True,False,False,hard
dtest_case_0031,dtest_case_0031_t0,step_t0_0031,t0,dtest,claude-3,0.0538,0.0459,0.0079,0.681,0.615,0.1399,0.2904,0.1087,False,True,False,False,hard
dtest_case_0031,dtest_case_0031_t1,step_t1_0031,t1,dtest,claude-3,0.0867,0.0538,0.0329,0.7677,0.809,0.2661,0.0017,0.1869,False,True,False,False,hard
dtest_case_0032,dtest_case_0032_t2,step_t2_0032,t2,dtest,gemini-pro,0.3911,0.2289,0.1622,0.8562,0.7869,0.3552,0.0226,0.0438,False,True,False,False,hard
dtest_case_0033,dtest_case_0033_t1,step_t1_0033,t1,dtest,gemini-pro,0.556,0.2891,0.2669,0.4091,0.1536,-0.2646,0.4912,0.3537,False,False,False,False,hard
dtest_case_0033,dtest_case_0033_t2,step_t2_0033,t2,dtest,gemini-pro,0.9451,0.556,0.3891,0.3845,0.3683,0.1008,0.4189,0.0922,False,False,False,False,hard
dtest_case_0034,dtest_case_0034_t1,step_t1_0034,t1,dtest,codellama,0.5542,0.0617,0.4925,0.2228,0.0647,-0.1171,0.4131,0.3203,False,True,False,False,complex
dtest_case_0035,dtest_case_0035_t0,step_t0_0035,t0,dtest,claude-3,0.2573,0.1677,0.0896,0.8338,0.1541,0.1576,0.2456,0.3985,False,False,False,False,hard
dtest_case_0035,dtest_case_0035_t2,step_t2_0035,t2,dtest,claude-3,0.7085,0.2573,0.4512,0.3303,0.1433,-0.0826,0.4475,0.3441,False,True,False,False,hard
dtest_case_0036,dtest_case_0036_t1,step_t1_0036,t1,dtest,codellama,0.2065,0.1182,0.0883,0.8168,0.6178,0.3261,0.0177,0.1316,False,False,False,False,complex
dtest_case_0036,dtest_case_0036_t2,step_t2_0036,t2,dtest,codellama,0.3441,0.2065,0.1376,0.7485,0.6853,-0.0975,0.3479,0.0195,False,True,False,False,complex
dtest_case_0037,dtest_case_0037_t1,step_t1_0037,t1,dtest,claude-3,0.4348,0.0774,0.3574,0.9631,0.9966,-0.0692,0.4415,0.2064,False,False,False,False,easy
dtest_case_0037,dtest_case_0037_t2,step_t2_0037,t2,dtest,claude-3,0.2785,0.4348,-0.1563,0.8817,0.7458,0.3322,0.367,0.2085,False,False,False,False,easy
dtest_case_0038,dtest_case_0038_t1,step_t1_0038,t1,dtest,codellama,0.1481,0.0893,0.0588,0.7061,0.1836,0.0193,0.465,0.0423,False,True,False,False,medium
dtest_case_0038,dtest_case_0038_t2,step_t2_0038,t2,dtest,codellama,0.5851,0.1481,0.437,0.4467,0.2064,-0.3138,0.4395,0.0021,False,True,False,False,medium
dtest_case_0039,dtest_case_0039_t1,step_t1_0039,t1,dtest,gemini-pro,0.9089,0.0503,0.8586,0.3003,0.3527,-0.3965,0.0966,0.0336,True,True,False,False,easy
dtest_case_0039,dtest_case_0039_t2,step_t2_0039,t2,dtest,gemini-pro,0.5521,0.9089,-0.3568,0.2195,0.2172,0.3093,0.0642,0.1133,False,True,False,False,easy
dtest_case_0040,dtest_case_0040_t1,step_t1_0040,t1,dtest,mistral,0.2229,0.26,-0.0371,0.7873,0.6718,0.2768,0.3944,0.0695,False,False,False,False,hard
dtest_case_0041,dtest_case_0041_t1,step_t1_0041,t1,dtest,codellama,0.4289,0.0916,0.3373,0.9198,0.3334,0.1368,0.029,0.0299,False,False,False,False,complex
dtest_case_0041,dtest_case_0041_t2,step_t2_0041,t2,dtest,codellama,0.9456,0.4289,0.5167,0.3542,0.2427,-0.241,0.2972,0.1534,True,False,False,False,complex
dtest_case_0042,dtest_case_0042_t1,step_t1_0042,t1,dtest,claude-3,0.1987,0.2547,-0.056,0.7384,0.6004,-0.0205,0.2343,0.3777,False,True,False,False,medium
dtest_case_0042,dtest_case_0042_t2,step_t2_0042,t2,dtest,claude-3,0.3917,0.1987,0.193,0.8345,0.628,0.0492,0.42,0.3091,False,True,False,False,medium
dtest_case_0043,dtest_case_0043_t0,step_t0_0043,t0,dtest,claude-3,0.1025,0.0,0.1025,0.9871,0.0625,0.2656,0.4548,0.3429,False,False,False,False,complex
dtest_case_0044,dtest_case_0044_t0,step_t0_0044,t0,dtest,gemini-pro,0.354,0.2877,0.0663,0.7592,0.7283,0.2622,0.3729,0.0801,False,False,False,False,easy
dtest_case_0044,dtest_case_0044_t2,step_t2_0044,t2,dtest,gemini-pro,0.336,0.354,-0.018,0.847,0.7291,0.1716,0.0796,0.0815,False,True,False,False,easy
dtest_case_0045,dtest_case_0045_t1,step_t1_0045,t1,dtest,claude-3,0.1115,0.1634,-0.0519,0.8356,0.0571,0.2984,0.1471,0.3647,False,False,False,False,complex
dtest_case_0045,dtest_case_0045_t2,step_t2_0045,t2,dtest,claude-3,0.5835,0.1115,0.472,0.2579,0.2576,-0.2607,0.3037,0.099,False,True,False,False,complex
dtest_case_0046,dtest_case_0046_t1,step_t1_0046,t1,dtest,gpt-4,0.1143,0.2129,-0.0986,0.7641,0.2861,0.1166,0.4922,0.0598,False,True,False,False,medium
dtest_case_0046,dtest_case_0046_t2,step_t2_0046,t2,dtest,gpt-4,0.8062,0.1143,0.6919,0.228,0.0,-0.2112,0.3285,0.3028,False,False,False,False,medium
dtest_case_0047,dtest_case_0047_t1,step_t1_0047,t1,dtest,mistral,0.3397,0.2373,0.1024,0.7011,0.6411,0.1855,0.0092,0.1929,False,True,False,False,easy
dtest_case_0048,dtest_case_0048_t2,step_t2_0048,t2,dtest,codellama,0.6557,0.244,0.4117,0.4736,0.4555,0.1671,0.4413,0.033,False,False,False,False,medium
dtest_case_0049,dtest_case_0049_t0,step_t0_0049,t0,dtest,mistral,0.1931,0.1448,0.0483,0.9921,0.6803,0.2466,0.4107,0.0165,False,True,False,False,medium
dtest_case_0050,dtest_case_0050_t2,step_t2_0050,t2,dtest,gemini-pro,0.9282,0.0811,0.8471,0.4533,0.3046,-0.2534,0.3065,0.1195,False,False,False,False,medium
dtest_case_0051,dtest_case_0051_t0,step_t0_0051,t0,dtest,codellama,0.7814,0.6639,0.1175,0.3255,0.2438,-0.2357,0.2765,0.239,False,True,False,False,medium
dtest_case_0051,dtest_case_0051_t1,step_t1_0051,t1,dtest,codellama,0.5183,0.7814,-0.2631,0.1238,0.2254,0.2624,0.2966,0.2601,False,True,False,False,medium
dtest_case_0053,dtest_case_0053_t0,step_t0_0053,t0,dtest,gpt-4,0.2963,0.2469,0.0494,0.8146,0.3477,0.3359,0.2168,0.0175,False,True,False,False,hard
dtest_case_0054,dtest_case_0054_t1,step_t1_0054,t1,dtest,gemini-pro,0.5094,0.2133,0.2961,0.1995,0.267,0.1466,0.0408,0.1613,False,True,False,False,medium
dtest_case_0055,dtest_case_0055_t0,step_t0_0055,t0,dtest,claude-3,0.2174,0.1869,0.0305,0.9442,0.1197,0.3804,0.208,0.3385,False,True,False,False,hard
dtest_case_0055,dtest_case_0055_t2,step_t2_0055,t2,dtest,claude-3,0.8309,0.2174,0.6135,0.3955,0.2693,0.1717,0.257,0.2352,False,True,False,False,hard
dtest_case_0056,dtest_case_0056_t1,step_t1_0056,t1,dtest,gpt-4,0.2082,0.2015,0.0067,0.8592,0.3672,0.2275,0.4961,0.1135,False,True,False,True,hard
dtest_case_0056,dtest_case_0056_t2,step_t2_0056,t2,dtest,gpt-4,0.6727,0.2082,0.4645,0.2596,0.0506,-0.4057,0.388,0.1621,False,True,False,True,hard
dtest_case_0057,dtest_case_0057_t0,step_t0_0057,t0,dtest,gpt-4,0.1991,0.1222,0.0769,0.7946,0.6277,0.1186,0.0487,0.162,False,True,False,False,medium
dtest_case_0057,dtest_case_0057_t1,step_t1_0057,t1,dtest,gpt-4,0.2818,0.1991,0.0827,0.8819,0.6381,0.2261,0.1561,0.1596,False,False,False,False,medium
dtest_case_0058,dtest_case_0058_t2,step_t2_0058,t2,dtest,mistral,0.5041,0.1971,0.307,0.3194,0.2202,0.0185,0.1173,0.3535,False,True,False,False,medium
dtest_case_0059,dtest_case_0059_t0,step_t0_0059,t0,dtest,mistral,0.1824,0.1151,0.0673,0.8843,0.1083,0.1247,0.2939,0.3794,False,True,False,False,easy
dtest_case_0059,dtest_case_0059_t2,step_t2_0059,t2,dtest,mistral,0.6617,0.1824,0.4793,0.2207,0.0693,0.0784,0.2668,0.3127,False,True,False,False,easy
dtest_case_0060,dtest_case_0060_t0,step_t0_0060,t0,dtest,mistral,0.2285,0.0989,0.1296,0.8453,0.266,-0.0829,0.4933,0.0492,False,True,False,False,medium
dtest_case_0060,dtest_case_0060_t2,step_t2_0060,t2,dtest,mistral,0.5233,0.2285,0.2948,0.338,0.2818,-0.01,0.0443,0.0413,False,True,False,False,medium
dtest_case_0062,dtest_case_0062_t0,step_t0_0062,t0,dtest,claude-3,0.3253,0.2657,0.0596,0.818,0.8744,-0.0913,0.1616,0.3892,False,True,False,False,medium
dtest_case_0063,dtest_case_0063_t0,step_t0_0063,t0,dtest,codellama,0.1517,0.0734,0.0783,0.7699,0.2629,-0.0371,0.0664,0.0574,False,False,False,False,hard
dtest_case_0063,dtest_case_0063_t2,step_t2_0063,t2,dtest,codellama,0.8298,0.1517,0.6781,0.1231,0.076,0.2654,0.0781,0.0938,False,False,False,False,hard
dtest_case_0064,dtest_case_0064_t0,step_t0_0064,t0,dtest,mistral,0.6149,0.5157,0.0992,0.4904,0.1997,-0.493,0.1221,0.3324,False,False,False,False,hard
dtest_case_0065,dtest_case_0065_t1,step_t1_0065,t1,dtest,claude-3,0.5509,0.2489,0.302,0.4634,0.2902,0.3704,0.4134,0.2668,False,True,False,False,easy
dtest_case_0065,dtest_case_0065_t2,step_t2_0065,t2,dtest,claude-3,0.6569,0.5509,0.106,0.1217,0.0,0.0591,0.4332,0.3973,False,False,False,False,easy
dtest_case_0066,dtest_case_0066_t1,step_t1_0066,t1,dtest,gemini-pro,0.0862,0.1222,-0.036,0.6882,0.8602,0.2826,0.4628,0.1753,False,False,False,False,hard
dtest_case_0066,dtest_case_0066_t2,step_t2_0066,t2,dtest,gemini-pro,0.4012,0.0862,0.315,0.761,0.5438,0.0878,0.1484,0.2596,False,True,False,False,hard
dtest_case_0067,dtest_case_0067_t0,step_t0_0067,t0,dtest,mistral,0.3021,0.2106,0.0915,0.8472,0.7522,0.1742,0.2982,0.2183,False,True,False,False,medium
dtest_case_0067,dtest_case_0067_t2,step_t2_0067,t2,dtest,mistral,0.0559,0.3021,-0.2462,0.8555,0.8134,0.2213,0.3797,0.2002,False,True,False,False,medium
dtest_case_0068,dtest_case_0068_t0,step_t0_0068,t0,dtest,codellama,0.4306,0.3035,0.1271,0.97,0.9255,-0.0455,0.0745,0.2106,False,True,False,False,complex
dtest_case_0068,dtest_case_0068_t2,step_t2_0068,t2,dtest,codellama,0.2407,0.4306,-0.1899,0.788,0.6506,0.2734,0.3577,0.2085,False,False,False,False,complex
dtest_case_0069,dtest_case_0069_t0,step_t0_0069,t0,dtest,gemini-pro,0.2223,0.0878,0.1345,0.6749,0.4319,0.2273,0.19,0.0789,False,True,False,False,medium
dtest_case_0069,dtest_case_0069_t1,step_t1_0069,t1,dtest,gemini-pro,0.5876,0.2223,0.3653,0.1248,0.2969,-0.2908,0.335,0.3718,False,True,False,False,medium
dtest_case_0070,dtest_case_0070_t0,step_t0_0070,t0,dtest,gemini-pro,0.0859,0.0,0.0859,0.79,0.4407,0.3116,0.2612,0.0493,False,False,False,False,complex
dtest_case_0070,dtest_case_0070_t1,step_t1_0070,t1,dtest,gemini-pro,0.8599,0.0859,0.774,0.1331,0.1681,-0.1826,0.0926,0.3671,False,True,False,False,complex
dtest_case_0071,dtest_case_0071_t1,step_t1_0071,t1,dtest,codellama,0.3763,0.1434,0.2329,0.8343,0.6449,-0.0987,0.319,0.2061,False,True,False,False,hard
dtest_case_0072,dtest_case_0072_t0,step_t0_0072,t0,dtest,mistral,0.3675,0.2705,0.097,0.7112,0.7443,0.3529,0.385,0.2227,False,True,False,False,easy
dtest_case_0072,dtest_case_0072_t1,step_t1_0072,t1,dtest,mistral,0.1708,0.3675,-0.1967,0.9062,0.9405,0.2357,0.4048,0.3067,False,True,False,False,easy
dtest_case_0073,dtest_case_0073_t0,step_t0_0073,t0,dtest,gpt-4,0.2196,0.1967,0.0229,0.7323,0.9477,0.1364,0.2677,0.0714,False,True,False,False,hard
dtest_case_0073,dtest_case_0073_t1,step_t1_0073,t1,dtest,gpt-4,0.1421,0.2196,-0.0775,0.7222,0.3052,0.0284,0.316,0.0234,False,True,False,False,hard
dtest_case_0074,dtest_case_0074_t1,step_t1_0074,t1,dtest,codellama,0.6235,0.1993,0.4242,0.3541,0.2271,0.1229,0.3623,0.0063,False,True,False,False,complex
dtest_case_0074,dtest_case_0074_t2,step_t2_0074,t2,dtest,codellama,0.8684,0.6235,0.2449,0.3214,0.2371,0.3528,0.3863,0.106,False,True,False,False,complex
dtest_case_0075,dtest_case_0075_t0,step_t0_0075,t0,dtest,codellama,0.2883,0.2281,0.0602,0.7784,0.1874,0.2086,0.2212,0.3327,False,True,False,False,hard
dtest_case_0075,dtest_case_0075_t1,step_t1_0075,t1,dtest,codellama,0.5315,0.2883,0.2432,0.3381,0.1585,-0.2629,0.3401,0.0923,False,True,False,False,hard
dtest_case_0076,dtest_case_0076_t0,step_t0_0076,t0,dtest,codellama,0.5236,0.4668,0.0568,0.2133,0.4482,-0.3215,0.1668,0.2322,True,False,False,False,complex
dtest_case_0076,dtest_case_0076_t2,step_t2_0076,t2,dtest,codellama,0.7857,0.5236,0.2621,0.3897,0.3471,0.1047,0.2113,0.3287,False,True,False,False,complex
dtest_case_0077,dtest_case_0077_t0,step_t0_0077,t0,dtest,gemini-pro,0.1703,0.0231,0.1472,0.8162,0.753,-0.0401,0.4871,0.008,False,True,False,False,complex
dtest_case_0077,dtest_case_0077_t2,step_t2_0077,t2,dtest,gemini-pro,0.3574,0.1703,0.1871,0.7353,0.5674,-0.0535,0.1285,0.3152,False,False,False,False,complex
dtest_case_0078,dtest_case_0078_t0,step_t0_0078,t0,dtest,claude-3,0.7738,0.6978,0.076,0.1217,0.0752,-0.4529,0.1137,0.1367,False,True,False,False,medium
dtest_case_0078,dtest_case_0078_t2,step_t2_0078,t2,dtest,claude-3,0.6076,0.7738,-0.1662,0.2794,0.0731,0.0399,0.4712,0.3493,False,True,False,False,medium
dtest_case_0079,dtest_case_0079_t0,step_t0_0079,t0,dtest,gpt-4,0.3645,0.2783,0.0862,0.8483,0.7564,0.1506,0.1986,0.2159,False,True,False,False,medium
dtest_case_0079,dtest_case_0079_t1,step_t1_0079,t1,dtest,gpt-4,0.3197,0.3645,-0.0448,0.8364,0.8886,-0.0294,0.106,0.3275,False,True,False,False,medium
dtest_case_0081,dtest_case_0081_t1,step_t1_0081,t1,dtest,mistral,0.5103,0.0884,0.4219,0.1506,0.4329,-0.2708,0.4664,0.2301,False,True,False,False,medium
dtest_case_0081,dtest_case_0081_t2,step_t2_0081,t2,dtest,mistral,0.7729,0.5103,0.2626,0.1126,0.0,0.3147,0.1588,0.3811,False,False,False,False,medium
dtest_case_0082,dtest_case_0082_t1,step_t1_0082,t1,dtest,claude-3,0.7998,0.0804,0.7194,0.2652,0.2524,-0.407,0.04,0.3107,True,True,False,False,complex
dtest_case_0082,dtest_case_0082_t2,step_t2_0082,t2,dtest,claude-3,0.9214,0.7998,0.1216,0.4442,0.3748,0.3257,0.0002,0.0071,False,True,False,False,complex
dtest_case_0084,dtest_case_0084_t0,step_t0_0084,t0,dtest,gpt-4,0.1959,0.1379,0.058,0.8476,0.6767,0.0059,0.2423,0.3017,False,True,False,False,medium
dtest_case_0084,dtest_case_0084_t2,step_t2_0084,t2,dtest,gpt-4,0.6338,0.1959,0.4379,0.2437,0.201,-0.4701,0.3913,0.1062,True,True,False,False,medium
dtest_case_0085,dtest_case_0085_t1,step_t1_0085,t1,dtest,mistral,0.7781,0.2083,0.5698,0.153,0.1431,-0.4117,0.0869,0.2623,False,True,False,False,medium
dtest_case_0085,dtest_case_0085_t2,step_t2_0085,t2,dtest,mistral,0.8564,0.7781,0.0783,0.2322,0.0687,0.0771,0.2628,0.1927,False,True,False,False,medium
dtest_case_0086,dtest_case_0086_t1,step_t1_0086,t1,dtest,mistral,0.2048,0.291,-0.0862,0.737,0.1035,0.1093,0.3952,0.2329,False,True,False,False,hard
dtest_case_0086,dtest_case_0086_t2,step_t2_0086,t2,dtest,mistral,0.5854,0.2048,0.3806,0.3285,0.2476,-0.1663,0.3146,0.0795,True,True,False,False,hard
dtest_case_0088,dtest_case_0088_t0,step_t0_0088,t0,dtest,claude-3,0.1986,0.1587,0.0399,0.8761,0.2497,0.033,0.0746,0.0509,False,False,False,False,complex
dtest_case_0089,dtest_case_0089_t1,step_t1_0089,t1,dtest,gpt-4,0.1474,0.2129,-0.0655,0.9337,0.2956,0.3298,0.1962,0.3825,False,True,False,False,medium
dtest_case_0089,dtest_case_0089_t2,step_t2_0089,t2,dtest,gpt-4,0.546,0.1474,0.3986,0.3464,0.1107,-0.1764,0.0382,0.1117,False,True,False,False,medium
dtest_case_0090,dtest_case_0090_t0,step_t0_0090,t0,dtest,claude-3,0.3625,0.2387,0.1238,0.8234,0.7545,0.1251,0.1135,0.3558,False,True,False,False,hard
dtest_case_0090,dtest_case_0090_t2,step_t2_0090,t2,dtest,claude-3,0.403,0.3625,0.0405,0.687,0.4399,0.1216,0.0239,0.0152,False,True,False,False,hard
dtest_case_0091,dtest_case_0091_t1,step_t1_0091,t1,dtest,claude-3,0.7966,0.2505,0.5461,0.0974,0.0642,-0.2966,0.1938,0.1848,False,False,False,False,easy
