case_id,checkpoint_id,step_position,trial_id,perturbation_id,verifier_pass,verifier_rule_triggered,verifier_error_code,gate_pass,unverifiable_flag
dtest_case_0204,chk_00538,t2,trial_00036,perturb_08,False,rule_typecheck,ERR_CONSTRAINT,False,False
dtest_case_0243,chk_00565,t0,trial_00037,perturb_03,True,rule_typecheck,,True,False
dtest_case_0362,chk_00121,t2,trial_00038,perturb_05,False,rule_hc2,ERR_SCHEMA,False,False
dtest_case_0294,chk_00817,t1,trial_00039,perturb_02,False,rule_hc2,ERR_TYPE,False,True
dtest_case_0287,chk_00200,t1,trial_00040,perturb_09,True,rule_hc2,,True,False
dtest_case_0160,chk_00501,t1,trial_00041,perturb_08,True,rule_hc1,,False,False
dtest_case_0232,chk_00242,t1,trial_00042,perturb_05,True,rule_hc2,,False,False
dtest_case_0065,chk_00841,t1,trial_00043,perturb_03,False,none,ERR_SCHEMA,False,False
dtest_case_0038,chk_00500,t2,trial_00044,perturb_00,True,rule_consistency,,True,False
dtest_case_0232,chk_00014,t0,trial_00045,perturb_08,True,none,,True,False
dtest_case_0061,chk_00288,t1,trial_00046,perturb_01,True,none,,True,False
dtest_case_0358,chk_00316,t1,trial_00047,perturb_09,True,rule_typecheck,,True,False
dtest_case_0127,chk_00344,t1,trial_00048,perturb_05,False,none,ERR_TYPE,False,True
dtest_case_0343,chk_00249,t0,trial_00049,perturb_05,True,rule_typecheck,,True,False
dtest_case_0229,chk_00225,t0,trial_00050,perturb_06,True,rule_typecheck,,True,False
dtest_case_0105,chk_00774,t2,trial_00051,perturb_04,True,rule_hc1,,True,False
dtest_case_0022,chk_00635,t1,trial_00052,perturb_00,False,rule_hc1,ERR_FORMAT,False,False
dtest_case_0349,chk_00040,t1,trial_00053,perturb_08,True,none,,False,False
dtest_case_0211,chk_00595,t1,trial_00054,perturb_05,True,rule_typecheck,,True,True
dtest_case_0129,chk_00151,t0,trial_00055,perturb_01,True,rule_consistency,,True,False
dtest_case_0078,chk_00139,t2,trial_00056,perturb_09,True,rule_hc2,,False,False
dtest_case_0068,chk_00762,t0,trial_00057,perturb_08,False,rule_hc2,ERR_TYPE,False,False
dtest_case_0347,chk_00523,t2,trial_00058,perturb_08,True,rule_hc1,,False,False
dtest_case_0008,chk_00230,t0,trial_00059,perturb_09,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0305,chk_00664,t0,trial_00060,perturb_07,True,rule_hc1,,False,False
dtest_case_0067,chk_00148,t2,trial_00061,perturb_03,False,rule_hc1,ERR_FORMAT,False,False
dtest_case_0158,chk_00568,t1,trial_00062,perturb_05,False,rule_typecheck,ERR_SCHEMA,False,False
dtest_case_0238,chk_00582,t2,trial_00063,perturb_06,False,rule_hc1,ERR_CONSTRAINT,False,True
dtest_case_0305,chk_00865,t0,trial_00064,perturb_05,True,rule_hc3,,True,True
dtest_case_0132,chk_00466,t1,trial_00065,perturb_01,True,rule_hc3,,True,False
dtest_case_0149,chk_00761,t0,trial_00066,perturb_03,True,rule_hc1,,True,False
dtest_case_0220,chk_00303,t2,trial_00067,perturb_03,True,rule_typecheck,,True,False
dtest_case_0340,chk_00164,t2,trial_00068,perturb_01,False,rule_hc2,ERR_TYPE,False,False
dtest_case_0054,chk_00748,t1,trial_00069,perturb_02,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0022,chk_00789,t0,trial_00070,perturb_09,False,rule_typecheck,ERR_CONSTRAINT,False,False
dtest_case_0336,chk_00475,t2,trial_00071,perturb_03,True,rule_hc1,,True,False
dtest_case_0135,chk_00510,t1,trial_00072,perturb_01,True,rule_hc3,,True,False
dtest_case_0073,chk_00057,t0,trial_00073,perturb_00,True,rule_hc3,,True,False
dtest_case_0138,chk_00625,t0,trial_00074,perturb_03,False,none,ERR_FORMAT,False,False
dtest_case_0148,chk_00843,t2,trial_00075,perturb_08,False,rule_hc3,ERR_FORMAT,False,False
dtest_case_0035,chk_00337,t2,trial_00076,perturb_08,False,rule_consistency,ERR_TYPE,False,False
dtest_case_0126,chk_00217,t0,trial_00077,perturb_08,True,rule_consistency,,True,False
dtest_case_0030,chk_00105,t2,trial_00078,perturb_00,True,rule_hc3,,True,False
dtest_case_0095,chk_00223,t0,trial_00079,perturb_09,True,rule_hc1,,True,True
dtest_case_0338,chk_00273,t0,trial_00080,perturb_01,True,rule_hc1,,True,False
dtest_case_0089,chk_00329,t2,trial_00081,perturb_06,True,rule_hc3,,False,False
dtest_case_0031,chk_00697,t2,trial_00082,perturb_08,True,rule_typecheck,,True,False
dtest_case_0169,chk_00047,t2,trial_00083,perturb_06,False,none,ERR_CONSTRAINT,False,False
dtest_case_0168,chk_00036,t1,trial_00084,perturb_02,False,rule_hc1,ERR_FORMAT,False,False
dtest_case_0137,chk_00525,t0,trial_00085,perturb_02,True,none,,True,False
dtest_case_0337,chk_00220,t2,trial_00086,perturb_02,False,none,ERR_SCHEMA,False,False
dtest_case_0329,chk_00733,t2,trial_00087,perturb_08,True,rule_hc1,,True,False
dtest_case_0079,chk_00483,t0,trial_00088,perturb_05,True,rule_hc3,,True,False
dtest_case_0299,chk_00257,t1,trial_00089,perturb_01,True,rule_hc2,,False,False
dtest_case_0358,chk_00674,t2,trial_00090,perturb_03,True,rule_hc1,,True,False
dtest_case_0102,chk_00526,t1,trial_00091,perturb_01,True,rule_hc3,,False,False
dtest_case_0065,chk_00104,t0,trial_00092,perturb_06,False,rule_consistency,ERR_TYPE,False,False
dtest_case_0122,chk_00833,t0,trial_00093,perturb_04,False,rule_hc1,ERR_TYPE,False,False
dtest_case_0367,chk_00664,t1,trial_00094,perturb_05,True,rule_consistency,,True,False
dtest_case_0103,chk_00908,t0,trial_00095,perturb_00,False,rule_hc3,ERR_SCHEMA,False,False
dtest_case_0125,chk_00928,t1,trial_00096,perturb_00,True,rule_consistency,,True,False
dtest_case_0157,chk_00954,t0,trial_00097,perturb_01,False,rule_typecheck,ERR_SCHEMA,False,False
dtest_case_0212,chk_00119,t0,trial_00098,perturb_00,True,rule_hc2,,True,False
dtest_case_0018,chk_00746,t0,trial_00099,perturb_03,False,rule_hc1,ERR_TYPE,False,False
dtest_case_0064,chk_00790,t1,trial_00100,perturb_07,True,rule_consistency,,True,True
dtest_case_0256,chk_00501,t2,trial_00101,perturb_01,True,rule_typecheck,,True,False
dtest_case_0322,chk_00848,t2,trial_00102,perturb_07,False,rule_typecheck,ERR_CONSTRAINT,False,False
dtest_case_0116,chk_00233,t2,trial_00103,perturb_05,True,none,,False,True
dtest_case_0159,chk_00947,t2,trial_00104,perturb_01,True,rule_hc3,,True,False
dtest_case_0221,chk_00766,t2,trial_00105,perturb_06,False,none,ERR_SCHEMA,False,False
dtest_case_0337,chk_00339,t1,trial_00106,perturb_03,False,rule_typecheck,ERR_CONSTRAINT,False,False
dtest_case_0144,chk_00887,t0,trial_00107,perturb_09,False,rule_hc2,ERR_SCHEMA,False,False
dtest_case_0268,chk_00469,t1,trial_00108,perturb_00,True,rule_consistency,,True,False
dtest_case_0262,chk_00161,t2,trial_00109,perturb_06,True,rule_typecheck,,True,False
dtest_case_0100,chk_00966,t1,trial_00110,perturb_09,False,rule_hc1,ERR_FORMAT,False,False
dtest_case_0228,chk_00979,t1,trial_00111,perturb_00,False,rule_typecheck,ERR_SCHEMA,False,False
dtest_case_0096,chk_00933,t2,trial_00112,perturb_09,True,rule_typecheck,,True,False
dtest_case_0095,chk_00868,t1,trial_00113,perturb_07,True,rule_typecheck,,True,False
dtest_case_0074,chk_00648,t1,trial_00114,perturb_06,True,rule_consistency,,True,False
dtest_case_0170,chk_00660,t1,trial_00115,perturb_08,True,none,,False,False
dtest_case_0238,chk_00351,t0,trial_00116,perturb_03,True,none,,True,False
dtest_case_0135,chk_00444,t0,trial_00117,perturb_01,True,rule_hc2,,True,False
dtest_case_0239,chk_00712,t2,trial_00118,perturb_05,True,none,,True,False
dtest_case_0177,chk_00176,t2,trial_00119,perturb_08,True,rule_consistency,,True,False
dtest_case_0104,chk_00859,t1,trial_00120,perturb_07,True,rule_hc1,,True,False
dtest_case_0325,chk_00186,t1,trial_00121,perturb_01,True,rule_consistency,,True,False
dtest_case_0168,chk_00049,t0,trial_00122,perturb_05,False,rule_hc2,ERR_TYPE,False,False
dtest_case_0231,chk_00125,t2,trial_00123,perturb_01,True,rule_hc3,,True,False
dtest_case_0362,chk_00987,t1,trial_00124,perturb_02,False,none,ERR_SCHEMA,False,False
dtest_case_0227,chk_00925,t0,trial_00125,perturb_09,True,rule_consistency,,True,False
dtest_case_0157,chk_00715,t2,trial_00126,perturb_04,True,none,,True,False
dtest_case_0318,chk_00511,t0,trial_00127,perturb_09,True,rule_consistency,,True,False
dtest_case_0206,chk_00933,t1,trial_00128,perturb_04,False,rule_hc3,ERR_CONSTRAINT,False,True
dtest_case_0172,chk_00019,t1,trial_00129,perturb_06,False,none,ERR_CONSTRAINT,False,False
dtest_case_0048,chk_00888,t0,trial_00130,perturb_01,True,rule_hc1,,True,False
dtest_case_0168,chk_00963,t0,trial_00131,perturb_07,True,rule_hc1,,True,False
dtest_case_0263,chk_00223,t0,trial_00132,perturb_09,True,rule_hc3,,True,False
dtest_case_0154,chk_00342,t2,trial_00133,perturb_07,True,rule_consistency,,True,False
dtest_case_0021,chk_00105,t1,trial_00134,perturb_02,True,rule_hc2,,True,False
dtest_case_0215,chk_00996,t1,trial_00135,perturb_00,False,rule_hc1,ERR_FORMAT,False,False
dtest_case_0123,chk_00466,t0,trial_00136,perturb_05,False,none,ERR_FORMAT,False,False
dtest_case_0008,chk_00885,t0,trial_00137,perturb_09,True,rule_consistency,,True,False
dtest_case_0000,chk_00526,t0,trial_00138,perturb_03,False,rule_hc1,ERR_CONSTRAINT,False,False
dtest_case_0153,chk_00370,t2,trial_00139,perturb_07,True,rule_hc2,,True,False
dtest_case_0112,chk_00263,t1,trial_00140,perturb_01,True,rule_consistency,,True,False
dtest_case_0038,chk_00137,t1,trial_00141,perturb_08,False,rule_hc2,ERR_FORMAT,False,False
dtest_case_0367,chk_00349,t0,trial_00142,perturb_09,True,rule_hc3,,True,False
dtest_case_0266,chk_00437,t1,trial_00143,perturb_07,False,rule_typecheck,ERR_TYPE,False,False
dtest_case_0335,chk_00100,t2,trial_00144,perturb_05,True,none,,True,True
dtest_case_0030,chk_00061,t0,trial_00145,perturb_00,False,rule_consistency,ERR_TYPE,False,False
dtest_case_0173,chk_00077,t0,trial_00146,perturb_04,True,none,,True,True
dtest_case_0225,chk_00734,t1,trial_00147,perturb_02,False,rule_hc1,ERR_TYPE,False,False
dtest_case_0350,chk_00398,t2,trial_00148,perturb_02,False,rule_hc3,ERR_CONSTRAINT,False,False
dtest_case_0153,chk_00981,t2,trial_00149,perturb_03,True,rule_hc1,,True,False
dtest_case_0292,chk_00766,t1,trial_00150,perturb_06,True,none,,True,False
dtest_case_0012,chk_00852,t2,trial_00151,perturb_04,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0045,chk_00575,t0,trial_00152,perturb_07,False,none,ERR_CONSTRAINT,False,False
dtest_case_0348,chk_00854,t1,trial_00153,perturb_09,True,rule_hc1,,True,False
dtest_case_0144,chk_00004,t0,trial_00154,perturb_06,True,rule_consistency,,True,False
dtest_case_0148,chk_00144,t0,trial_00155,perturb_06,True,rule_hc3,,True,False
dtest_case_0011,chk_00707,t2,trial_00156,perturb_04,False,rule_hc3,ERR_FORMAT,False,False
dtest_case_0220,chk_00639,t0,trial_00157,perturb_06,True,rule_hc1,,True,False
dtest_case_0196,chk_00493,t2,trial_00158,perturb_08,True,rule_hc3,,True,False
dtest_case_0164,chk_00227,t0,trial_00159,perturb_05,True,rule_hc3,,True,False
dtest_case_0098,chk_00359,t0,trial_00160,perturb_00,False,rule_hc3,ERR_TYPE,False,True
dtest_case_0331,chk_00697,t2,trial_00161,perturb_05,False,rule_hc1,ERR_CONSTRAINT,False,False
dtest_case_0335,chk_00841,t0,trial_00162,perturb_07,True,rule_consistency,,False,True
dtest_case_0243,chk_00023,t1,trial_00163,perturb_04,True,none,,True,True
dtest_case_0192,chk_00684,t0,trial_00164,perturb_04,True,rule_hc2,,True,False
dtest_case_0304,chk_00824,t1,trial_00165,perturb_00,False,rule_hc1,ERR_FORMAT,False,False
dtest_case_0036,chk_00775,t2,trial_00166,perturb_02,True,rule_typecheck,,True,False
dtest_case_0326,chk_00922,t0,trial_00167,perturb_08,True,rule_hc3,,True,False
dtest_case_0251,chk_00495,t1,trial_00168,perturb_09,False,none,ERR_CONSTRAINT,False,False
dtest_case_0060,chk_00023,t0,trial_00169,perturb_00,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0343,chk_00853,t0,trial_00170,perturb_09,False,rule_consistency,ERR_FORMAT,False,False
dtest_case_0286,chk_00956,t0,trial_00171,perturb_03,False,none,ERR_CONSTRAINT,False,False
dtest_case_0250,chk_00493,t0,trial_00172,perturb_04,True,rule_hc1,,True,False
dtest_case_0015,chk_00743,t0,trial_00173,perturb_07,True,rule_hc1,,True,False
dtest_case_0312,chk_00818,t1,trial_00174,perturb_03,True,rule_hc2,,False,False
dtest_case_0195,chk_00085,t2,trial_00175,perturb_05,False,rule_typecheck,ERR_TYPE,False,False
dtest_case_0281,chk_00668,t0,trial_00176,perturb_03,True,rule_typecheck,,True,False
dtest_case_0258,chk_00853,t0,trial_00177,perturb_09,True,rule_consistency,,True,False
dtest_case_0354,chk_00794,t0,trial_00178,perturb_08,True,rule_consistency,,True,True
dtest_case_0141,chk_00774,t2,trial_00179,perturb_01,True,none,,False,False
dtest_case_0210,chk_00641,t1,trial_00180,perturb_03,True,rule_consistency,,True,False
dtest_case_0111,chk_00869,t0,trial_00181,perturb_09,True,rule_consistency,,False,False
dtest_case_0300,chk_00379,t0,trial_00182,perturb_02,True,rule_typecheck,,True,False
dtest_case_0205,chk_00059,t2,trial_00183,perturb_08,False,rule_typecheck,ERR_CONSTRAINT,False,False
dtest_case_0233,chk_00816,t2,trial_00184,perturb_01,True,none,,True,False
dtest_case_0328,chk_00473,t0,trial_00185,perturb_02,False,rule_hc3,ERR_FORMAT,False,False
dtest_case_0312,chk_00631,t1,trial_00186,perturb_03,True,rule_hc3,,True,True
dtest_case_0265,chk_00301,t1,trial_00187,perturb_07,True,rule_hc2,,True,False
dtest_case_0365,chk_00410,t2,trial_00188,perturb_08,False,none,ERR_SCHEMA,False,False
dtest_case_0041,chk_00091,t0,trial_00189,perturb_07,False,none,ERR_TYPE,False,True
dtest_case_0206,chk_00007,t1,trial_00190,perturb_03,True,rule_typecheck,,True,False
dtest_case_0364,chk_00047,t0,trial_00191,perturb_03,True,none,,False,False
dtest_case_0367,chk_00791,t0,trial_00192,perturb_05,True,rule_hc3,,True,False
dtest_case_0072,chk_00880,t2,trial_00193,perturb_05,True,rule_consistency,,True,False
dtest_case_0173,chk_00980,t1,trial_00194,perturb_03,False,rule_typecheck,ERR_SCHEMA,False,False
dtest_case_0029,chk_00636,t2,trial_00195,perturb_06,False,rule_hc2,ERR_SCHEMA,False,False
dtest_case_0316,chk_00926,t0,trial_00196,perturb_01,True,none,,True,False
dtest_case_0265,chk_00307,t0,trial_00197,perturb_09,True,rule_consistency,,False,False
dtest_case_0130,chk_00341,t2,trial_00198,perturb_01,True,rule_consistency,,True,True
dtest_case_0226,chk_00127,t1,trial_00199,perturb_01,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0216,chk_00483,t0,trial_00200,perturb_05,True,rule_consistency,,True,False
dtest_case_0327,chk_00623,t2,trial_00201,perturb_07,False,rule_hc2,ERR_TYPE,False,False
dtest_case_0098,chk_00426,t2,trial_00202,perturb_06,False,rule_consistency,ERR_SCHEMA,False,False
dtest_case_0289,chk_00637,t0,trial_00203,perturb_06,False,rule_hc2,ERR_FORMAT,False,False
dtest_case_0066,chk_00033,t1,trial_00204,perturb_09,False,rule_hc1,ERR_TYPE,False,False
dtest_case_0290,chk_00301,t2,trial_00205,perturb_08,False,rule_hc2,ERR_FORMAT,False,False
dtest_case_0064,chk_00738,t0,trial_00206,perturb_04,True,rule_consistency,,True,False
dtest_case_0220,chk_00518,t2,trial_00207,perturb_04,True,rule_typecheck,,False,False
dtest_case_0108,chk_00769,t1,trial_00208,perturb_00,False,rule_hc3,ERR_TYPE,False,False
dtest_case_0057,chk_00808,t0,trial_00209,perturb_06,True,rule_hc2,,True,False
dtest_case_0053,chk_00263,t0,trial_00210,perturb_03,True,rule_hc3,,True,False
dtest_case_0340,chk_00446,t0,trial_00211,perturb_04,True,rule_typecheck,,True,True
dtest_case_0117,chk_00604,t1,trial_00212,perturb_00,False,rule_hc1,ERR_SCHEMA,False,False
dtest_case_0192,chk_00329,t1,trial_00213,perturb_04,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0192,chk_00690,t2,trial_00214,perturb_03,True,rule_hc1,,True,True
dtest_case_0091,chk_00643,t2,trial_00215,perturb_08,False,rule_consistency,ERR_CONSTRAINT,False,False
dtest_case_0214,chk_00774,t0,trial_00216,perturb_06,False,rule_consistency,ERR_SCHEMA,False,False
dtest_case_0158,chk_00405,t0,trial_00217,perturb_06,False,rule_hc1,ERR_SCHEMA,False,False
dtest_case_0103,chk_00973,t2,trial_00218,perturb_02,True,rule_typecheck,,True,False
dtest_case_0276,chk_00792,t0,trial_00219,perturb_01,True,rule_hc1,,True,False
dtest_case_0132,chk_00755,t0,trial_00220,perturb_00,True,rule_consistency,,True,False
dtest_case_0007,chk_00793,t0,trial_00221,perturb_06,True,none,,True,False
dtest_case_0199,chk_00789,t1,trial_00222,perturb_07,True,rule_consistency,,True,True
dtest_case_0082,chk_00618,t1,trial_00223,perturb_06,True,rule_hc1,,True,False
dtest_case_0122,chk_00552,t1,trial_00224,perturb_00,True,rule_hc3,,True,False
dtest_case_0277,chk_00659,t2,trial_00225,perturb_04,True,none,,False,False
dtest_case_0197,chk_00573,t2,trial_00226,perturb_09,False,none,ERR_CONSTRAINT,False,False
dtest_case_0193,chk_00095,t2,trial_00227,perturb_08,True,none,,True,False
dtest_case_0186,chk_00639,t1,trial_00228,perturb_02,False,rule_hc3,ERR_SCHEMA,False,False
dtest_case_0204,chk_00584,t1,trial_00229,perturb_06,False,rule_hc1,ERR_TYPE,False,False
dtest_case_0303,chk_00875,t2,trial_00230,perturb_01,True,rule_typecheck,,True,False
dtest_case_0202,chk_00610,t2,trial_00231,perturb_00,True,rule_consistency,,False,False
dtest_case_0134,chk_00897,t2,trial_00232,perturb_01,True,rule_hc3,,True,False
dtest_case_0221,chk_00073,t2,trial_00233,perturb_08,False,none,ERR_FORMAT,False,True
dtest_case_0293,chk_00983,t1,trial_00234,perturb_08,False,rule_hc2,ERR_TYPE,False,False
dtest_case_0127,chk_00230,t0,trial_00235,perturb_04,True,none,,True,False
dtest_case_0228,chk_00497,t2,trial_00236,perturb_06,True,none,,True,True
dtest_case_0236,chk_00090,t0,trial_00237,perturb_08,False,rule_hc1,ERR_CONSTRAINT,False,False
dtest_case_0186,chk_00950,t2,trial_00238,perturb_06,False,rule_hc1,ERR_FORMAT,False,False
dtest_case_0120,chk_00830,t0,trial_00239,perturb_08,True,rule_hc3,,True,False
dtest_case_0119,chk_00868,t0,trial_00240,perturb_04,True,rule_hc1,,True,False
dtest_case_0184,chk_00904,t1,trial_00241,perturb_01,True,rule_hc3,,True,False
dtest_case_0195,chk_00398,t0,trial_00242,perturb_08,True,rule_hc3,,False,False
dtest_case_0135,chk_00503,t0,trial_00243,perturb_05,True,rule_consistency,,True,False
dtest_case_0198,chk_00104,t1,trial_00244,perturb_06,False,rule_typecheck,ERR_TYPE,False,True
dtest_case_0102,chk_00612,t1,trial_00245,perturb_09,False,rule_hc3,ERR_FORMAT,False,False
dtest_case_0022,chk_00815,t1,trial_00246,perturb_03,True,rule_hc3,,True,False
dtest_case_0235,chk_00350,t2,trial_00247,perturb_00,False,rule_hc3,ERR_SCHEMA,False,False
dtest_case_0110,chk_00401,t0,trial_00248,perturb_03,False,rule_hc3,ERR_CONSTRAINT,False,True
dtest_case_0361,chk_00189,t0,trial_00249,perturb_01,True,rule_hc2,,True,False
dtest_case_0120,chk_00077,t1,trial_00250,perturb_08,False,rule_hc3,ERR_FORMAT,False,False
dtest_case_0154,chk_00495,t0,trial_00251,perturb_06,False,rule_typecheck,ERR_SCHEMA,False,False
dtest_case_0326,chk_00122,t0,trial_00252,perturb_05,True,none,,True,True
dtest_case_0157,chk_00562,t0,trial_00253,perturb_02,True,rule_hc2,,False,False
dtest_case_0061,chk_00775,t0,trial_00254,perturb_02,True,rule_typecheck,,True,False
dtest_case_0112,chk_00880,t1,trial_00255,perturb_07,True,rule_hc2,,True,False
dtest_case_0358,chk_00860,t0,trial_00256,perturb_03,True,rule_hc2,,True,False
dtest_case_0123,chk_00423,t2,trial_00257,perturb_02,True,rule_hc3,,True,False
dtest_case_0173,chk_00240,t1,trial_00258,perturb_05,True,none,,True,False
dtest_case_0054,chk_00456,t1,trial_00259,perturb_05,True,rule_typecheck,,True,False
dtest_case_0107,chk_00275,t1,trial_00260,perturb_05,True,rule_typecheck,,True,False
dtest_case_0215,chk_00209,t2,trial_00261,perturb_05,True,rule_hc1,,True,False
dtest_case_0354,chk_00579,t0,trial_00262,perturb_03,True,rule_hc1,,True,True
dtest_case_0324,chk_00766,t2,trial_00263,perturb_05,True,rule_hc2,,True,False
dtest_case_0283,chk_00148,t1,trial_00264,perturb_00,True,rule_hc3,,True,True
dtest_case_0169,chk_00992,t2,trial_00265,perturb_08,True,none,,True,False
dtest_case_0207,chk_00698,t1,trial_00266,perturb_03,True,rule_consistency,,True,False
dtest_case_0125,chk_00655,t2,trial_00267,perturb_00,True,rule_hc2,,True,False
dtest_case_0085,chk_00241,t1,trial_00268,perturb_09,False,none,ERR_TYPE,False,False
dtest_case_0285,chk_00798,t2,trial_00269,perturb_07,True,rule_hc3,,True,False
dtest_case_0043,chk_00655,t0,trial_00270,perturb_08,False,rule_consistency,ERR_SCHEMA,False,True
dtest_case_0269,chk_00571,t2,trial_00271,perturb_06,True,none,,True,False
dtest_case_0046,chk_00162,t1,trial_00272,perturb_01,True,rule_hc1,,True,False
dtest_case_0019,chk_00753,t0,trial_00273,perturb_07,False,rule_consistency,ERR_CONSTRAINT,False,False
dtest_case_0048,chk_00000,t0,trial_00274,perturb_06,False,rule_hc2,ERR_FORMAT,False,False
dtest_case_0262,chk_00080,t1,trial_00275,perturb_08,True,rule_typecheck,,False,False
dtest_case_0143,chk_00377,t1,trial_00276,perturb_02,True,none,,True,False
dtest_case_0228,chk_00715,t2,trial_00277,perturb_09,False,rule_hc3,ERR_SCHEMA,False,True
dtest_case_0347,chk_00292,t0,trial_00278,perturb_08,True,none,,True,True
dtest_case_0152,chk_00614,t0,trial_00279,perturb_05,True,rule_hc3,,True,False
dtest_case_0180,chk_00566,t1,trial_00280,perturb_02,True,none,,True,False
dtest_case_0073,chk_00034,t1,trial_00281,perturb_04,True,none,,True,False
dtest_case_0099,chk_00892,t1,trial_00282,perturb_07,True,none,,True,False
dtest_case_0083,chk_00459,t0,trial_00283,perturb_04,True,rule_typecheck,,True,True
dtest_case_0137,chk_00249,t2,trial_00284,perturb_08,True,rule_hc2,,True,False
dtest_case_0189,chk_00781,t0,trial_00285,perturb_04,True,none,,True,False
dtest_case_0004,chk_00893,t1,trial_00286,perturb_04,True,rule_hc3,,True,False
dtest_case_0116,chk_00759,t1,trial_00287,perturb_04,False,rule_typecheck,ERR_SCHEMA,False,False
dtest_case_0152,chk_00747,t2,trial_00288,perturb_03,False,none,ERR_FORMAT,False,False
dtest_case_0065,chk_00846,t1,trial_00289,perturb_09,False,rule_hc1,ERR_CONSTRAINT,False,False
dtest_case_0274,chk_00857,t1,trial_00290,perturb_06,True,rule_hc2,,True,False
dtest_case_0299,chk_00264,t2,trial_00291,perturb_03,False,rule_hc2,ERR_TYPE,False,False
dtest_case_0293,chk_00481,t1,trial_00292,perturb_09,False,rule_typecheck,ERR_SCHEMA,False,False
dtest_case_0197,chk_00586,t1,trial_00293,perturb_02,False,rule_consistency,ERR_CONSTRAINT,False,False
dtest_case_0014,chk_00961,t1,trial_00294,perturb_01,False,rule_typecheck,ERR_FORMAT,False,False
