case_id,descriptive_error_label,label_source,label_rule,surface_error_type,execution_error_type,schema_mismatch_flag
dtest_case_0139,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0140,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0141,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0142,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0143,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0144,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0145,unknown,rule,endpoint_success,none,none,False
dtest_case_0146,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0147,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0148,unknown,rule,endpoint_success,none,none,False
dtest_case_0149,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0150,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0151,unknown,rule,endpoint_success,none,none,False
dtest_case_0152,unknown,rule,endpoint_success,none,none,False
dtest_case_0153,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0154,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0155,unknown,rule,endpoint_success,none,none,False
dtest_case_0156,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0157,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0158,unknown,rule,endpoint_success,none,none,False
dtest_case_0159,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0160,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0161,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0162,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0163,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0164,unknown,rule,endpoint_success,none,none,False
dtest_case_0165,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0166,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0167,unknown,rule,endpoint_success,none,none,False
dtest_case_0168,unknown,rule,endpoint_success,none,none,False
dtest_case_0169,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0170,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0171,unknown,rule,endpoint_success,none,none,False
dtest_case_0172,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0173,unknown,rule,endpoint_success,none,none,False
dtest_case_0174,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0175,unknown,rule,endpoint_success,none,none,False
dtest_case_0176,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0177,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0178,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0179,unknown,rule,endpoint_success,none,none,False
dtest_case_0180,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0181,unknown,rule,endpoint_success,none,none,False
dtest_case_0182,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0183,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0184,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0185,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0186,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0187,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0188,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0189,unknown,rule,endpoint_success,none,none,False
dtest_case_0190,unknown,rule,endpoint_success,none,none,False
dtest_case_0191,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0192,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0193,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0194,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0195,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0196,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0197,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0198,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0199,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0200,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0201,unknown,rule,endpoint_success,none,none,False
dtest_case_0202,unknown,rule,endpoint_success,none,none,False
dtest_case_0203,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0204,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0205,unknown,rule,endpoint_success,none,none,False
dtest_case_0206,unknown,rule,endpoint_success,none,none,False
dtest_case_0207,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0208,unknown,rule,endpoint_success,none,none,False
dtest_case_0209,unknown,rule,endpoint_success,none,none,False
dtest_case_0210,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0211,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0212,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0213,unknown,rule,endpoint_success,none,none,False
dtest_case_0214,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0215,unknown,rule,endpoint_success,none,none,False
dtest_case_0216,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0217,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0218,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0219,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0220,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0221,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0222,unknown,rule,endpoint_success,none,none,False
dtest_case_0223,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0224,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0225,unknown,rule,endpoint_success,none,none,False
dtest_case_0226,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0227,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0228,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0229,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0230,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0231,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0232,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0233,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0234,unknown,rule,endpoint_success,none,none,False
dtest_case_0235,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0236,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0237,unknown,rule,endpoint_success,none,none,False
dtest_case_0238,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0239,unknown,rule,endpoint_success,none,none,False
dtest_case_0240,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0241,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0242,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0243,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0244,unknown,rule,endpoint_success,none,none,False
dtest_case_0245,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0246,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0247,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0248,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0249,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0250,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0251,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0252,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0253,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0254,unknown,rule,endpoint_success,none,none,False
dtest_case_0255,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0256,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0257,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0258,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0259,unknown,rule,endpoint_success,none,none,False
dtest_case_0260,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0261,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0262,unknown,rule,endpoint_success,none,none,False
dtest_case_0263,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0264,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0265,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0266,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0267,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0268,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0269,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0270,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0271,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0272,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0273,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0274,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0275,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0276,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0277,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0278,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0279,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0280,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0281,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0282,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0283,unknown,rule,endpoint_success,none,none,False
dtest_case_0284,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0285,unknown,rule,endpoint_success,none,none,False
dtest_case_0286,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0287,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0288,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0289,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0290,unknown,rule,endpoint_success,none,none,False
dtest_case_0291,unknown,rule,endpoint_success,none,none,False
dtest_case_0292,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0293,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0294,unknown,rule,endpoint_success,none,none,False
dtest_case_0295,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0296,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0297,unknown,rule,endpoint_success,none,none,False
dtest_case_0298,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0299,unknown,rule,endpoint_success,none,none,False
dtest_case_0300,unknown,rule,endpoint_success,none,none,False
dtest_case_0301,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0302,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0303,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0304,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0305,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0306,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0307,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0308,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0309,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0310,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0311,unknown,rule,endpoint_success,none,none,False
dtest_case_0312,unknown,rule,endpoint_success,none,none,False
dtest_case_0313,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0314,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0315,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0316,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0317,unknown,rule,endpoint_success,none,none,False
dtest_case_0318,unknown,rule,endpoint_success,none,none,False
dtest_case_0319,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0320,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0321,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0322,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0323,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0324,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0325,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0326,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0327,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0328,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0329,unknown,rule,endpoint_success,none,none,False
dtest_case_0330,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0331,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0332,unknown,rule,endpoint_success,none,none,False
dtest_case_0333,unknown,rule,endpoint_success,none,none,False
dtest_case_0334,unknown,rule,endpoint_success,none,none,False
dtest_case_0335,unknown,rule,endpoint_success,none,none,False
dtest_case_0336,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0337,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0338,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0339,unknown,rule,endpoint_success,none,none,False
dtest_case_0340,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0341,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0342,unknown,rule,endpoint_success,none,none,False
dtest_case_0343,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
