case_id,model_name,predicted_onset,predicted_pattern,score_or_rank,included_terms
dtest_case_0005,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0005,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0005,endpoint_heuristic_uniform_random_seeded,t0,boundary_case,0.416,random
dtest_case_0005,simple_step_level,t2,local_verification_collapse,0.502,step_FE
dtest_case_0005,descriptive_error_label,t0,unverifiable_or_excluded,0.381,error_label
dtest_case_0005,step_FE_only,t0,boundary_case,0.48,step_FE
dtest_case_0005,lag_only,t1,burst_associated_degradation,0.467,lag
dtest_case_0005,A_only,t2,unverifiable_or_excluded,0.442,A
dtest_case_0005,I_nec_only,none,dependency_mediated_propagation,0.22,I_nec
dtest_case_0005,A_plus_I_nec,none,dependency_mediated_propagation,0.46,A+I_nec
dtest_case_0005,step_FE_plus_lag,t0,burst_associated_degradation,0.476,step_FE+lag
dtest_case_0006,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0006,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0006,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0006,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0006,endpoint_heuristic_uniform_random_seeded,not_identifiable,burst_associated_degradation,0.384,random
dtest_case_0006,simple_step_level,t0,unverifiable_or_excluded,0.407,step_FE
dtest_case_0006,descriptive_error_label,t1,unverifiable_or_excluded,0.333,error_label
dtest_case_0006,step_FE_only,t2,boundary_case,0.311,step_FE
dtest_case_0006,lag_only,none,local_verification_collapse,0.369,lag
dtest_case_0006,A_only,t0,boundary_case,0.553,A
dtest_case_0006,I_nec_only,none,local_verification_collapse,0.406,I_nec
dtest_case_0006,A_plus_I_nec,t0,boundary_case,0.511,A+I_nec
dtest_case_0006,step_FE_plus_lag,none,unverifiable_or_excluded,0.489,step_FE+lag
dtest_case_0007,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0007,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0007,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0007,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0007,endpoint_heuristic_uniform_random_seeded,t1,boundary_case,0.313,random
dtest_case_0007,simple_step_level,none,boundary_case,0.456,step_FE
dtest_case_0007,descriptive_error_label,t0,burst_associated_degradation,0.485,error_label
dtest_case_0007,step_FE_only,t2,boundary_case,0.484,step_FE
dtest_case_0007,lag_only,t1,local_verification_collapse,0.256,lag
dtest_case_0007,A_only,none,burst_associated_degradation,0.302,A
dtest_case_0007,I_nec_only,none,burst_associated_degradation,0.414,I_nec
dtest_case_0007,A_plus_I_nec,none,local_verification_collapse,0.447,A+I_nec
dtest_case_0007,step_FE_plus_lag,t1,boundary_case,0.483,step_FE+lag
dtest_case_0008,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0008,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0008,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0008,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0008,endpoint_heuristic_uniform_random_seeded,t0,boundary_case,0.308,random
dtest_case_0008,simple_step_level,none,burst_associated_degradation,0.42,step_FE
dtest_case_0008,descriptive_error_label,t1,dependency_mediated_propagation,0.406,error_label
dtest_case_0008,step_FE_only,none,boundary_case,0.434,step_FE
dtest_case_0008,lag_only,t0,burst_associated_degradation,0.425,lag
dtest_case_0008,A_only,t2,burst_associated_degradation,0.436,A
dtest_case_0008,I_nec_only,t0,boundary_case,0.336,I_nec
dtest_case_0008,A_plus_I_nec,none,burst_associated_degradation,0.418,A+I_nec
dtest_case_0008,step_FE_plus_lag,t0,boundary_case,0.386,step_FE+lag
dtest_case_0009,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0009,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0009,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0009,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0009,endpoint_heuristic_uniform_random_seeded,not_identifiable,unverifiable_or_excluded,0.29,random
dtest_case_0009,simple_step_level,none,unverifiable_or_excluded,0.51,step_FE
dtest_case_0009,descriptive_error_label,t2,dependency_mediated_propagation,0.334,error_label
dtest_case_0009,step_FE_only,none,local_verification_collapse,0.51,step_FE
dtest_case_0009,lag_only,t1,local_verification_collapse,0.273,lag
dtest_case_0009,A_only,t1,dependency_mediated_propagation,0.32,A
dtest_case_0009,I_nec_only,t1,burst_associated_degradation,0.383,I_nec
dtest_case_0009,A_plus_I_nec,t1,boundary_case,0.457,A+I_nec
dtest_case_0009,step_FE_plus_lag,t2,unverifiable_or_excluded,0.414,step_FE+lag
dtest_case_0010,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0010,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0010,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0010,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0010,endpoint_heuristic_uniform_random_seeded,not_identifiable,boundary_case,0.417,random
dtest_case_0010,simple_step_level,t0,unverifiable_or_excluded,0.395,step_FE
dtest_case_0010,descriptive_error_label,t1,unverifiable_or_excluded,0.258,error_label
dtest_case_0010,step_FE_only,t1,local_verification_collapse,0.518,step_FE
dtest_case_0010,lag_only,t2,dependency_mediated_propagation,0.407,lag
dtest_case_0010,A_only,t1,dependency_mediated_propagation,0.554,A
dtest_case_0010,I_nec_only,t1,boundary_case,0.32,I_nec
dtest_case_0010,A_plus_I_nec,t1,boundary_case,0.427,A+I_nec
dtest_case_0010,step_FE_plus_lag,t2,dependency_mediated_propagation,0.459,step_FE+lag
dtest_case_0011,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0011,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0011,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0011,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0011,endpoint_heuristic_uniform_random_seeded,t0,dependency_mediated_propagation,0.403,random
dtest_case_0011,simple_step_level,t2,dependency_mediated_propagation,0.417,step_FE
dtest_case_0011,descriptive_error_label,t0,dependency_mediated_propagation,0.532,error_label
dtest_case_0011,step_FE_only,t2,dependency_mediated_propagation,0.356,step_FE
dtest_case_0011,lag_only,t2,unverifiable_or_excluded,0.364,lag
dtest_case_0011,A_only,t2,dependency_mediated_propagation,0.502,A
dtest_case_0011,I_nec_only,none,boundary_case,0.395,I_nec
dtest_case_0011,A_plus_I_nec,t1,unverifiable_or_excluded,0.612,A+I_nec
dtest_case_0011,step_FE_plus_lag,t0,boundary_case,0.528,step_FE+lag
dtest_case_0012,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0012,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0012,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0012,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0012,endpoint_heuristic_uniform_random_seeded,not_identifiable,unverifiable_or_excluded,0.347,random
dtest_case_0012,simple_step_level,t0,local_verification_collapse,0.568,step_FE
dtest_case_0012,descriptive_error_label,t2,boundary_case,0.528,error_label
dtest_case_0012,step_FE_only,none,local_verification_collapse,0.531,step_FE
dtest_case_0012,lag_only,t1,unverifiable_or_excluded,0.281,lag
dtest_case_0012,A_only,t1,dependency_mediated_propagation,0.538,A
dtest_case_0012,I_nec_only,none,unverifiable_or_excluded,0.38,I_nec
dtest_case_0012,A_plus_I_nec,t0,unverifiable_or_excluded,0.551,A+I_nec
dtest_case_0012,step_FE_plus_lag,none,boundary_case,0.565,step_FE+lag
dtest_case_0013,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0013,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0013,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0013,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0013,endpoint_heuristic_uniform_random_seeded,t1,burst_associated_degradation,0.485,random
dtest_case_0013,simple_step_level,t2,unverifiable_or_excluded,0.513,step_FE
dtest_case_0013,descriptive_error_label,t1,unverifiable_or_excluded,0.337,error_label
dtest_case_0013,step_FE_only,t0,burst_associated_degradation,0.425,step_FE
dtest_case_0013,lag_only,none,burst_associated_degradation,0.345,lag
dtest_case_0013,A_only,none,boundary_case,0.527,A
dtest_case_0013,I_nec_only,none,dependency_mediated_propagation,0.434,I_nec
dtest_case_0013,A_plus_I_nec,t1,burst_associated_degradation,0.599,A+I_nec
dtest_case_0013,step_FE_plus_lag,t1,dependency_mediated_propagation,0.549,step_FE+lag
dtest_case_0014,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0014,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0014,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0014,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0014,endpoint_heuristic_uniform_random_seeded,not_identifiable,unverifiable_or_excluded,0.423,random
dtest_case_0014,simple_step_level,t0,unverifiable_or_excluded,0.511,step_FE
dtest_case_0014,descriptive_error_label,t1,unverifiable_or_excluded,0.4,error_label
dtest_case_0014,step_FE_only,none,burst_associated_degradation,0.351,step_FE
dtest_case_0014,lag_only,t2,local_verification_collapse,0.396,lag
dtest_case_0014,A_only,t0,local_verification_collapse,0.309,A
dtest_case_0014,I_nec_only,t2,dependency_mediated_propagation,0.257,I_nec
dtest_case_0014,A_plus_I_nec,t2,unverifiable_or_excluded,0.449,A+I_nec
dtest_case_0014,step_FE_plus_lag,t2,local_verification_collapse,0.43,step_FE+lag
dtest_case_0015,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0015,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0015,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0015,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0015,endpoint_heuristic_uniform_random_seeded,t0,burst_associated_degradation,0.482,random
dtest_case_0015,simple_step_level,none,burst_associated_degradation,0.303,step_FE
dtest_case_0015,descriptive_error_label,t2,unverifiable_or_excluded,0.508,error_label
dtest_case_0015,step_FE_only,t0,burst_associated_degradation,0.318,step_FE
dtest_case_0015,lag_only,t1,boundary_case,0.392,lag
dtest_case_0015,A_only,none,local_verification_collapse,0.374,A
dtest_case_0015,I_nec_only,t0,local_verification_collapse,0.369,I_nec
dtest_case_0015,A_plus_I_nec,t0,unverifiable_or_excluded,0.534,A+I_nec
dtest_case_0015,step_FE_plus_lag,t0,unverifiable_or_excluded,0.457,step_FE+lag
dtest_case_0016,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0016,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0016,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0016,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0016,endpoint_heuristic_uniform_random_seeded,t1,unverifiable_or_excluded,0.288,random
dtest_case_0016,simple_step_level,t1,boundary_case,0.502,step_FE
dtest_case_0016,descriptive_error_label,t2,local_verification_collapse,0.528,error_label
dtest_case_0016,step_FE_only,t2,local_verification_collapse,0.492,step_FE
dtest_case_0016,lag_only,none,unverifiable_or_excluded,0.288,lag
dtest_case_0016,A_only,none,boundary_case,0.589,A
dtest_case_0016,I_nec_only,t2,unverifiable_or_excluded,0.396,I_nec
dtest_case_0016,A_plus_I_nec,none,unverifiable_or_excluded,0.468,A+I_nec
dtest_case_0016,step_FE_plus_lag,none,local_verification_collapse,0.399,step_FE+lag
dtest_case_0017,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0017,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0017,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0017,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0017,endpoint_heuristic_uniform_random_seeded,t2,dependency_mediated_propagation,0.496,random
dtest_case_0017,simple_step_level,t0,dependency_mediated_propagation,0.345,step_FE
dtest_case_0017,descriptive_error_label,t2,local_verification_collapse,0.457,error_label
dtest_case_0017,step_FE_only,none,local_verification_collapse,0.521,step_FE
dtest_case_0017,lag_only,t1,burst_associated_degradation,0.387,lag
dtest_case_0017,A_only,t1,boundary_case,0.548,A
dtest_case_0017,I_nec_only,t0,unverifiable_or_excluded,0.216,I_nec
dtest_case_0017,A_plus_I_nec,none,unverifiable_or_excluded,0.359,A+I_nec
dtest_case_0017,step_FE_plus_lag,t0,local_verification_collapse,0.41,step_FE+lag
dtest_case_0018,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0018,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0018,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0018,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0018,endpoint_heuristic_uniform_random_seeded,t1,boundary_case,0.286,random
dtest_case_0018,simple_step_level,t1,boundary_case,0.338,step_FE
dtest_case_0018,descriptive_error_label,t2,local_verification_collapse,0.374,error_label
dtest_case_0018,step_FE_only,t0,burst_associated_degradation,0.47,step_FE
dtest_case_0018,lag_only,t1,dependency_mediated_propagation,0.309,lag
dtest_case_0018,A_only,t0,local_verification_collapse,0.506,A
dtest_case_0018,I_nec_only,none,dependency_mediated_propagation,0.427,I_nec
dtest_case_0018,A_plus_I_nec,t0,boundary_case,0.398,A+I_nec
dtest_case_0018,step_FE_plus_lag,t1,burst_associated_degradation,0.508,step_FE+lag
dtest_case_0019,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0019,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0019,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0019,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0019,endpoint_heuristic_uniform_random_seeded,t1,unverifiable_or_excluded,0.205,random
dtest_case_0019,simple_step_level,none,unverifiable_or_excluded,0.408,step_FE
dtest_case_0019,descriptive_error_label,t0,dependency_mediated_propagation,0.267,error_label
dtest_case_0019,step_FE_only,t0,burst_associated_degradation,0.501,step_FE
dtest_case_0019,lag_only,none,burst_associated_degradation,0.452,lag
dtest_case_0019,A_only,t1,burst_associated_degradation,0.336,A
dtest_case_0019,I_nec_only,t2,dependency_mediated_propagation,0.287,I_nec
dtest_case_0019,A_plus_I_nec,none,boundary_case,0.441,A+I_nec
dtest_case_0019,step_FE_plus_lag,t1,unverifiable_or_excluded,0.446,step_FE+lag
dtest_case_0020,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0020,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0020,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0020,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0020,endpoint_heuristic_uniform_random_seeded,t2,dependency_mediated_propagation,0.386,random
dtest_case_0020,simple_step_level,none,unverifiable_or_excluded,0.542,step_FE
dtest_case_0020,descriptive_error_label,t2,dependency_mediated_propagation,0.511,error_label
dtest_case_0020,step_FE_only,t1,unverifiable_or_excluded,0.428,step_FE
dtest_case_0020,lag_only,t1,boundary_case,0.363,lag
dtest_case_0020,A_only,t0,unverifiable_or_excluded,0.421,A
dtest_case_0020,I_nec_only,t0,unverifiable_or_excluded,0.309,I_nec
dtest_case_0020,A_plus_I_nec,none,local_verification_collapse,0.571,A+I_nec
dtest_case_0020,step_FE_plus_lag,none,local_verification_collapse,0.544,step_FE+lag
dtest_case_0021,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0021,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0021,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0021,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0021,endpoint_heuristic_uniform_random_seeded,t1,unverifiable_or_excluded,0.348,random
dtest_case_0021,simple_step_level,t1,dependency_mediated_propagation,0.523,step_FE
dtest_case_0021,descriptive_error_label,t0,unverifiable_or_excluded,0.259,error_label
dtest_case_0021,step_FE_only,t0,boundary_case,0.376,step_FE
dtest_case_0021,lag_only,none,dependency_mediated_propagation,0.318,lag
dtest_case_0021,A_only,none,dependency_mediated_propagation,0.321,A
dtest_case_0021,I_nec_only,t1,local_verification_collapse,0.363,I_nec
dtest_case_0021,A_plus_I_nec,t1,dependency_mediated_propagation,0.385,A+I_nec
dtest_case_0021,step_FE_plus_lag,t1,burst_associated_degradation,0.591,step_FE+lag
dtest_case_0022,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0022,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0022,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0022,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0022,endpoint_heuristic_uniform_random_seeded,t1,dependency_mediated_propagation,0.404,random
dtest_case_0022,simple_step_level,t0,boundary_case,0.305,step_FE
dtest_case_0022,descriptive_error_label,t0,dependency_mediated_propagation,0.314,error_label
dtest_case_0022,step_FE_only,t0,boundary_case,0.52,step_FE
dtest_case_0022,lag_only,none,burst_associated_degradation,0.349,lag
dtest_case_0022,A_only,none,boundary_case,0.573,A
dtest_case_0022,I_nec_only,t2,dependency_mediated_propagation,0.251,I_nec
dtest_case_0022,A_plus_I_nec,none,dependency_mediated_propagation,0.457,A+I_nec
dtest_case_0022,step_FE_plus_lag,t2,unverifiable_or_excluded,0.528,step_FE+lag
dtest_case_0023,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0023,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0023,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0023,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0023,endpoint_heuristic_uniform_random_seeded,t0,unverifiable_or_excluded,0.277,random
dtest_case_0023,simple_step_level,t1,local_verification_collapse,0.466,step_FE
dtest_case_0023,descriptive_error_label,t1,dependency_mediated_propagation,0.345,error_label
dtest_case_0023,step_FE_only,t2,dependency_mediated_propagation,0.472,step_FE
dtest_case_0023,lag_only,none,dependency_mediated_propagation,0.437,lag
dtest_case_0023,A_only,t1,unverifiable_or_excluded,0.478,A
dtest_case_0023,I_nec_only,t2,unverifiable_or_excluded,0.4,I_nec
dtest_case_0023,A_plus_I_nec,t1,local_verification_collapse,0.641,A+I_nec
dtest_case_0023,step_FE_plus_lag,t1,boundary_case,0.487,step_FE+lag
dtest_case_0024,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0024,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0024,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0024,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0024,endpoint_heuristic_uniform_random_seeded,t0,local_verification_collapse,0.396,random
dtest_case_0024,simple_step_level,t1,boundary_case,0.575,step_FE
dtest_case_0024,descriptive_error_label,t0,local_verification_collapse,0.264,error_label
dtest_case_0024,step_FE_only,t0,unverifiable_or_excluded,0.525,step_FE
dtest_case_0024,lag_only,none,dependency_mediated_propagation,0.44,lag
dtest_case_0024,A_only,t0,boundary_case,0.54,A
dtest_case_0024,I_nec_only,none,boundary_case,0.31,I_nec
dtest_case_0024,A_plus_I_nec,t2,local_verification_collapse,0.468,A+I_nec
dtest_case_0024,step_FE_plus_lag,t0,local_verification_collapse,0.42,step_FE+lag
dtest_case_0025,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0025,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0025,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0025,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0025,endpoint_heuristic_uniform_random_seeded,t0,unverifiable_or_excluded,0.433,random
dtest_case_0025,simple_step_level,none,dependency_mediated_propagation,0.339,step_FE
dtest_case_0025,descriptive_error_label,t1,local_verification_collapse,0.35,error_label
dtest_case_0025,step_FE_only,none,unverifiable_or_excluded,0.35,step_FE
dtest_case_0025,lag_only,t2,burst_associated_degradation,0.466,lag
dtest_case_0025,A_only,t1,unverifiable_or_excluded,0.5,A
dtest_case_0025,I_nec_only,t0,unverifiable_or_excluded,0.336,I_nec
dtest_case_0025,A_plus_I_nec,t0,burst_associated_degradation,0.405,A+I_nec
dtest_case_0025,step_FE_plus_lag,none,dependency_mediated_propagation,0.452,step_FE+lag
dtest_case_0026,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0026,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0026,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0026,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0026,endpoint_heuristic_uniform_random_seeded,t1,boundary_case,0.252,random
dtest_case_0026,simple_step_level,none,boundary_case,0.304,step_FE
dtest_case_0026,descriptive_error_label,t1,unverifiable_or_excluded,0.457,error_label
