case_id,checkpoint_id,step_position,checkpoint_text_or_structured_state,pre_verification_status,atomic_verification_pass,A_t,H_t,verifier_rule_triggered,verifier_error_code,unverifiable_flag
dtest_case_0007,dtest_case_0007_t2,t2,state_t2_for_dtest_case_0007,pass,True,0.724,0.193,,,False
dtest_case_0008,dtest_case_0008_t0,t0,state_t0_for_dtest_case_0008,pass,True,0.722,0.261,,,False
dtest_case_0008,dtest_case_0008_t1,t1,state_t1_for_dtest_case_0008,pass,True,0.932,0.345,,,False
dtest_case_0008,dtest_case_0008_t2,t2,state_t2_for_dtest_case_0008,pass,True,0.639,0.317,,,False
dtest_case_0009,dtest_case_0009_t0,t0,state_t0_for_dtest_case_0009,pass,True,0.812,0.255,,,False
dtest_case_0009,dtest_case_0009_t1,t1,state_t1_for_dtest_case_0009,fail,False,0.025,0.696,H_divergence,V004,False
dtest_case_0009,dtest_case_0009_t2,t2,state_t2_for_dtest_case_0009,pass,True,0.621,0.274,,,False
dtest_case_0010,dtest_case_0010_t0,t0,state_t0_for_dtest_case_0010,fail,False,0.154,0.953,burst_detector,V001,False
dtest_case_0010,dtest_case_0010_t1,t1,state_t1_for_dtest_case_0010,pass,True,0.818,0.112,,,False
dtest_case_0010,dtest_case_0010_t2,t2,state_t2_for_dtest_case_0010,pass,True,0.761,0.361,,,False
dtest_case_0011,dtest_case_0011_t0,t0,state_t0_for_dtest_case_0011,pass,True,0.756,0.309,,,False
dtest_case_0011,dtest_case_0011_t1,t1,state_t1_for_dtest_case_0011,pass,True,0.819,0.293,,,False
dtest_case_0011,dtest_case_0011_t2,t2,state_t2_for_dtest_case_0011,fail,False,0.452,0.722,gate_check,V001,False
dtest_case_0012,dtest_case_0012_t0,t0,state_t0_for_dtest_case_0012,pass,True,0.877,0.082,,,False
dtest_case_0012,dtest_case_0012_t1,t1,state_t1_for_dtest_case_0012,fail,False,0.387,0.71,A_threshold,V002,False
dtest_case_0012,dtest_case_0012_t2,t2,state_t2_for_dtest_case_0012,fail,False,0.44,0.563,I_nec_trigger,V003,False
dtest_case_0013,dtest_case_0013_t0,t0,state_t0_for_dtest_case_0013,fail,False,0.12,0.942,pattern_matcher,V001,False
dtest_case_0013,dtest_case_0013_t1,t1,state_t1_for_dtest_case_0013,pass,True,0.953,0.216,,,False
dtest_case_0013,dtest_case_0013_t2,t2,state_t2_for_dtest_case_0013,pass,True,0.992,0.381,,,False
dtest_case_0014,dtest_case_0014_t0,t0,state_t0_for_dtest_case_0014,pass,True,0.861,0.271,,,False
dtest_case_0014,dtest_case_0014_t1,t1,state_t1_for_dtest_case_0014,pass,True,0.787,0.172,,,False
dtest_case_0014,dtest_case_0014_t2,t2,state_t2_for_dtest_case_0014,pass,True,0.605,0.007,,,False
dtest_case_0015,dtest_case_0015_t0,t0,state_t0_for_dtest_case_0015,pass,True,0.779,0.196,,,False
dtest_case_0015,dtest_case_0015_t1,t1,state_t1_for_dtest_case_0015,pass,True,0.816,0.051,,,False
dtest_case_0015,dtest_case_0015_t2,t2,state_t2_for_dtest_case_0015,pass,True,0.927,0.011,,,False
dtest_case_0016,dtest_case_0016_t0,t0,state_t0_for_dtest_case_0016,fail,False,0.169,0.966,I_nec_trigger,,False
dtest_case_0016,dtest_case_0016_t1,t1,state_t1_for_dtest_case_0016,fail,False,0.297,0.969,gate_check,V001,False
dtest_case_0016,dtest_case_0016_t2,t2,state_t2_for_dtest_case_0016,pass,True,0.971,0.388,,,False
dtest_case_0017,dtest_case_0017_t0,t0,state_t0_for_dtest_case_0017,pass,True,0.921,0.06,,,False
dtest_case_0017,dtest_case_0017_t1,t1,state_t1_for_dtest_case_0017,fail,False,0.455,0.954,I_nec_trigger,,False
dtest_case_0017,dtest_case_0017_t2,t2,state_t2_for_dtest_case_0017,fail,False,0.336,0.662,H_divergence,V002,False
dtest_case_0018,dtest_case_0018_t0,t0,state_t0_for_dtest_case_0018,pass,True,0.677,0.178,,,False
dtest_case_0018,dtest_case_0018_t1,t1,state_t1_for_dtest_case_0018,fail,False,0.423,0.97,pattern_matcher,V002,False
dtest_case_0018,dtest_case_0018_t2,t2,state_t2_for_dtest_case_0018,fail,False,0.168,0.556,I_nec_trigger,V003,False
dtest_case_0019,dtest_case_0019_t0,t0,state_t0_for_dtest_case_0019,fail,False,0.167,0.668,H_divergence,V002,False
dtest_case_0019,dtest_case_0019_t1,t1,state_t1_for_dtest_case_0019,pass,True,0.96,0.33,,,False
dtest_case_0019,dtest_case_0019_t2,t2,state_t2_for_dtest_case_0019,pass,True,0.925,0.34,,,False
dtest_case_0020,dtest_case_0020_t0,t0,state_t0_for_dtest_case_0020,pass,True,0.646,0.04,,,False
dtest_case_0020,dtest_case_0020_t1,t1,state_t1_for_dtest_case_0020,fail,False,0.247,0.836,burst_detector,V003,False
dtest_case_0020,dtest_case_0020_t2,t2,state_t2_for_dtest_case_0020,pass,True,0.957,0.257,,,False
dtest_case_0021,dtest_case_0021_t0,t0,state_t0_for_dtest_case_0021,fail,False,0.433,0.636,pattern_matcher,V005,False
dtest_case_0021,dtest_case_0021_t1,t1,state_t1_for_dtest_case_0021,fail,False,0.086,0.786,A_threshold,,False
dtest_case_0021,dtest_case_0021_t2,t2,state_t2_for_dtest_case_0021,fail,False,0.463,0.821,I_nec_trigger,V002,False
dtest_case_0022,dtest_case_0022_t0,t0,state_t0_for_dtest_case_0022,pass,True,0.756,0.103,,,False
dtest_case_0022,dtest_case_0022_t1,t1,state_t1_for_dtest_case_0022,pass,True,0.743,0.195,,,False
dtest_case_0022,dtest_case_0022_t2,t2,state_t2_for_dtest_case_0022,pass,True,0.958,0.338,,,False
dtest_case_0023,dtest_case_0023_t0,t0,state_t0_for_dtest_case_0023,pass,True,0.964,0.144,,,False
dtest_case_0023,dtest_case_0023_t1,t1,state_t1_for_dtest_case_0023,fail,False,0.092,0.986,I_nec_trigger,,False
dtest_case_0023,dtest_case_0023_t2,t2,state_t2_for_dtest_case_0023,fail,False,0.1,0.794,burst_detector,,False
dtest_case_0024,dtest_case_0024_t0,t0,state_t0_for_dtest_case_0024,fail,False,0.456,0.573,pattern_matcher,V005,False
dtest_case_0024,dtest_case_0024_t1,t1,state_t1_for_dtest_case_0024,fail,False,0.158,0.707,I_nec_trigger,V005,False
dtest_case_0024,dtest_case_0024_t2,t2,state_t2_for_dtest_case_0024,fail,False,0.259,0.875,H_divergence,V003,False
dtest_case_0025,dtest_case_0025_t0,t0,state_t0_for_dtest_case_0025,pass,True,0.688,0.308,,,False
dtest_case_0025,dtest_case_0025_t1,t1,state_t1_for_dtest_case_0025,pass,True,0.889,0.357,,,False
dtest_case_0025,dtest_case_0025_t2,t2,state_t2_for_dtest_case_0025,pass,True,0.87,0.212,,,False
dtest_case_0026,dtest_case_0026_t0,t0,state_t0_for_dtest_case_0026,pass,True,0.882,0.279,,,False
dtest_case_0026,dtest_case_0026_t1,t1,state_t1_for_dtest_case_0026,pass,True,0.747,0.308,,,False
dtest_case_0026,dtest_case_0026_t2,t2,state_t2_for_dtest_case_0026,pass,True,0.997,0.376,,,False
dtest_case_0027,dtest_case_0027_t0,t0,state_t0_for_dtest_case_0027,fail,False,0.466,0.916,gate_check,V003,False
dtest_case_0027,dtest_case_0027_t1,t1,state_t1_for_dtest_case_0027,pass,True,0.716,0.371,,,False
dtest_case_0027,dtest_case_0027_t2,t2,state_t2_for_dtest_case_0027,fail,False,0.371,0.531,I_nec_trigger,V002,False
dtest_case_0028,dtest_case_0028_t0,t0,state_t0_for_dtest_case_0028,pass,True,0.844,0.087,,,False
dtest_case_0028,dtest_case_0028_t1,t1,state_t1_for_dtest_case_0028,pass,True,0.881,0.253,,,False
dtest_case_0028,dtest_case_0028_t2,t2,state_t2_for_dtest_case_0028,pass,True,0.958,0.391,,,False
dtest_case_0029,dtest_case_0029_t0,t0,state_t0_for_dtest_case_0029,pass,True,0.985,0.059,,,False
dtest_case_0029,dtest_case_0029_t1,t1,state_t1_for_dtest_case_0029,pass,True,1.0,0.151,,,False
dtest_case_0029,dtest_case_0029_t2,t2,state_t2_for_dtest_case_0029,pass,True,0.978,0.242,,,False
dtest_case_0030,dtest_case_0030_t0,t0,state_t0_for_dtest_case_0030,fail,False,0.354,0.928,H_divergence,V003,False
dtest_case_0030,dtest_case_0030_t1,t1,state_t1_for_dtest_case_0030,fail,False,0.063,0.904,gate_check,,False
dtest_case_0030,dtest_case_0030_t2,t2,state_t2_for_dtest_case_0030,fail,False,0.364,0.652,burst_detector,V004,False
dtest_case_0031,dtest_case_0031_t0,t0,state_t0_for_dtest_case_0031,pass,True,0.992,0.055,,,False
dtest_case_0031,dtest_case_0031_t1,t1,state_t1_for_dtest_case_0031,pass,True,0.839,0.356,,,False
dtest_case_0031,dtest_case_0031_t2,t2,state_t2_for_dtest_case_0031,pass,True,0.649,0.392,,,False
dtest_case_0032,dtest_case_0032_t0,t0,state_t0_for_dtest_case_0032,pass,True,0.787,0.209,,,False
dtest_case_0032,dtest_case_0032_t1,t1,state_t1_for_dtest_case_0032,pass,True,0.77,0.368,,,False
dtest_case_0032,dtest_case_0032_t2,t2,state_t2_for_dtest_case_0032,pass,True,0.859,0.187,,,False
dtest_case_0033,dtest_case_0033_t0,t0,state_t0_for_dtest_case_0033,pass,True,0.924,0.13,,,False
dtest_case_0033,dtest_case_0033_t1,t1,state_t1_for_dtest_case_0033,fail,False,0.172,0.679,burst_detector,V003,False
dtest_case_0033,dtest_case_0033_t2,t2,state_t2_for_dtest_case_0033,pass,True,0.922,0.369,,,False
dtest_case_0034,dtest_case_0034_t0,t0,state_t0_for_dtest_case_0034,pass,True,0.926,0.197,,,False
dtest_case_0034,dtest_case_0034_t1,t1,state_t1_for_dtest_case_0034,pass,True,0.993,0.34,,,False
dtest_case_0034,dtest_case_0034_t2,t2,state_t2_for_dtest_case_0034,fail,False,0.473,0.737,I_nec_trigger,,False
dtest_case_0035,dtest_case_0035_t0,t0,state_t0_for_dtest_case_0035,pass,True,0.713,0.14,,,False
dtest_case_0035,dtest_case_0035_t1,t1,state_t1_for_dtest_case_0035,fail,False,0.241,0.807,burst_detector,V005,False
dtest_case_0035,dtest_case_0035_t2,t2,state_t2_for_dtest_case_0035,pass,True,0.906,0.192,,,False
dtest_case_0036,dtest_case_0036_t0,t0,state_t0_for_dtest_case_0036,pass,True,0.897,0.167,,,False
dtest_case_0036,dtest_case_0036_t1,t1,state_t1_for_dtest_case_0036,pass,True,0.624,0.222,,,False
dtest_case_0036,dtest_case_0036_t2,t2,state_t2_for_dtest_case_0036,pass,True,0.784,0.009,,,False
dtest_case_0037,dtest_case_0037_t0,t0,state_t0_for_dtest_case_0037,pass,True,0.754,0.287,,,False
dtest_case_0037,dtest_case_0037_t1,t1,state_t1_for_dtest_case_0037,pass,True,0.741,0.395,,,False
dtest_case_0037,dtest_case_0037_t2,t2,state_t2_for_dtest_case_0037,pass,True,0.969,0.005,,,False
dtest_case_0038,dtest_case_0038_t0,t0,state_t0_for_dtest_case_0038,pass,True,0.685,0.394,,,False
dtest_case_0038,dtest_case_0038_t1,t1,state_t1_for_dtest_case_0038,pass,True,0.947,0.372,,,False
dtest_case_0038,dtest_case_0038_t2,t2,state_t2_for_dtest_case_0038,fail,False,0.189,0.894,burst_detector,V004,False
dtest_case_0039,dtest_case_0039_t0,t0,state_t0_for_dtest_case_0039,pass,True,0.977,0.035,,,False
dtest_case_0039,dtest_case_0039_t1,t1,state_t1_for_dtest_case_0039,pass,True,0.755,0.123,,,False
dtest_case_0039,dtest_case_0039_t2,t2,state_t2_for_dtest_case_0039,fail,False,0.059,0.836,H_divergence,V002,False
dtest_case_0040,dtest_case_0040_t0,t0,state_t0_for_dtest_case_0040,pass,True,0.602,0.364,,,False
dtest_case_0040,dtest_case_0040_t1,t1,state_t1_for_dtest_case_0040,pass,True,0.941,0.212,,,False
dtest_case_0040,dtest_case_0040_t2,t2,state_t2_for_dtest_case_0040,pass,True,0.86,0.056,,,False
dtest_case_0041,dtest_case_0041_t0,t0,state_t0_for_dtest_case_0041,pass,True,0.796,0.02,,,False
dtest_case_0041,dtest_case_0041_t1,t1,state_t1_for_dtest_case_0041,pass,True,0.788,0.11,,,False
dtest_case_0041,dtest_case_0041_t2,t2,state_t2_for_dtest_case_0041,pass,True,0.96,0.005,,,False
dtest_case_0042,dtest_case_0042_t0,t0,state_t0_for_dtest_case_0042,pass,True,0.983,0.034,,,False
dtest_case_0042,dtest_case_0042_t1,t1,state_t1_for_dtest_case_0042,pass,True,0.767,0.114,,,False
dtest_case_0042,dtest_case_0042_t2,t2,state_t2_for_dtest_case_0042,pass,True,0.642,0.324,,,False
dtest_case_0043,dtest_case_0043_t0,t0,state_t0_for_dtest_case_0043,pass,True,0.994,0.126,,,False
dtest_case_0043,dtest_case_0043_t1,t1,state_t1_for_dtest_case_0043,fail,False,0.495,0.766,H_divergence,,False
dtest_case_0043,dtest_case_0043_t2,t2,state_t2_for_dtest_case_0043,pass,True,0.938,0.323,,,False
dtest_case_0044,dtest_case_0044_t0,t0,state_t0_for_dtest_case_0044,pass,True,0.783,0.046,,,False
dtest_case_0044,dtest_case_0044_t1,t1,state_t1_for_dtest_case_0044,pass,True,0.983,0.275,,,False
dtest_case_0044,dtest_case_0044_t2,t2,state_t2_for_dtest_case_0044,pass,True,0.722,0.189,,,False
dtest_case_0045,dtest_case_0045_t0,t0,state_t0_for_dtest_case_0045,fail,False,0.108,0.517,burst_detector,V004,False
dtest_case_0045,dtest_case_0045_t1,t1,state_t1_for_dtest_case_0045,pass,True,0.851,0.252,,,False
dtest_case_0045,dtest_case_0045_t2,t2,state_t2_for_dtest_case_0045,fail,False,0.16,0.606,pattern_matcher,,False
dtest_case_0046,dtest_case_0046_t0,t0,state_t0_for_dtest_case_0046,fail,False,0.253,0.973,H_divergence,V003,False
dtest_case_0046,dtest_case_0046_t1,t1,state_t1_for_dtest_case_0046,pass,True,0.732,0.184,,,False
dtest_case_0046,dtest_case_0046_t2,t2,state_t2_for_dtest_case_0046,fail,False,0.097,0.795,H_divergence,V002,False
dtest_case_0047,dtest_case_0047_t0,t0,state_t0_for_dtest_case_0047,fail,False,0.427,0.857,gate_check,V005,False
dtest_case_0047,dtest_case_0047_t1,t1,state_t1_for_dtest_case_0047,pass,True,0.862,0.121,,,False
dtest_case_0047,dtest_case_0047_t2,t2,state_t2_for_dtest_case_0047,pass,True,0.667,0.045,,,False
dtest_case_0048,dtest_case_0048_t0,t0,state_t0_for_dtest_case_0048,fail,False,0.329,0.847,gate_check,V003,False
dtest_case_0048,dtest_case_0048_t1,t1,state_t1_for_dtest_case_0048,fail,False,0.034,0.583,A_threshold,V002,False
dtest_case_0048,dtest_case_0048_t2,t2,state_t2_for_dtest_case_0048,fail,False,0.091,0.524,gate_check,V005,False
dtest_case_0049,dtest_case_0049_t0,t0,state_t0_for_dtest_case_0049,pass,True,0.878,0.395,,,False
dtest_case_0049,dtest_case_0049_t1,t1,state_t1_for_dtest_case_0049,pass,True,0.871,0.122,,,False
dtest_case_0049,dtest_case_0049_t2,t2,state_t2_for_dtest_case_0049,pass,True,0.784,0.364,,,False
dtest_case_0050,dtest_case_0050_t0,t0,state_t0_for_dtest_case_0050,pass,True,0.623,0.053,,,False
dtest_case_0050,dtest_case_0050_t1,t1,state_t1_for_dtest_case_0050,pass,True,0.701,0.077,,,False
dtest_case_0050,dtest_case_0050_t2,t2,state_t2_for_dtest_case_0050,fail,False,0.335,0.807,H_divergence,V004,False
dtest_case_0051,dtest_case_0051_t0,t0,state_t0_for_dtest_case_0051,fail,False,0.097,0.721,pattern_matcher,V002,False
dtest_case_0051,dtest_case_0051_t1,t1,state_t1_for_dtest_case_0051,fail,False,0.314,0.848,gate_check,V005,False
dtest_case_0051,dtest_case_0051_t2,t2,state_t2_for_dtest_case_0051,fail,False,0.057,0.58,gate_check,,False
dtest_case_0052,dtest_case_0052_t0,t0,state_t0_for_dtest_case_0052,fail,False,0.119,0.964,H_divergence,V002,False
dtest_case_0052,dtest_case_0052_t1,t1,state_t1_for_dtest_case_0052,pass,True,0.8,0.058,,,False
dtest_case_0052,dtest_case_0052_t2,t2,state_t2_for_dtest_case_0052,unverifiable,False,0.26,0.865,H_divergence,V004,True
dtest_case_0053,dtest_case_0053_t0,t0,state_t0_for_dtest_case_0053,pass,True,0.634,0.395,,,False
dtest_case_0053,dtest_case_0053_t1,t1,state_t1_for_dtest_case_0053,fail,False,0.44,0.643,pattern_matcher,V002,False
dtest_case_0053,dtest_case_0053_t2,t2,state_t2_for_dtest_case_0053,fail,False,0.141,0.728,I_nec_trigger,V001,False
dtest_case_0054,dtest_case_0054_t0,t0,state_t0_for_dtest_case_0054,fail,False,0.079,0.967,I_nec_trigger,V002,False
dtest_case_0054,dtest_case_0054_t1,t1,state_t1_for_dtest_case_0054,fail,False,0.129,0.735,burst_detector,V001,False
dtest_case_0054,dtest_case_0054_t2,t2,state_t2_for_dtest_case_0054,fail,False,0.329,0.929,H_divergence,,False
dtest_case_0055,dtest_case_0055_t0,t0,state_t0_for_dtest_case_0055,pass,True,0.82,0.07,,,False
dtest_case_0055,dtest_case_0055_t1,t1,state_t1_for_dtest_case_0055,fail,False,0.206,0.72,gate_check,V005,False
dtest_case_0055,dtest_case_0055_t2,t2,state_t2_for_dtest_case_0055,fail,False,0.283,0.996,burst_detector,V001,False
dtest_case_0056,dtest_case_0056_t0,t0,state_t0_for_dtest_case_0056,pass,True,0.915,0.055,,,False
dtest_case_0056,dtest_case_0056_t1,t1,state_t1_for_dtest_case_0056,pass,True,0.71,0.021,,,False
dtest_case_0056,dtest_case_0056_t2,t2,state_t2_for_dtest_case_0056,fail,False,0.235,0.692,pattern_matcher,,False
dtest_case_0057,dtest_case_0057_t0,t0,state_t0_for_dtest_case_0057,pass,True,0.682,0.232,,,False
dtest_case_0057,dtest_case_0057_t1,t1,state_t1_for_dtest_case_0057,pass,True,0.991,0.035,,,False
dtest_case_0057,dtest_case_0057_t2,t2,state_t2_for_dtest_case_0057,pass,True,0.873,0.308,,,False
dtest_case_0058,dtest_case_0058_t0,t0,state_t0_for_dtest_case_0058,fail,False,0.107,0.884,H_divergence,V003,False
dtest_case_0058,dtest_case_0058_t1,t1,state_t1_for_dtest_case_0058,fail,False,0.127,0.945,burst_detector,,False
dtest_case_0058,dtest_case_0058_t2,t2,state_t2_for_dtest_case_0058,fail,False,0.09,0.951,burst_detector,V005,False
dtest_case_0059,dtest_case_0059_t0,t0,state_t0_for_dtest_case_0059,fail,False,0.022,0.558,burst_detector,V001,False
dtest_case_0059,dtest_case_0059_t1,t1,state_t1_for_dtest_case_0059,fail,False,0.233,0.612,gate_check,,False
dtest_case_0059,dtest_case_0059_t2,t2,state_t2_for_dtest_case_0059,fail,False,0.355,0.997,H_divergence,,False
dtest_case_0060,dtest_case_0060_t0,t0,state_t0_for_dtest_case_0060,pass,True,0.947,0.259,,,False
dtest_case_0060,dtest_case_0060_t1,t1,state_t1_for_dtest_case_0060,fail,False,0.038,0.921,burst_detector,V004,False
dtest_case_0060,dtest_case_0060_t2,t2,state_t2_for_dtest_case_0060,fail,False,0.299,0.888,gate_check,V003,False
dtest_case_0061,dtest_case_0061_t0,t0,state_t0_for_dtest_case_0061,pass,True,0.897,0.224,,,False
dtest_case_0061,dtest_case_0061_t1,t1,state_t1_for_dtest_case_0061,pass,True,0.844,0.224,,,False
dtest_case_0061,dtest_case_0061_t2,t2,state_t2_for_dtest_case_0061,fail,False,0.286,0.755,I_nec_trigger,,False
dtest_case_0062,dtest_case_0062_t0,t0,state_t0_for_dtest_case_0062,pass,True,0.827,0.304,,,False
dtest_case_0062,dtest_case_0062_t1,t1,state_t1_for_dtest_case_0062,pass,True,0.687,0.396,,,False
dtest_case_0062,dtest_case_0062_t2,t2,state_t2_for_dtest_case_0062,fail,False,0.356,0.566,H_divergence,V004,False
dtest_case_0063,dtest_case_0063_t0,t0,state_t0_for_dtest_case_0063,pass,True,0.648,0.391,,,False
dtest_case_0063,dtest_case_0063_t1,t1,state_t1_for_dtest_case_0063,pass,True,0.887,0.243,,,False
dtest_case_0063,dtest_case_0063_t2,t2,state_t2_for_dtest_case_0063,fail,False,0.076,0.761,A_threshold,,False
dtest_case_0064,dtest_case_0064_t0,t0,state_t0_for_dtest_case_0064,fail,False,0.055,0.869,I_nec_trigger,V004,False
dtest_case_0064,dtest_case_0064_t1,t1,state_t1_for_dtest_case_0064,pass,True,0.638,0.107,,,False
dtest_case_0064,dtest_case_0064_t2,t2,state_t2_for_dtest_case_0064,fail,False,0.027,0.744,burst_detector,V003,False
dtest_case_0065,dtest_case_0065_t0,t0,state_t0_for_dtest_case_0065,pass,True,0.655,0.363,,,False
dtest_case_0065,dtest_case_0065_t1,t1,state_t1_for_dtest_case_0065,fail,False,0.449,0.747,pattern_matcher,V004,False
dtest_case_0065,dtest_case_0065_t2,t2,state_t2_for_dtest_case_0065,fail,False,0.441,0.711,H_divergence,V004,False
dtest_case_0066,dtest_case_0066_t0,t0,state_t0_for_dtest_case_0066,pass,True,0.781,0.15,,,False
dtest_case_0066,dtest_case_0066_t1,t1,state_t1_for_dtest_case_0066,pass,True,0.707,0.077,,,False
dtest_case_0066,dtest_case_0066_t2,t2,state_t2_for_dtest_case_0066,pass,True,0.615,0.378,,,False
dtest_case_0067,dtest_case_0067_t0,t0,state_t0_for_dtest_case_0067,fail,False,0.051,0.537,A_threshold,V005,False
dtest_case_0067,dtest_case_0067_t1,t1,state_t1_for_dtest_case_0067,pass,True,0.93,0.009,,,False
dtest_case_0067,dtest_case_0067_t2,t2,state_t2_for_dtest_case_0067,pass,True,0.814,0.054,,,False
dtest_case_0068,dtest_case_0068_t0,t0,state_t0_for_dtest_case_0068,fail,False,0.126,0.766,burst_detector,V002,False
dtest_case_0068,dtest_case_0068_t1,t1,state_t1_for_dtest_case_0068,pass,True,0.649,0.365,,,False
dtest_case_0068,dtest_case_0068_t2,t2,state_t2_for_dtest_case_0068,fail,False,0.271,0.675,H_divergence,V003,False
dtest_case_0069,dtest_case_0069_t0,t0,state_t0_for_dtest_case_0069,fail,False,0.31,0.705,H_divergence,V002,False
dtest_case_0069,dtest_case_0069_t1,t1,state_t1_for_dtest_case_0069,fail,False,0.109,0.619,A_threshold,V003,False
dtest_case_0069,dtest_case_0069_t2,t2,state_t2_for_dtest_case_0069,pass,True,0.702,0.245,,,False
dtest_case_0070,dtest_case_0070_t0,t0,state_t0_for_dtest_case_0070,pass,True,0.645,0.389,,,False
dtest_case_0070,dtest_case_0070_t1,t1,state_t1_for_dtest_case_0070,fail,False,0.031,0.97,I_nec_trigger,V004,False
dtest_case_0070,dtest_case_0070_t2,t2,state_t2_for_dtest_case_0070,fail,False,0.23,0.662,I_nec_trigger,,False
dtest_case_0071,dtest_case_0071_t0,t0,state_t0_for_dtest_case_0071,pass,True,0.804,0.028,,,False
dtest_case_0071,dtest_case_0071_t1,t1,state_t1_for_dtest_case_0071,pass,True,0.737,0.397,,,False
dtest_case_0071,dtest_case_0071_t2,t2,state_t2_for_dtest_case_0071,pass,True,0.619,0.101,,,False
dtest_case_0072,dtest_case_0072_t0,t0,state_t0_for_dtest_case_0072,pass,True,0.925,0.332,,,False
dtest_case_0072,dtest_case_0072_t1,t1,state_t1_for_dtest_case_0072,pass,True,0.93,0.291,,,False
dtest_case_0072,dtest_case_0072_t2,t2,state_t2_for_dtest_case_0072,fail,False,0.232,0.638,gate_check,,False
dtest_case_0073,dtest_case_0073_t0,t0,state_t0_for_dtest_case_0073,pass,True,0.627,0.342,,,False
dtest_case_0073,dtest_case_0073_t1,t1,state_t1_for_dtest_case_0073,pass,True,0.799,0.186,,,False
dtest_case_0073,dtest_case_0073_t2,t2,state_t2_for_dtest_case_0073,pass,True,0.65,0.319,,,False
dtest_case_0074,dtest_case_0074_t0,t0,state_t0_for_dtest_case_0074,fail,False,0.003,0.892,H_divergence,,False
dtest_case_0074,dtest_case_0074_t1,t1,state_t1_for_dtest_case_0074,fail,False,0.238,0.857,pattern_matcher,,False
dtest_case_0074,dtest_case_0074_t2,t2,state_t2_for_dtest_case_0074,pass,True,0.937,0.399,,,False
dtest_case_0075,dtest_case_0075_t0,t0,state_t0_for_dtest_case_0075,pass,True,0.76,0.281,,,False
dtest_case_0075,dtest_case_0075_t1,t1,state_t1_for_dtest_case_0075,fail,False,0.392,0.957,I_nec_trigger,V003,False
dtest_case_0075,dtest_case_0075_t2,t2,state_t2_for_dtest_case_0075,fail,False,0.07,0.985,I_nec_trigger,V002,False
dtest_case_0076,dtest_case_0076_t0,t0,state_t0_for_dtest_case_0076,pass,True,0.896,0.32,,,False
dtest_case_0076,dtest_case_0076_t1,t1,state_t1_for_dtest_case_0076,pass,True,0.8,0.329,,,False
