annotation_case_id,annotator_id,annotated_first_degradation_step,annotated_pattern_label,onset_confidence,pattern_confidence,boundary_flag,unverifiable_flag,ambiguous_flag,used_schema_flag,free_text_rationale,annotation_timestamp
annot_068,B,t1,unverifiable_or_excluded,3,3,True,False,False,False,Rationale for annot_068: Reviewed schema and checkpoint outputs.,2025-02-08T07:28:00
annot_069,B,t1,local_verification_collapse,5,5,False,False,False,False,Rationale for annot_069: Reviewed schema and checkpoint outputs.,2025-02-08T07:41:00
annot_070,B,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_070: Reviewed schema and checkpoint outputs.,2025-02-08T08:02:00
annot_071,B,t0,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_071: Reviewed schema and checkpoint outputs.,2025-02-08T08:24:00
annot_072,B,t2,boundary_case,3,3,False,True,False,False,Rationale for annot_072: Reviewed schema and checkpoint outputs.,2025-02-08T08:49:00
annot_073,B,t0,boundary_case,2,5,True,False,False,False,Rationale for annot_073: Reviewed schema and checkpoint outputs.,2025-02-08T09:00:00
annot_074,B,t0,boundary_case,5,5,False,True,False,True,Rationale for annot_074: Reviewed schema and checkpoint outputs.,2025-02-08T09:21:00
annot_075,B,t2,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_075: Reviewed schema and checkpoint outputs.,2025-02-08T09:42:00
annot_076,B,t2,dependency_mediated_propagation,2,5,False,False,False,True,Rationale for annot_076: Reviewed schema and checkpoint outputs.,2025-02-08T10:00:00
annot_077,B,t1,burst_associated_degradation,2,5,False,False,False,True,Rationale for annot_077: Reviewed schema and checkpoint outputs.,2025-02-08T10:25:00
annot_078,B,t0,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_078: Reviewed schema and checkpoint outputs.,2025-02-08T10:42:00
annot_079,B,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_079: Reviewed schema and checkpoint outputs.,2025-02-08T11:05:00
annot_080,B,t0,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_080: Reviewed schema and checkpoint outputs.,2025-02-08T11:25:00
annot_081,B,t0,boundary_case,3,2,False,False,False,True,Rationale for annot_081: Reviewed schema and checkpoint outputs.,2025-02-08T11:41:00
annot_082,B,t0,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_082: Reviewed schema and checkpoint outputs.,2025-02-08T12:08:00
annot_083,B,t2,dependency_mediated_propagation,2,5,False,False,False,True,Rationale for annot_083: Reviewed schema and checkpoint outputs.,2025-02-08T12:28:00
annot_084,B,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_084: Reviewed schema and checkpoint outputs.,2025-02-08T12:48:00
annot_085,B,t1,local_verification_collapse,5,2,False,False,False,True,Rationale for annot_085: Reviewed schema and checkpoint outputs.,2025-02-08T13:08:00
annot_086,B,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_086: Reviewed schema and checkpoint outputs.,2025-02-08T13:29:00
annot_087,B,t2,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_087: Reviewed schema and checkpoint outputs.,2025-02-08T13:42:00
annot_088,B,t1,local_verification_collapse,3,5,False,False,False,True,Rationale for annot_088: Reviewed schema and checkpoint outputs.,2025-02-08T14:06:00
annot_089,B,t2,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_089: Reviewed schema and checkpoint outputs.,2025-02-08T14:29:00
annot_090,B,t2,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_090: Reviewed schema and checkpoint outputs.,2025-02-08T14:46:00
annot_091,B,t0,local_verification_collapse,5,2,False,False,False,True,Rationale for annot_091: Reviewed schema and checkpoint outputs.,2025-02-08T15:08:00
annot_092,B,t1,unverifiable_or_excluded,5,2,False,False,False,False,Rationale for annot_092: Reviewed schema and checkpoint outputs.,2025-02-08T15:28:00
annot_093,B,t0,burst_associated_degradation,5,5,False,False,False,False,Rationale for annot_093: Reviewed schema and checkpoint outputs.,2025-02-08T15:48:00
annot_094,B,t1,local_verification_collapse,5,3,False,False,False,True,Rationale for annot_094: Reviewed schema and checkpoint outputs.,2025-02-08T16:08:00
annot_095,B,t2,dependency_mediated_propagation,5,5,False,True,False,True,Rationale for annot_095: Reviewed schema and checkpoint outputs.,2025-02-08T16:21:00
annot_096,B,t0,boundary_case,5,5,True,False,False,True,Rationale for annot_096: Reviewed schema and checkpoint outputs.,2025-02-08T16:44:00
annot_097,B,t0,boundary_case,5,5,False,False,False,True,Rationale for annot_097: Reviewed schema and checkpoint outputs.,2025-02-08T17:07:00
annot_098,B,t2,local_verification_collapse,5,5,False,False,False,False,Rationale for annot_098: Reviewed schema and checkpoint outputs.,2025-02-08T17:26:00
annot_099,B,t1,dependency_mediated_propagation,5,5,True,False,False,True,Rationale for annot_099: Reviewed schema and checkpoint outputs.,2025-02-08T17:49:00
annot_100,B,uncertain,local_verification_collapse,5,2,False,True,False,True,Rationale for annot_100: Reviewed schema and checkpoint outputs.,2025-02-08T18:02:00
