annotation_case_id,annotator_id,annotated_first_degradation_step,annotated_pattern_label,onset_confidence,pattern_confidence,boundary_flag,unverifiable_flag,ambiguous_flag,used_schema_flag,free_text_rationale,annotation_timestamp
annot_035,A,t2,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_035: Based on checkpoint sequence analysis.,2025-02-05T20:23:00
annot_036,A,t0,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_036: Based on checkpoint sequence analysis.,2025-02-05T20:47:00
annot_037,A,t0,boundary_case,5,2,False,False,False,True,Rationale for annot_037: Based on checkpoint sequence analysis.,2025-02-05T21:09:00
annot_038,A,t0,local_verification_collapse,5,3,True,False,False,False,Rationale for annot_038: Based on checkpoint sequence analysis.,2025-02-05T21:21:00
annot_039,A,none,boundary_case,5,3,False,False,False,True,Rationale for annot_039: Based on checkpoint sequence analysis.,2025-02-05T21:45:00
annot_040,A,t1,unverifiable_or_excluded,2,2,True,True,False,True,Rationale for annot_040: Based on checkpoint sequence analysis.,2025-02-05T22:02:00
annot_041,A,t0,burst_associated_degradation,3,2,False,False,False,True,Rationale for annot_041: Based on checkpoint sequence analysis.,2025-02-05T22:24:00
annot_042,A,t0,unverifiable_or_excluded,3,5,False,True,False,True,Rationale for annot_042: Based on checkpoint sequence analysis.,2025-02-05T22:42:00
annot_043,A,t0,dependency_mediated_propagation,5,2,False,False,False,False,Rationale for annot_043: Based on checkpoint sequence analysis.,2025-02-05T23:09:00
annot_044,A,none,dependency_mediated_propagation,5,5,True,False,False,True,Rationale for annot_044: Based on checkpoint sequence analysis.,2025-02-05T23:24:00
annot_045,A,t0,dependency_mediated_propagation,5,5,False,True,False,True,Rationale for annot_045: Based on checkpoint sequence analysis.,2025-02-05T23:43:00
annot_046,A,t2,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_046: Based on checkpoint sequence analysis.,2025-02-06T00:02:00
annot_047,A,t0,dependency_mediated_propagation,5,3,False,False,False,True,Rationale for annot_047: Based on checkpoint sequence analysis.,2025-02-06T00:21:00
annot_048,A,t0,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_048: Based on checkpoint sequence analysis.,2025-02-06T00:44:00
annot_049,A,t0,local_verification_collapse,5,2,True,False,False,True,Rationale for annot_049: Based on checkpoint sequence analysis.,2025-02-06T01:00:00
annot_050,A,t1,unverifiable_or_excluded,5,5,False,True,False,True,Rationale for annot_050: Based on checkpoint sequence analysis.,2025-02-06T01:23:00
annot_051,A,t0,boundary_case,5,5,False,False,False,True,Rationale for annot_051: Based on checkpoint sequence analysis.,2025-02-06T01:45:00
annot_052,A,none,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_052: Based on checkpoint sequence analysis.,2025-02-06T02:09:00
annot_053,A,t1,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_053: Based on checkpoint sequence analysis.,2025-02-06T02:25:00
annot_054,A,t1,dependency_mediated_propagation,2,5,True,False,False,True,Rationale for annot_054: Based on checkpoint sequence analysis.,2025-02-06T02:48:00
annot_055,A,t1,boundary_case,5,5,False,False,False,True,Rationale for annot_055: Based on checkpoint sequence analysis.,2025-02-06T03:05:00
annot_056,A,uncertain,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_056: Based on checkpoint sequence analysis.,2025-02-06T03:25:00
annot_057,A,t2,local_verification_collapse,5,5,True,False,False,True,Rationale for annot_057: Based on checkpoint sequence analysis.,2025-02-06T03:42:00
annot_058,A,t1,boundary_case,5,3,False,False,False,True,Rationale for annot_058: Based on checkpoint sequence analysis.,2025-02-06T04:09:00
annot_059,A,t1,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_059: Based on checkpoint sequence analysis.,2025-02-06T04:27:00
annot_060,A,t0,boundary_case,5,5,False,True,True,True,Rationale for annot_060: Based on checkpoint sequence analysis.,2025-02-06T04:44:00
annot_061,A,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_061: Based on checkpoint sequence analysis.,2025-02-06T05:00:00
annot_062,A,t1,local_verification_collapse,3,5,False,False,False,True,Rationale for annot_062: Based on checkpoint sequence analysis.,2025-02-06T05:28:00
annot_063,A,t0,local_verification_collapse,2,5,True,False,False,True,Rationale for annot_063: Based on checkpoint sequence analysis.,2025-02-06T05:47:00
annot_064,A,t1,boundary_case,3,2,False,True,False,True,Rationale for annot_064: Based on checkpoint sequence analysis.,2025-02-06T06:06:00
annot_065,A,t0,burst_associated_degradation,5,5,True,False,False,True,Rationale for annot_065: Based on checkpoint sequence analysis.,2025-02-06T06:20:00
annot_066,A,t0,burst_associated_degradation,5,2,False,False,False,True,Rationale for annot_066: Based on checkpoint sequence analysis.,2025-02-06T06:45:00
annot_067,A,t1,burst_associated_degradation,5,5,False,True,True,True,Rationale for annot_067: Based on checkpoint sequence analysis.,2025-02-06T07:08:00
annot_068,A,t1,unverifiable_or_excluded,3,2,True,False,False,True,Rationale for annot_068: Based on checkpoint sequence analysis.,2025-02-06T07:26:00
annot_069,A,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_069: Based on checkpoint sequence analysis.,2025-02-06T07:49:00
annot_070,A,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_070: Based on checkpoint sequence analysis.,2025-02-06T08:03:00
annot_071,A,t0,local_verification_collapse,5,5,False,False,True,True,Rationale for annot_071: Based on checkpoint sequence analysis.,2025-02-06T08:29:00
annot_072,A,t1,burst_associated_degradation,2,3,False,True,False,True,Rationale for annot_072: Based on checkpoint sequence analysis.,2025-02-06T08:44:00
annot_073,A,t0,boundary_case,3,5,True,False,False,True,Rationale for annot_073: Based on checkpoint sequence analysis.,2025-02-06T09:01:00
annot_074,A,t0,boundary_case,5,5,False,True,False,True,Rationale for annot_074: Based on checkpoint sequence analysis.,2025-02-06T09:22:00
annot_075,A,t2,unverifiable_or_excluded,5,2,False,False,False,False,Rationale for annot_075: Based on checkpoint sequence analysis.,2025-02-06T09:47:00
annot_076,A,t0,dependency_mediated_propagation,2,5,False,False,True,True,Rationale for annot_076: Based on checkpoint sequence analysis.,2025-02-06T10:00:00
annot_077,A,t2,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_077: Based on checkpoint sequence analysis.,2025-02-06T10:29:00
annot_078,A,t1,burst_associated_degradation,2,5,False,False,False,True,Rationale for annot_078: Based on checkpoint sequence analysis.,2025-02-06T10:45:00
annot_079,A,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_079: Based on checkpoint sequence analysis.,2025-02-06T11:02:00
annot_080,A,t0,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_080: Based on checkpoint sequence analysis.,2025-02-06T11:20:00
annot_081,A,none,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_081: Based on checkpoint sequence analysis.,2025-02-06T11:40:00
annot_082,A,t0,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_082: Based on checkpoint sequence analysis.,2025-02-06T12:07:00
annot_083,A,t2,dependency_mediated_propagation,2,5,False,False,False,True,Rationale for annot_083: Based on checkpoint sequence analysis.,2025-02-06T12:25:00
annot_084,A,t0,local_verification_collapse,5,3,False,False,False,True,Rationale for annot_084: Based on checkpoint sequence analysis.,2025-02-06T12:41:00
annot_085,A,t1,boundary_case,5,2,False,False,False,True,Rationale for annot_085: Based on checkpoint sequence analysis.,2025-02-06T13:01:00
annot_086,A,t1,local_verification_collapse,5,5,False,False,True,True,Rationale for annot_086: Based on checkpoint sequence analysis.,2025-02-06T13:24:00
annot_087,A,t2,boundary_case,5,3,False,False,False,True,Rationale for annot_087: Based on checkpoint sequence analysis.,2025-02-06T13:45:00
annot_088,A,t2,dependency_mediated_propagation,5,2,False,False,False,True,Rationale for annot_088: Based on checkpoint sequence analysis.,2025-02-06T14:03:00
annot_089,A,t2,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_089: Based on checkpoint sequence analysis.,2025-02-06T14:29:00
annot_090,A,t2,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_090: Based on checkpoint sequence analysis.,2025-02-06T14:46:00
annot_091,A,t0,unverifiable_or_excluded,5,2,False,False,False,True,Rationale for annot_091: Based on checkpoint sequence analysis.,2025-02-06T15:05:00
annot_092,A,t1,local_verification_collapse,5,3,False,False,False,True,Rationale for annot_092: Based on checkpoint sequence analysis.,2025-02-06T15:22:00
annot_093,A,t0,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_093: Based on checkpoint sequence analysis.,2025-02-06T15:44:00
annot_094,A,t1,local_verification_collapse,5,2,True,False,False,True,Rationale for annot_094: Based on checkpoint sequence analysis.,2025-02-06T16:00:00
annot_095,A,t2,dependency_mediated_propagation,5,5,False,True,False,True,Rationale for annot_095: Based on checkpoint sequence analysis.,2025-02-06T16:23:00
annot_096,A,t0,boundary_case,5,5,True,False,False,True,Rationale for annot_096: Based on checkpoint sequence analysis.,2025-02-06T16:41:00
annot_097,A,t0,boundary_case,5,5,False,False,False,True,Rationale for annot_097: Based on checkpoint sequence analysis.,2025-02-06T17:09:00
annot_098,A,t2,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_098: Based on checkpoint sequence analysis.,2025-02-06T17:20:00
annot_099,A,t1,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_099: Based on checkpoint sequence analysis.,2025-02-06T17:43:00
annot_100,A,uncertain,dependency_mediated_propagation,5,5,False,True,False,True,Rationale for annot_100: Based on checkpoint sequence analysis.,2025-02-06T18:06:00
