case_id,difficulty_tier,scope_category,boundary_type,n_scope_crossings,recursive_call_depth,has_boundary_annotation,annotation_type,exclusion_trigger,documentation_notes
dtest_case_0023,standard,standard_scope,soft,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0024,standard,standard_scope,none,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0025,complex,complex_scope,soft,1,1,False,pre_boundary,gate_fail,Tier complex: Complex multi-table join
dtest_case_0026,standard,standard_scope,soft,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0027,standard,standard_scope,none,1,0,False,pre_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0028,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0029,standard,standard_scope,none,0,0,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0030,standard,standard_scope,hard,1,1,False,none,unverifiable,Tier standard: Standard single-scope query
dtest_case_0031,deep_nesting,deep_nesting,hard,1,3,True,mid_boundary,unverifiable,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0032,standard,standard_scope,hard,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0033,standard,standard_scope,soft,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0034,standard,standard_scope,soft,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0035,deep_nesting,deep_nesting,soft,1,1,True,none,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0036,deep_nesting,deep_nesting,hard,1,1,True,none,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0037,standard,standard_scope,none,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0038,standard,standard_scope,none,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0039,standard,standard_scope,none,1,0,False,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0040,standard,standard_scope,soft,0,1,False,post_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0041,standard,standard_scope,none,1,1,True,pre_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0042,complex,complex_scope,none,0,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0043,standard,standard_scope,none,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0044,standard,standard_scope,none,0,1,False,post_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0045,complex,complex_scope,none,0,0,False,none,none,Tier complex: Complex multi-table join
dtest_case_0046,complex,complex_scope,none,1,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0047,standard,standard_scope,none,1,1,False,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0048,complex,complex_scope,soft,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0049,standard,standard_scope,soft,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0050,standard,standard_scope,none,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0051,deep_nesting,deep_nesting,hard,2,3,True,mid_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0052,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0053,standard,standard_scope,none,1,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0054,complex,complex_scope,none,1,0,False,none,unverifiable,Tier complex: Complex multi-table join
dtest_case_0055,complex,complex_scope,hard,1,1,False,mid_boundary,gate_fail,Tier complex: Complex multi-table join
dtest_case_0056,complex,complex_scope,none,1,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0057,deep_nesting,deep_nesting,hard,1,1,True,none,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0058,standard,standard_scope,none,0,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0059,deep_nesting,deep_nesting,hard,3,1,True,mid_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0060,standard,standard_scope,hard,1,1,False,post_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0061,standard,standard_scope,hard,1,0,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0062,complex,complex_scope,none,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0063,complex,complex_scope,hard,0,1,False,none,gate_fail,Tier complex: Complex multi-table join
dtest_case_0064,standard,standard_scope,soft,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0065,complex,complex_scope,none,0,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0066,standard,standard_scope,none,1,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0067,standard,standard_scope,none,1,0,False,post_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0068,standard,standard_scope,soft,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0069,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0070,standard,standard_scope,soft,1,1,True,post_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0071,standard,standard_scope,none,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0072,deep_nesting,deep_nesting,soft,4,2,True,mid_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0073,standard,standard_scope,hard,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0074,standard,standard_scope,none,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0075,deep_nesting,deep_nesting,soft,4,1,True,mid_boundary,unverifiable,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0076,standard,standard_scope,none,1,1,False,mid_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0077,standard,standard_scope,hard,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0078,standard,standard_scope,none,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0079,standard,standard_scope,none,0,0,True,none,none,Tier standard: Standard single-scope query
dtest_case_0080,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0081,standard,standard_scope,hard,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0082,standard,standard_scope,none,0,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0083,standard,standard_scope,hard,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0084,standard,standard_scope,soft,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0085,standard,standard_scope,soft,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0086,complex,complex_scope,none,1,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0087,complex,complex_scope,soft,1,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0088,standard,standard_scope,soft,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0089,standard,standard_scope,soft,1,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0090,complex,complex_scope,hard,1,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0091,standard,standard_scope,none,1,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0092,standard,standard_scope,none,1,1,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0093,standard,standard_scope,none,0,0,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0094,standard,standard_scope,none,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0095,complex,complex_scope,soft,1,0,True,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0096,complex,complex_scope,soft,0,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0097,standard,standard_scope,none,0,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0098,standard,standard_scope,hard,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0099,standard,standard_scope,none,0,0,False,mid_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0100,complex,complex_scope,none,1,1,True,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0101,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0102,complex,complex_scope,none,1,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0103,standard,standard_scope,none,1,1,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0104,standard,standard_scope,none,1,0,False,pre_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0105,standard,standard_scope,none,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0106,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0107,standard,standard_scope,soft,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0108,complex,complex_scope,none,1,1,False,pre_boundary,unverifiable,Tier complex: Complex multi-table join
dtest_case_0109,complex,complex_scope,none,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0110,complex,complex_scope,none,1,0,True,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0111,standard,standard_scope,none,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0112,standard,standard_scope,soft,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0113,standard,standard_scope,hard,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0114,deep_nesting,deep_nesting,hard,1,3,True,none,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0115,complex,complex_scope,none,0,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0116,standard,standard_scope,none,0,0,False,mid_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0117,standard,standard_scope,soft,0,0,False,post_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0118,standard,standard_scope,hard,0,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0119,standard,standard_scope,none,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0120,complex,complex_scope,none,0,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0121,complex,complex_scope,none,0,0,True,pre_boundary,unverifiable,Tier complex: Complex multi-table join
dtest_case_0122,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0123,complex,complex_scope,none,1,1,True,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0124,complex,complex_scope,none,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0125,deep_nesting,deep_nesting,hard,1,2,True,pre_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0126,complex,complex_scope,none,0,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0127,standard,standard_scope,none,1,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0128,complex,complex_scope,none,1,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0129,standard,standard_scope,none,0,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0130,standard,standard_scope,none,0,1,False,post_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0131,standard,standard_scope,none,1,0,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0132,complex,complex_scope,none,1,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0133,complex,complex_scope,none,1,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0134,complex,complex_scope,soft,1,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0135,standard,standard_scope,soft,0,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0136,standard,standard_scope,none,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0137,standard,standard_scope,none,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0138,standard,standard_scope,none,0,0,False,mid_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0139,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0140,standard,standard_scope,hard,0,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0141,standard,standard_scope,hard,1,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0142,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0143,complex,complex_scope,none,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0144,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0145,complex,complex_scope,none,1,0,True,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0146,standard,standard_scope,none,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0147,deep_nesting,deep_nesting,hard,3,2,True,mid_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0148,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0149,standard,standard_scope,none,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0150,complex,complex_scope,soft,1,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0151,standard,standard_scope,none,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0152,complex,complex_scope,none,1,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0153,standard,standard_scope,none,0,1,False,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0154,complex,complex_scope,none,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0155,complex,complex_scope,hard,0,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0156,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0157,complex,complex_scope,none,0,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0158,standard,standard_scope,none,0,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0159,complex,complex_scope,soft,0,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0160,standard,standard_scope,none,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0161,complex,complex_scope,none,1,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0162,complex,complex_scope,soft,1,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0163,complex,complex_scope,none,1,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0164,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0165,complex,complex_scope,none,1,0,False,none,none,Tier complex: Complex multi-table join
dtest_case_0166,complex,complex_scope,none,0,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0167,complex,complex_scope,none,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0168,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0169,standard,standard_scope,none,0,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0170,complex,complex_scope,hard,1,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0171,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0172,standard,standard_scope,none,1,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0173,deep_nesting,deep_nesting,soft,1,3,True,mid_boundary,unverifiable,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0174,standard,standard_scope,none,0,1,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0175,complex,complex_scope,soft,0,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0176,standard,standard_scope,none,1,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0177,standard,standard_scope,hard,0,0,False,pre_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0178,complex,complex_scope,none,1,1,True,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0179,complex,complex_scope,none,0,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0180,standard,standard_scope,soft,1,0,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0181,standard,standard_scope,none,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0182,deep_nesting,deep_nesting,hard,4,1,True,mid_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0183,complex,complex_scope,none,0,0,False,post_boundary,gate_fail,Tier complex: Complex multi-table join
dtest_case_0184,complex,complex_scope,none,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0185,complex,complex_scope,none,0,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0186,complex,complex_scope,none,0,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0187,standard,standard_scope,none,0,1,False,pre_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0188,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0189,standard,standard_scope,none,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0190,complex,complex_scope,none,0,0,False,pre_boundary,gate_fail,Tier complex: Complex multi-table join
dtest_case_0191,deep_nesting,deep_nesting,soft,4,2,True,pre_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0192,standard,standard_scope,soft,0,1,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0193,complex,complex_scope,none,1,1,True,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0194,standard,standard_scope,none,1,1,False,post_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0195,complex,complex_scope,hard,1,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0196,complex,complex_scope,soft,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0197,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0198,standard,standard_scope,none,0,1,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0199,deep_nesting,deep_nesting,soft,1,3,True,mid_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0200,standard,standard_scope,hard,0,1,False,post_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0201,standard,standard_scope,none,0,0,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0202,standard,standard_scope,soft,1,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0203,complex,complex_scope,soft,0,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0204,standard,standard_scope,hard,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0205,standard,standard_scope,hard,1,0,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0206,standard,standard_scope,soft,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0207,standard,standard_scope,none,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0208,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0209,complex,complex_scope,none,0,1,False,mid_boundary,unverifiable,Tier complex: Complex multi-table join
dtest_case_0210,standard,standard_scope,none,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0211,standard,standard_scope,none,0,0,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0212,standard,standard_scope,none,0,0,False,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0213,standard,standard_scope,none,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0214,deep_nesting,deep_nesting,soft,3,2,True,none,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0215,deep_nesting,deep_nesting,soft,1,2,True,post_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0216,standard,standard_scope,none,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0217,standard,standard_scope,hard,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0218,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0219,complex,complex_scope,none,0,1,False,mid_boundary,unverifiable,Tier complex: Complex multi-table join
dtest_case_0220,standard,standard_scope,none,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0221,standard,standard_scope,none,1,1,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0222,standard,standard_scope,soft,0,0,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0223,deep_nesting,deep_nesting,soft,2,3,True,mid_boundary,unverifiable,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0224,standard,standard_scope,hard,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0225,complex,complex_scope,hard,0,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0226,standard,standard_scope,none,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0227,standard,standard_scope,soft,0,0,False,pre_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0228,complex,complex_scope,none,0,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0229,complex,complex_scope,soft,1,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0230,complex,complex_scope,soft,0,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0231,standard,standard_scope,none,1,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0232,complex,complex_scope,hard,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0233,standard,standard_scope,none,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0234,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0235,complex,complex_scope,none,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0236,deep_nesting,deep_nesting,hard,1,1,True,none,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0237,deep_nesting,deep_nesting,hard,1,1,True,post_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0238,complex,complex_scope,none,0,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0239,standard,standard_scope,soft,0,1,True,none,none,Tier standard: Standard single-scope query
dtest_case_0240,standard,standard_scope,none,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0241,standard,standard_scope,soft,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0242,complex,complex_scope,none,1,1,True,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0243,deep_nesting,deep_nesting,hard,2,1,True,pre_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0244,standard,standard_scope,soft,1,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0245,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0246,standard,standard_scope,none,0,1,True,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0247,standard,standard_scope,none,0,0,False,pre_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0248,standard,standard_scope,none,1,1,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0249,deep_nesting,deep_nesting,soft,2,2,True,pre_boundary,unverifiable,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0250,complex,complex_scope,soft,1,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0251,complex,complex_scope,none,0,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0252,complex,complex_scope,none,1,0,False,none,unverifiable,Tier complex: Complex multi-table join
dtest_case_0253,complex,complex_scope,none,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0254,standard,standard_scope,hard,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0255,complex,complex_scope,soft,1,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0256,standard,standard_scope,none,1,1,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0257,complex,complex_scope,soft,0,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0258,complex,complex_scope,soft,0,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0259,complex,complex_scope,none,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0260,standard,standard_scope,soft,0,1,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0261,complex,complex_scope,hard,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0262,standard,standard_scope,none,0,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0263,complex,complex_scope,none,0,0,False,none,none,Tier complex: Complex multi-table join
dtest_case_0264,complex,complex_scope,none,0,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0265,standard,standard_scope,none,0,1,False,none,unverifiable,Tier standard: Standard single-scope query
dtest_case_0266,standard,standard_scope,none,0,1,False,pre_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0267,standard,standard_scope,soft,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0268,deep_nesting,deep_nesting,hard,1,1,True,post_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0269,deep_nesting,deep_nesting,hard,3,1,True,post_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0270,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
