case_id,cpfc_first_degradation_step,cpfc_pattern_label,cpfc_entropy_score,cpfc_rank_score,cpfc_internal_diagnostic,cpfc_output_timestamp
case_093,none,burst_associated_degradation,8.2839,0.9376,medium_confidence,2025-01-13T20:00:00
case_094,t2,boundary_case,24.1989,0.6797,medium_confidence,2025-01-13T21:00:00
case_095,none,burst_associated_degradation,5.736,0.5702,high_confidence,2025-01-13T22:00:00
case_096,t1,unverifiable_or_excluded,35.2933,0.6102,medium_confidence,2025-01-13T23:00:00
case_097,t1,dependency_mediated_propagation,56.4732,0.9424,medium_confidence,2025-01-14T00:00:00
case_098,t1,local_verification_collapse,24.6215,0.7882,medium_confidence,2025-01-14T01:00:00
case_099,t0,unverifiable_or_excluded,9.1317,0.024,medium_confidence,2025-01-14T02:00:00
case_100,t0,local_verification_collapse,36.3727,0.5341,low_confidence,2025-01-14T03:00:00
case_101,t0,unverifiable_or_excluded,13.2093,0.6883,medium_confidence,2025-01-14T04:00:00
case_102,t2,local_verification_collapse,15.968,0.7487,uncertain,2025-01-14T05:00:00
case_103,t1,unverifiable_or_excluded,35.8908,0.2131,medium_confidence,2025-01-14T06:00:00
case_104,t1,local_verification_collapse,12.6901,0.8672,high_confidence,2025-01-14T07:00:00
case_105,uncertain,unverifiable_or_excluded,14.2982,0.9558,uncertain,2025-01-14T08:00:00
case_106,t0,dependency_mediated_propagation,29.9698,0.2367,low_confidence,2025-01-14T09:00:00
case_107,t1,unverifiable_or_excluded,29.1101,0.8826,uncertain,2025-01-14T10:00:00
case_108,none,local_verification_collapse,12.4348,0.097,uncertain,2025-01-14T11:00:00
case_109,t0,burst_associated_degradation,13.4007,0.0557,uncertain,2025-01-14T12:00:00
case_110,t0,unverifiable_or_excluded,7.8315,0.1292,high_confidence,2025-01-14T13:00:00
case_111,t0,dependency_mediated_propagation,17.0443,0.0577,high_confidence,2025-01-14T14:00:00
case_112,t0,burst_associated_degradation,8.5867,0.845,high_confidence,2025-01-14T15:00:00
case_113,uncertain,burst_associated_degradation,22.3615,0.0591,low_confidence,2025-01-14T16:00:00
case_114,none,dependency_mediated_propagation,20.8479,0.2717,high_confidence,2025-01-14T17:00:00
case_115,t2,burst_associated_degradation,14.5719,0.1038,high_confidence,2025-01-14T18:00:00
case_116,none,burst_associated_degradation,20.7688,0.2954,uncertain,2025-01-14T19:00:00
case_117,none,unverifiable_or_excluded,53.927,0.0906,high_confidence,2025-01-14T20:00:00
case_118,t0,local_verification_collapse,14.9076,0.668,medium_confidence,2025-01-14T21:00:00
case_119,none,local_verification_collapse,3.4978,0.1333,high_confidence,2025-01-14T22:00:00
case_120,t1,unverifiable_or_excluded,39.262,0.8518,low_confidence,2025-01-14T23:00:00
case_121,none,unverifiable_or_excluded,26.6763,0.8172,low_confidence,2025-01-15T00:00:00
case_122,none,dependency_mediated_propagation,38.5419,0.0137,medium_confidence,2025-01-15T01:00:00
case_123,t1,burst_associated_degradation,9.5252,0.8957,low_confidence,2025-01-15T02:00:00
case_124,t0,local_verification_collapse,42.882,0.0289,low_confidence,2025-01-15T03:00:00
case_125,t0,local_verification_collapse,32.6699,0.2396,uncertain,2025-01-15T04:00:00
case_126,t1,dependency_mediated_propagation,45.515,0.0324,medium_confidence,2025-01-15T05:00:00
case_127,none,dependency_mediated_propagation,49.0185,0.3358,uncertain,2025-01-15T06:00:00
case_128,none,burst_associated_degradation,17.5535,0.5139,uncertain,2025-01-15T07:00:00
case_129,t0,local_verification_collapse,33.0228,0.7966,high_confidence,2025-01-15T08:00:00
case_130,t1,unverifiable_or_excluded,31.7974,0.338,medium_confidence,2025-01-15T09:00:00
case_131,t1,unverifiable_or_excluded,37.0478,0.7055,high_confidence,2025-01-15T10:00:00
case_132,t0,burst_associated_degradation,9.5273,0.1875,high_confidence,2025-01-15T11:00:00
case_133,t0,dependency_mediated_propagation,2.6067,0.7506,uncertain,2025-01-15T12:00:00
case_134,t1,dependency_mediated_propagation,34.3006,0.236,low_confidence,2025-01-15T13:00:00
case_135,uncertain,boundary_case,2.7844,0.1435,medium_confidence,2025-01-15T14:00:00
case_136,t1,burst_associated_degradation,47.6706,0.1854,low_confidence,2025-01-15T15:00:00
case_137,t1,local_verification_collapse,13.6941,0.1821,uncertain,2025-01-15T16:00:00
case_138,t2,unverifiable_or_excluded,16.4682,0.5129,uncertain,2025-01-15T17:00:00
case_139,t1,boundary_case,29.885,0.8448,uncertain,2025-01-15T18:00:00
case_140,uncertain,unverifiable_or_excluded,27.2029,0.0796,uncertain,2025-01-15T19:00:00
case_141,uncertain,boundary_case,29.2069,0.707,uncertain,2025-01-15T20:00:00
case_142,t0,burst_associated_degradation,17.0145,0.6543,uncertain,2025-01-15T21:00:00
case_143,t1,dependency_mediated_propagation,53.774,0.8725,low_confidence,2025-01-15T22:00:00
case_144,t1,unverifiable_or_excluded,15.8695,0.2441,high_confidence,2025-01-15T23:00:00
case_145,t0,unverifiable_or_excluded,29.381,0.4501,low_confidence,2025-01-16T00:00:00
case_146,t0,local_verification_collapse,13.8955,0.9258,medium_confidence,2025-01-16T01:00:00
case_147,t2,local_verification_collapse,6.5509,0.66,low_confidence,2025-01-16T02:00:00
case_148,t1,dependency_mediated_propagation,40.5075,0.3888,uncertain,2025-01-16T03:00:00
case_149,t0,boundary_case,40.4463,0.1314,low_confidence,2025-01-16T04:00:00
case_150,t0,unverifiable_or_excluded,23.6196,0.2625,high_confidence,2025-01-16T05:00:00
case_151,uncertain,local_verification_collapse,22.3534,0.5812,medium_confidence,2025-01-16T06:00:00
case_152,t0,burst_associated_degradation,8.3795,0.7182,low_confidence,2025-01-16T07:00:00
case_153,t0,dependency_mediated_propagation,40.7336,0.1244,high_confidence,2025-01-16T08:00:00
case_154,t1,unverifiable_or_excluded,14.3325,0.5996,low_confidence,2025-01-16T09:00:00
case_155,uncertain,boundary_case,34.2482,0.5504,medium_confidence,2025-01-16T10:00:00
case_156,t0,boundary_case,41.9156,0.514,low_confidence,2025-01-16T11:00:00
case_157,t2,dependency_mediated_propagation,22.3819,0.6901,uncertain,2025-01-16T12:00:00
case_158,none,dependency_mediated_propagation,18.2602,0.8374,low_confidence,2025-01-16T13:00:00
case_159,t0,local_verification_collapse,36.3278,0.323,high_confidence,2025-01-16T14:00:00
case_160,t2,local_verification_collapse,21.1584,0.889,low_confidence,2025-01-16T15:00:00
case_161,t1,unverifiable_or_excluded,28.1217,0.1606,high_confidence,2025-01-16T16:00:00
case_162,t2,boundary_case,19.7519,0.173,medium_confidence,2025-01-16T17:00:00
case_163,t2,unverifiable_or_excluded,21.9292,0.2668,low_confidence,2025-01-16T18:00:00
case_164,t1,unverifiable_or_excluded,54.9524,0.1195,medium_confidence,2025-01-16T19:00:00
case_165,t0,burst_associated_degradation,37.0327,0.2303,medium_confidence,2025-01-16T20:00:00
case_166,none,boundary_case,22.9822,0.1064,low_confidence,2025-01-16T21:00:00
case_167,t1,unverifiable_or_excluded,19.0983,0.8218,high_confidence,2025-01-16T22:00:00
case_168,t0,boundary_case,10.3376,0.139,medium_confidence,2025-01-16T23:00:00
case_169,t0,local_verification_collapse,23.3774,0.7473,medium_confidence,2025-01-17T00:00:00
case_170,t2,dependency_mediated_propagation,2.9911,0.0479,low_confidence,2025-01-17T01:00:00
case_171,t2,local_verification_collapse,38.5491,0.9485,low_confidence,2025-01-17T02:00:00
case_172,t0,unverifiable_or_excluded,16.945,0.7112,low_confidence,2025-01-17T03:00:00
case_173,t1,burst_associated_degradation,48.1325,0.0068,low_confidence,2025-01-17T04:00:00
case_174,t0,local_verification_collapse,19.8467,0.7639,low_confidence,2025-01-17T05:00:00
case_175,t2,burst_associated_degradation,39.227,0.5141,uncertain,2025-01-17T06:00:00
case_176,t0,burst_associated_degradation,29.2751,0.7794,low_confidence,2025-01-17T07:00:00
case_177,t2,dependency_mediated_propagation,28.5755,0.5225,high_confidence,2025-01-17T08:00:00
case_178,t1,local_verification_collapse,2.1223,0.641,medium_confidence,2025-01-17T09:00:00
case_179,uncertain,burst_associated_degradation,40.0478,0.7863,high_confidence,2025-01-17T10:00:00
case_180,t0,dependency_mediated_propagation,45.9226,0.4051,high_confidence,2025-01-17T11:00:00
case_181,t1,boundary_case,19.0067,0.0027,uncertain,2025-01-17T12:00:00
case_182,t0,dependency_mediated_propagation,31.2881,0.8499,low_confidence,2025-01-17T13:00:00
case_183,uncertain,unverifiable_or_excluded,23.4296,0.3809,medium_confidence,2025-01-17T14:00:00
case_184,none,burst_associated_degradation,30.4636,0.496,high_confidence,2025-01-17T15:00:00
case_185,t0,burst_associated_degradation,5.3432,0.0078,low_confidence,2025-01-17T16:00:00
case_186,t2,unverifiable_or_excluded,38.0904,0.4921,low_confidence,2025-01-17T17:00:00
case_187,none,dependency_mediated_propagation,27.8339,0.9865,uncertain,2025-01-17T18:00:00
case_188,t2,local_verification_collapse,33.7341,0.2783,uncertain,2025-01-17T19:00:00
case_189,t1,local_verification_collapse,26.9207,0.3954,uncertain,2025-01-17T20:00:00
case_190,t0,boundary_case,27.7865,0.6872,medium_confidence,2025-01-17T21:00:00
case_191,t0,burst_associated_degradation,35.3142,0.8148,high_confidence,2025-01-17T22:00:00
case_192,none,boundary_case,41.6679,0.4174,uncertain,2025-01-17T23:00:00
case_193,uncertain,local_verification_collapse,24.2914,0.3097,uncertain,2025-01-18T00:00:00
case_194,t2,local_verification_collapse,11.6938,0.9378,uncertain,2025-01-18T01:00:00
case_195,t1,local_verification_collapse,16.3693,0.6771,high_confidence,2025-01-18T02:00:00
case_196,t1,dependency_mediated_propagation,29.3684,0.119,high_confidence,2025-01-18T03:00:00
case_197,t2,burst_associated_degradation,48.1127,0.0689,uncertain,2025-01-18T04:00:00
case_198,none,dependency_mediated_propagation,24.2614,0.4835,uncertain,2025-01-18T05:00:00
case_199,none,dependency_mediated_propagation,27.6475,0.2201,low_confidence,2025-01-18T06:00:00
case_200,none,unverifiable_or_excluded,75.6905,0.254,uncertain,2025-01-18T07:00:00
case_201,t2,dependency_mediated_propagation,70.3662,0.8777,medium_confidence,2025-01-18T08:00:00
case_202,t0,dependency_mediated_propagation,9.8267,0.0896,medium_confidence,2025-01-18T09:00:00
case_203,t0,boundary_case,40.9241,0.7154,uncertain,2025-01-18T10:00:00
case_204,none,dependency_mediated_propagation,37.0599,0.2711,high_confidence,2025-01-18T11:00:00
case_205,t2,burst_associated_degradation,3.8219,0.7603,low_confidence,2025-01-18T12:00:00
case_206,t0,unverifiable_or_excluded,23.3932,0.7224,high_confidence,2025-01-18T13:00:00
case_207,t0,unverifiable_or_excluded,36.9209,0.0074,uncertain,2025-01-18T14:00:00
case_208,t2,local_verification_collapse,37.1842,0.5091,medium_confidence,2025-01-18T15:00:00
case_209,t0,unverifiable_or_excluded,38.6191,0.1393,low_confidence,2025-01-18T16:00:00
case_210,t0,dependency_mediated_propagation,37.7421,0.8662,high_confidence,2025-01-18T17:00:00
case_211,t1,local_verification_collapse,21.8365,0.8716,high_confidence,2025-01-18T18:00:00
case_212,t2,dependency_mediated_propagation,3.4651,0.4183,uncertain,2025-01-18T19:00:00
case_213,t2,unverifiable_or_excluded,12.4486,0.4444,low_confidence,2025-01-18T20:00:00
case_214,t0,dependency_mediated_propagation,11.7614,0.3033,medium_confidence,2025-01-18T21:00:00
case_215,t2,dependency_mediated_propagation,10.2696,0.7166,uncertain,2025-01-18T22:00:00
case_216,t0,burst_associated_degradation,45.087,0.3587,low_confidence,2025-01-18T23:00:00
case_217,t1,local_verification_collapse,16.6057,0.2678,high_confidence,2025-01-19T00:00:00
case_218,t2,local_verification_collapse,19.3472,0.4322,uncertain,2025-01-19T01:00:00
case_219,t2,local_verification_collapse,29.9527,0.0915,high_confidence,2025-01-19T02:00:00
case_220,none,local_verification_collapse,6.8518,0.7466,high_confidence,2025-01-19T03:00:00
case_221,t2,local_verification_collapse,39.3416,0.0126,uncertain,2025-01-19T04:00:00
case_222,t2,local_verification_collapse,42.5522,0.6445,uncertain,2025-01-19T05:00:00
case_223,t0,burst_associated_degradation,5.7399,0.1829,uncertain,2025-01-19T06:00:00
case_224,t1,local_verification_collapse,47.2082,0.2324,uncertain,2025-01-19T07:00:00
case_225,t0,dependency_mediated_propagation,10.3907,0.6356,uncertain,2025-01-19T08:00:00
case_226,t0,unverifiable_or_excluded,14.289,0.9929,high_confidence,2025-01-19T09:00:00
case_227,uncertain,dependency_mediated_propagation,45.6204,0.7777,medium_confidence,2025-01-19T10:00:00
case_228,t1,burst_associated_degradation,33.2789,0.2258,medium_confidence,2025-01-19T11:00:00
case_229,none,local_verification_collapse,45.6767,0.176,uncertain,2025-01-19T12:00:00
case_230,t2,local_verification_collapse,30.5094,0.8662,high_confidence,2025-01-19T13:00:00
case_231,none,local_verification_collapse,12.9547,0.4442,medium_confidence,2025-01-19T14:00:00
case_232,t1,local_verification_collapse,26.3414,0.1371,medium_confidence,2025-01-19T15:00:00
case_233,t2,local_verification_collapse,20.7404,0.8622,medium_confidence,2025-01-19T16:00:00
case_234,t1,local_verification_collapse,44.8184,0.8161,high_confidence,2025-01-19T17:00:00
case_235,t0,local_verification_collapse,48.9241,0.9839,uncertain,2025-01-19T18:00:00
case_236,t2,local_verification_collapse,21.4043,0.9097,uncertain,2025-01-19T19:00:00
case_237,t0,dependency_mediated_propagation,17.8763,0.8518,uncertain,2025-01-19T20:00:00
case_238,t0,local_verification_collapse,22.141,0.0526,low_confidence,2025-01-19T21:00:00
case_239,t2,dependency_mediated_propagation,45.9309,0.1044,low_confidence,2025-01-19T22:00:00
case_240,t0,dependency_mediated_propagation,42.3587,0.569,low_confidence,2025-01-19T23:00:00
case_241,uncertain,burst_associated_degradation,17.7774,0.5315,high_confidence,2025-01-20T00:00:00
case_242,uncertain,local_verification_collapse,50.4484,0.458,medium_confidence,2025-01-20T01:00:00
case_243,uncertain,boundary_case,18.5006,0.3968,medium_confidence,2025-01-20T02:00:00
case_244,t1,burst_associated_degradation,23.7122,0.4312,high_confidence,2025-01-20T03:00:00
case_245,t0,local_verification_collapse,12.3309,0.5693,high_confidence,2025-01-20T04:00:00
case_246,uncertain,unverifiable_or_excluded,33.6676,0.0021,uncertain,2025-01-20T05:00:00
case_247,t1,unverifiable_or_excluded,29.7767,0.2607,uncertain,2025-01-20T06:00:00
case_248,uncertain,local_verification_collapse,7.7154,0.5183,low_confidence,2025-01-20T07:00:00
case_249,uncertain,local_verification_collapse,27.0762,0.7222,low_confidence,2025-01-20T08:00:00
case_250,none,boundary_case,16.6384,0.1742,high_confidence,2025-01-20T09:00:00
case_251,t0,boundary_case,38.2751,0.5469,low_confidence,2025-01-20T10:00:00
case_252,t1,local_verification_collapse,28.2145,0.7145,medium_confidence,2025-01-20T11:00:00
case_253,none,local_verification_collapse,27.9981,0.4446,high_confidence,2025-01-20T12:00:00
case_254,t1,dependency_mediated_propagation,3.9869,0.0271,high_confidence,2025-01-20T13:00:00
case_255,t0,dependency_mediated_propagation,10.7746,0.4493,medium_confidence,2025-01-20T14:00:00
case_256,t2,burst_associated_degradation,48.2987,0.2964,uncertain,2025-01-20T15:00:00
case_257,uncertain,dependency_mediated_propagation,38.9807,0.9296,uncertain,2025-01-20T16:00:00
case_258,t2,dependency_mediated_propagation,19.683,0.1246,medium_confidence,2025-01-20T17:00:00
case_259,t2,boundary_case,11.1297,0.6525,medium_confidence,2025-01-20T18:00:00
case_260,t0,local_verification_collapse,15.518,0.0527,low_confidence,2025-01-20T19:00:00
case_261,t2,local_verification_collapse,13.765,0.4462,high_confidence,2025-01-20T20:00:00
case_262,uncertain,boundary_case,28.4783,0.554,low_confidence,2025-01-20T21:00:00
case_263,t0,unverifiable_or_excluded,15.0638,0.298,medium_confidence,2025-01-20T22:00:00
case_264,t1,dependency_mediated_propagation,5.3271,0.4551,low_confidence,2025-01-20T23:00:00
case_265,none,dependency_mediated_propagation,29.3511,0.1636,medium_confidence,2025-01-21T00:00:00
case_266,t2,local_verification_collapse,26.9214,0.3041,low_confidence,2025-01-21T01:00:00
case_267,t2,dependency_mediated_propagation,16.7724,0.6211,low_confidence,2025-01-21T02:00:00
case_268,t2,dependency_mediated_propagation,3.4437,0.3018,uncertain,2025-01-21T03:00:00
case_269,t1,local_verification_collapse,39.5822,0.8997,medium_confidence,2025-01-21T04:00:00
case_270,t0,local_verification_collapse,16.1486,0.6284,low_confidence,2025-01-21T05:00:00
case_271,none,dependency_mediated_propagation,42.4777,0.4386,high_confidence,2025-01-21T06:00:00
case_272,none,local_verification_collapse,13.5437,0.0388,low_confidence,2025-01-21T07:00:00
case_273,none,dependency_mediated_propagation,0.8048,0.4995,low_confidence,2025-01-21T08:00:00
case_274,uncertain,local_verification_collapse,44.7702,0.7648,high_confidence,2025-01-21T09:00:00
case_275,t1,dependency_mediated_propagation,15.4217,0.2656,medium_confidence,2025-01-21T10:00:00
case_276,t1,local_verification_collapse,6.0355,0.8068,uncertain,2025-01-21T11:00:00
case_277,none,unverifiable_or_excluded,31.0432,0.2518,uncertain,2025-01-21T12:00:00
case_278,t2,burst_associated_degradation,38.3412,0.8237,uncertain,2025-01-21T13:00:00
case_279,t2,burst_associated_degradation,13.2023,0.0853,high_confidence,2025-01-21T14:00:00
case_280,none,boundary_case,42.0836,0.8662,low_confidence,2025-01-21T15:00:00
case_281,none,dependency_mediated_propagation,59.0498,0.4992,medium_confidence,2025-01-21T16:00:00
case_282,t1,local_verification_collapse,44.6538,0.2965,low_confidence,2025-01-21T17:00:00
case_283,t1,dependency_mediated_propagation,39.441,0.2651,uncertain,2025-01-21T18:00:00
case_284,t0,burst_associated_degradation,32.1027,0.432,low_confidence,2025-01-21T19:00:00
case_285,t2,boundary_case,34.1411,0.999,high_confidence,2025-01-21T20:00:00
case_286,t0,dependency_mediated_propagation,37.4269,0.2203,high_confidence,2025-01-21T21:00:00
case_287,t1,local_verification_collapse,5.5417,0.1032,medium_confidence,2025-01-21T22:00:00
case_288,t1,local_verification_collapse,21.4596,0.585,medium_confidence,2025-01-21T23:00:00
case_289,t0,dependency_mediated_propagation,72.2944,0.4885,uncertain,2025-01-22T00:00:00
case_290,t2,burst_associated_degradation,21.7839,0.5242,medium_confidence,2025-01-22T01:00:00
case_291,t0,burst_associated_degradation,7.7711,0.6669,low_confidence,2025-01-22T02:00:00
case_292,t0,dependency_mediated_propagation,34.8858,0.2671,high_confidence,2025-01-22T03:00:00
case_293,none,unverifiable_or_excluded,6.6917,0.9107,high_confidence,2025-01-22T04:00:00
case_294,t1,burst_associated_degradation,24.465,0.4357,high_confidence,2025-01-22T05:00:00
case_295,t0,local_verification_collapse,27.3131,0.1291,medium_confidence,2025-01-22T06:00:00
case_296,t1,local_verification_collapse,40.6964,0.7423,high_confidence,2025-01-22T07:00:00
case_297,none,local_verification_collapse,17.4022,0.6431,high_confidence,2025-01-22T08:00:00
case_298,t0,local_verification_collapse,2.4574,0.3157,high_confidence,2025-01-22T09:00:00
case_299,t2,local_verification_collapse,27.3696,0.6215,uncertain,2025-01-22T10:00:00
case_300,t0,local_verification_collapse,35.0691,0.2199,uncertain,2025-01-22T11:00:00
case_301,t0,local_verification_collapse,38.6489,0.4448,medium_confidence,2025-01-22T12:00:00
case_302,t1,local_verification_collapse,4.1644,0.8994,high_confidence,2025-01-22T13:00:00
