case_id,step_index,verification_passed,verification_type,confidence
case_028,t1,True,schema,0.85
case_028,t2,False,execution,0.33
case_029,t0,True,syntax,0.48
case_029,t1,False,semantic,0.51
case_029,t2,True,syntax,0.4
case_029,t3,True,schema,0.61
case_030,t0,True,schema,0.55
case_030,t1,False,schema,0.83
case_030,t2,False,schema,0.3
case_030,t3,True,schema,0.8
case_030,t4,True,schema,0.76
case_030,t5,False,syntax,0.79
case_031,t0,True,syntax,0.36
case_031,t1,False,syntax,0.53
case_031,t2,False,schema,0.49
case_032,t0,True,schema,0.65
case_032,t1,True,execution,0.91
case_032,t2,False,syntax,0.38
case_033,t0,False,schema,0.85
case_033,t1,True,execution,0.43
case_033,t2,False,semantic,0.72
case_033,t3,False,syntax,0.58
case_034,t0,False,schema,0.53
case_034,t1,True,execution,0.43
case_034,t2,False,syntax,0.53
case_034,t3,True,schema,0.5
case_034,t4,True,schema,0.82
case_035,t0,True,schema,0.92
case_035,t1,True,semantic,0.75
case_035,t2,True,syntax,0.68
case_035,t3,False,execution,0.76
case_036,t0,False,schema,0.33
case_036,t1,True,schema,0.54
case_036,t2,False,syntax,0.54
case_036,t3,False,schema,0.37
case_036,t4,False,schema,0.46
case_037,t0,False,execution,0.69
case_037,t1,False,execution,0.86
case_037,t2,True,syntax,0.35
case_038,t0,False,schema,0.66
case_038,t1,False,execution,0.86
case_038,t2,False,execution,0.62
case_038,t3,True,semantic,0.7
case_038,t4,True,execution,0.73
case_039,t0,True,syntax,0.71
case_039,t1,False,execution,0.84
case_039,t2,True,syntax,0.4
case_039,t3,False,schema,0.81
case_040,t0,True,syntax,0.31
case_040,t1,False,execution,0.55
case_040,t2,False,schema,0.82
case_040,t3,True,execution,0.87
case_040,t4,False,execution,0.6
case_041,t0,True,semantic,0.38
case_041,t1,False,semantic,0.66
case_041,t2,True,schema,0.91
case_041,t3,False,syntax,0.58
case_041,t4,False,execution,0.69
case_042,t0,True,semantic,0.46
case_042,t1,False,execution,0.54
case_042,t2,True,syntax,0.93
case_043,t0,True,schema,0.42
case_043,t1,False,syntax,0.87
case_043,t2,False,execution,0.52
case_044,t0,False,execution,0.6
case_044,t1,True,execution,0.31
case_044,t2,False,execution,0.48
case_045,t0,True,execution,0.36
case_045,t1,False,syntax,0.59
case_045,t2,True,semantic,0.69
case_045,t3,False,semantic,0.73
case_046,t0,True,semantic,0.31
case_046,t1,True,syntax,0.95
case_046,t2,True,execution,0.34
case_046,t3,True,semantic,0.64
case_047,t0,False,syntax,0.77
case_047,t1,False,semantic,0.75
case_047,t2,True,schema,0.89
case_047,t3,False,schema,0.31
case_047,t4,False,execution,0.89
case_048,t0,True,syntax,0.81
case_048,t1,False,semantic,0.61
case_048,t2,True,schema,0.61
case_048,t3,True,semantic,0.48
case_049,t0,True,semantic,0.64
case_049,t1,False,semantic,0.78
case_049,t2,False,schema,0.94
case_049,t3,False,semantic,0.91
case_050,t0,True,syntax,0.67
case_050,t1,True,schema,0.77
case_050,t2,False,semantic,0.63
case_051,t0,True,syntax,0.8
case_051,t1,True,execution,0.48
case_051,t2,False,execution,0.83
case_052,t0,True,execution,0.78
case_052,t1,True,syntax,0.77
case_052,t2,True,syntax,0.62
case_052,t3,True,syntax,0.33
case_052,t4,False,semantic,0.79
case_052,t5,True,schema,0.61
case_053,t0,False,execution,0.83
case_053,t1,True,syntax,0.61
case_053,t2,False,syntax,0.6
case_054,t0,True,schema,0.45
case_054,t1,True,schema,0.5
case_054,t2,False,schema,0.9
case_054,t3,False,schema,0.39
case_054,t4,True,syntax,0.66
case_055,t0,True,semantic,0.79
case_055,t1,False,execution,0.65
case_055,t2,True,execution,0.6
case_055,t3,True,execution,0.54
case_055,t4,True,semantic,0.35
case_056,t0,False,execution,0.42
case_056,t1,True,execution,0.79
case_056,t2,True,execution,0.6
case_056,t3,True,syntax,0.35
case_056,t4,False,schema,0.7
case_057,t0,False,schema,0.37
case_057,t1,True,execution,0.91
case_057,t2,True,execution,0.65
case_057,t3,False,syntax,0.93
case_057,t4,False,syntax,0.67
case_057,t5,True,execution,0.31
case_058,t0,True,syntax,0.49
case_058,t1,False,syntax,0.61
case_058,t2,False,execution,0.41
case_058,t3,False,semantic,0.83
case_059,t0,False,execution,0.69
case_059,t1,False,schema,0.33
case_059,t2,False,execution,0.65
case_059,t3,True,syntax,0.85
case_059,t4,False,semantic,0.9
case_059,t5,False,execution,0.66
case_060,t0,True,execution,0.94
case_060,t1,False,schema,0.47
case_060,t2,True,semantic,0.57
case_061,t0,True,execution,0.35
case_061,t1,True,semantic,0.59
case_061,t2,True,semantic,0.51
case_062,t0,False,semantic,0.4
case_062,t1,True,semantic,0.87
case_062,t2,True,syntax,0.8
case_062,t3,False,schema,0.67
case_062,t4,True,execution,0.87
case_063,t0,True,schema,0.63
case_063,t1,False,syntax,0.92
case_063,t2,False,syntax,0.77
case_063,t3,True,schema,0.34
case_063,t4,False,semantic,0.94
case_063,t5,True,syntax,0.53
case_064,t0,False,schema,0.38
case_064,t1,True,syntax,0.54
case_064,t2,False,syntax,0.89
case_064,t3,False,schema,0.61
case_064,t4,True,schema,0.93
case_065,t0,True,syntax,0.47
case_065,t1,True,syntax,0.94
case_065,t2,True,semantic,0.38
case_066,t0,True,schema,0.46
case_066,t1,False,schema,0.56
case_066,t2,True,execution,0.43
case_066,t3,True,semantic,0.45
case_067,t0,True,execution,0.44
case_067,t1,False,schema,0.34
case_067,t2,True,schema,0.45
case_067,t3,True,execution,0.43
case_067,t4,False,execution,0.91
case_067,t5,True,semantic,0.53
case_068,t0,True,execution,0.47
case_068,t1,False,semantic,0.74
case_068,t2,False,execution,0.51
case_068,t3,True,syntax,0.41
case_069,t0,False,schema,0.79
case_069,t1,False,schema,0.77
case_069,t2,False,execution,0.76
case_069,t3,False,syntax,0.55
case_069,t4,True,syntax,0.54
case_070,t0,True,schema,0.63
case_070,t1,True,execution,0.74
case_070,t2,False,execution,0.57
case_070,t3,True,schema,0.35
case_070,t4,False,syntax,0.46
case_071,t0,False,execution,0.58
case_071,t1,True,semantic,0.85
case_071,t2,False,semantic,0.51
case_071,t3,True,syntax,0.32
case_072,t0,True,execution,0.72
case_072,t1,True,semantic,0.68
case_072,t2,False,schema,0.34
case_072,t3,True,execution,0.31
case_073,t0,False,schema,0.34
case_073,t1,False,execution,0.6
case_073,t2,False,execution,0.44
case_073,t3,False,semantic,0.52
case_074,t0,True,execution,0.58
case_074,t1,True,syntax,0.64
case_074,t2,True,syntax,0.65
case_075,t0,True,schema,0.43
case_075,t1,True,syntax,0.43
case_075,t2,False,semantic,0.72
case_075,t3,True,schema,0.54
case_075,t4,True,execution,0.34
case_075,t5,False,execution,0.49
case_076,t0,True,schema,0.58
case_076,t1,False,schema,0.88
case_076,t2,True,schema,0.3
case_076,t3,True,schema,0.72
case_077,t0,True,semantic,0.79
case_077,t1,False,syntax,0.76
case_077,t2,False,execution,0.41
case_077,t3,False,execution,0.65
case_077,t4,True,execution,0.74
case_077,t5,False,schema,0.95
case_078,t0,False,schema,0.92
case_078,t1,True,semantic,0.61
case_078,t2,True,schema,0.33
case_079,t0,False,schema,0.55
case_079,t1,False,execution,0.84
case_079,t2,False,schema,0.83
case_079,t3,True,syntax,0.31
case_079,t4,False,schema,0.62
case_079,t5,False,semantic,0.65
case_080,t0,True,execution,0.52
case_080,t1,True,syntax,0.35
case_080,t2,False,schema,0.74
case_080,t3,True,schema,0.92
case_081,t0,False,execution,0.37
case_081,t1,True,schema,0.41
case_081,t2,True,syntax,0.35
case_082,t0,True,schema,0.86
case_082,t1,False,execution,0.65
case_082,t2,False,schema,0.48
case_083,t0,False,semantic,0.92
case_083,t1,True,semantic,0.87
case_083,t2,False,syntax,0.84
case_083,t3,False,execution,0.93
case_083,t4,False,semantic,0.83
case_084,t0,True,syntax,0.79
case_084,t1,False,syntax,0.54
case_084,t2,False,execution,0.92
case_084,t3,False,schema,0.7
case_084,t4,False,syntax,0.85
case_085,t0,True,syntax,0.36
case_085,t1,True,execution,0.4
case_085,t2,False,syntax,0.76
case_085,t3,False,syntax,0.84
case_085,t4,False,schema,0.42
case_086,t0,True,semantic,0.57
case_086,t1,False,schema,0.33
case_086,t2,False,semantic,0.91
case_087,t0,False,execution,0.91
case_087,t1,True,syntax,0.86
case_087,t2,False,schema,0.59
case_088,t0,True,schema,0.45
case_088,t1,False,syntax,0.78
case_088,t2,False,syntax,0.53
case_088,t3,True,schema,0.88
case_089,t0,False,syntax,0.48
case_089,t1,False,semantic,0.54
case_089,t2,False,semantic,0.76
case_089,t3,True,syntax,0.41
case_090,t0,False,schema,0.62
case_090,t1,False,schema,0.74
case_090,t2,True,schema,0.74
case_090,t3,False,syntax,0.74
case_091,t0,True,semantic,0.84
case_091,t1,False,syntax,0.42
case_091,t2,False,execution,0.85
case_091,t3,False,schema,0.94
case_091,t4,True,execution,0.45
case_091,t5,False,execution,0.73
case_092,t0,True,schema,0.5
case_092,t1,False,schema,0.74
case_092,t2,True,syntax,0.87
case_092,t3,False,semantic,0.5
case_092,t4,True,schema,0.85
case_092,t5,False,syntax,0.59
case_093,t0,True,schema,0.9
case_093,t1,False,schema,0.86
case_093,t2,False,schema,0.77
case_093,t3,True,semantic,0.72
case_093,t4,False,schema,0.56
case_093,t5,True,execution,0.62
case_094,t0,False,semantic,0.88
case_094,t1,False,execution,0.33
case_094,t2,True,schema,0.38
case_094,t3,False,semantic,0.59
case_094,t4,True,semantic,0.53
case_095,t0,True,semantic,0.75
case_095,t1,False,syntax,0.61
case_095,t2,False,syntax,0.35
case_095,t3,True,semantic,0.67
case_096,t0,False,schema,0.79
case_096,t1,False,schema,0.77
case_096,t2,True,semantic,0.32
case_096,t3,False,schema,0.49
case_097,t0,True,semantic,0.48
case_097,t1,False,semantic,0.84
case_097,t2,True,schema,0.8
case_097,t3,False,semantic,0.93
case_098,t0,False,syntax,0.68
case_098,t1,False,schema,0.49
case_098,t2,True,syntax,0.91
case_098,t3,False,execution,0.66
case_098,t4,False,semantic,0.8
case_099,t0,False,schema,0.7
case_099,t1,False,schema,0.35
case_099,t2,False,execution,0.87
case_100,t0,False,schema,0.74
case_100,t1,True,semantic,0.88
case_100,t2,True,schema,0.95
case_100,t3,False,execution,0.66
case_101,t0,False,execution,0.32
case_101,t1,False,syntax,0.61
case_101,t2,True,schema,0.32
case_102,t0,True,syntax,0.48
case_102,t1,False,execution,0.92
case_102,t2,True,semantic,0.39
case_102,t3,False,execution,0.66
case_103,t0,False,syntax,0.37
case_103,t1,False,semantic,0.39
case_103,t2,True,execution,0.76
case_103,t3,False,syntax,0.64
case_103,t4,True,syntax,0.55
case_103,t5,True,execution,0.71
case_104,t0,False,execution,0.77
case_104,t1,False,syntax,0.69
case_104,t2,True,semantic,0.82
case_104,t3,False,semantic,0.69
case_104,t4,True,syntax,0.31
case_105,t0,False,syntax,0.4
case_105,t1,False,schema,0.88
case_105,t2,False,semantic,0.79
case_106,t0,True,schema,0.69
case_106,t1,False,syntax,0.7
case_106,t2,True,execution,0.91
case_106,t3,False,execution,0.71
case_106,t4,True,execution,0.85
case_106,t5,False,execution,0.63
case_107,t0,False,schema,0.49
case_107,t1,False,execution,0.32
case_107,t2,True,execution,0.79
case_107,t3,True,semantic,0.6
case_107,t4,True,schema,0.71
case_108,t0,True,execution,0.62
case_108,t1,True,semantic,0.63
case_108,t2,False,execution,0.66
case_109,t0,True,syntax,0.69
case_109,t1,False,schema,0.3
case_109,t2,False,execution,0.74
case_109,t3,True,schema,0.32
case_110,t0,True,schema,0.74
case_110,t1,True,schema,0.37
case_110,t2,False,semantic,0.63
case_110,t3,False,semantic,0.45
case_111,t0,True,syntax,0.61
case_111,t1,False,execution,0.64
case_111,t2,True,schema,0.72
case_112,t0,True,execution,0.53
case_112,t1,True,execution,0.76
case_112,t2,False,execution,0.86
case_112,t3,False,schema,0.58
case_112,t4,True,syntax,0.43
case_112,t5,True,syntax,0.32
case_113,t0,True,execution,0.6
case_113,t1,False,semantic,0.85
case_113,t2,False,schema,0.67
case_113,t3,True,execution,0.39
case_114,t0,False,schema,0.7
case_114,t1,False,syntax,0.32
case_114,t2,False,schema,0.5
case_114,t3,False,execution,0.84
case_114,t4,False,schema,0.57
case_114,t5,True,schema,0.73
case_115,t0,False,execution,0.34
case_115,t1,True,schema,0.67
case_115,t2,True,syntax,0.93
case_115,t3,True,semantic,0.94
case_116,t0,True,semantic,0.85
case_116,t1,True,schema,0.51
case_116,t2,False,execution,0.65
case_117,t0,False,syntax,0.45
case_117,t1,True,semantic,0.34
case_117,t2,False,schema,0.63
case_117,t3,False,schema,0.83
case_118,t0,True,execution,0.91
case_118,t1,False,semantic,0.4
case_118,t2,False,execution,0.35
case_119,t0,False,execution,0.85
case_119,t1,False,schema,0.56
case_119,t2,True,execution,0.68
case_119,t3,True,execution,0.79
case_120,t0,True,schema,0.94
case_120,t1,True,schema,0.83
case_120,t2,True,syntax,0.87
case_120,t3,True,execution,0.58
case_120,t4,False,schema,0.46
case_120,t5,False,execution,0.61
case_121,t0,False,semantic,0.72
case_121,t1,False,syntax,0.32
case_121,t2,True,schema,0.47
case_121,t3,False,execution,0.71
case_122,t0,True,syntax,0.83
case_122,t1,False,schema,0.94
case_122,t2,True,schema,0.38
case_122,t3,False,schema,0.95
case_122,t4,False,syntax,0.54
case_123,t0,False,schema,0.44
case_123,t1,True,syntax,0.39
case_123,t2,False,semantic,0.81
case_124,t0,False,semantic,0.92
case_124,t1,True,execution,0.75
case_124,t2,False,semantic,0.64
case_125,t0,False,syntax,0.95
case_125,t1,True,semantic,0.87
case_125,t2,True,syntax,0.94
case_126,t0,False,syntax,0.32
case_126,t1,True,semantic,0.69
case_126,t2,False,schema,0.94
case_126,t3,False,semantic,0.31
case_127,t0,True,execution,0.4
case_127,t1,False,schema,0.31
case_127,t2,True,semantic,0.43
case_128,t0,True,execution,0.59
case_128,t1,True,syntax,0.81
case_128,t2,False,execution,0.49
case_128,t3,False,execution,0.73
case_129,t0,True,syntax,0.7
case_129,t1,False,semantic,0.48
case_129,t2,True,syntax,0.49
case_129,t3,False,schema,0.77
case_130,t0,False,schema,0.94
case_130,t1,True,execution,0.54
case_130,t2,False,schema,0.36
case_130,t3,False,semantic,0.85
case_131,t0,True,schema,0.56
case_131,t1,False,syntax,0.8
case_131,t2,False,execution,0.48
case_132,t0,False,semantic,0.62
case_132,t1,False,syntax,0.68
case_132,t2,False,execution,0.56
case_132,t3,False,schema,0.8
case_133,t0,False,execution,0.53
case_133,t1,False,semantic,0.82
case_133,t2,False,schema,0.36
case_133,t3,True,execution,0.83
case_133,t4,False,execution,0.94
case_133,t5,True,semantic,0.88
case_134,t0,True,schema,0.37
case_134,t1,False,execution,0.61
case_134,t2,False,semantic,0.38
case_134,t3,True,syntax,0.89
case_134,t4,False,syntax,0.56
case_135,t0,True,syntax,0.72
case_135,t1,True,execution,0.71
case_135,t2,True,semantic,0.56
case_135,t3,False,syntax,0.31
case_136,t0,True,schema,0.83
case_136,t1,True,execution,0.58
case_136,t2,True,semantic,0.34
case_137,t0,True,schema,0.46
case_137,t1,False,execution,0.65
case_137,t2,False,schema,0.5
case_137,t3,True,schema,0.78
case_137,t4,False,syntax,0.73
case_137,t5,False,execution,0.85
case_138,t0,True,semantic,0.86
case_138,t1,True,semantic,0.66
case_138,t2,True,syntax,0.89
case_138,t3,True,schema,0.79
case_138,t4,True,syntax,0.83
case_139,t0,False,semantic,0.55
case_139,t1,False,syntax,0.69
case_139,t2,True,semantic,0.43
case_139,t3,False,semantic,0.62
case_140,t0,True,execution,0.31
case_140,t1,False,syntax,0.48
case_140,t2,False,syntax,0.84
case_140,t3,False,syntax,0.49
case_140,t4,False,execution,0.94
case_140,t5,True,execution,0.3
case_141,t0,True,semantic,0.85
case_141,t1,True,semantic,0.81
case_141,t2,False,schema,0.61
case_141,t3,False,semantic,0.34
case_142,t0,True,schema,0.75
case_142,t1,True,syntax,0.38
case_142,t2,False,execution,0.32
case_142,t3,False,schema,0.31
case_143,t0,True,syntax,0.81
case_143,t1,True,execution,0.65
case_143,t2,False,syntax,0.88
case_143,t3,True,execution,0.42
case_143,t4,False,syntax,0.38
case_144,t0,False,execution,0.93
case_144,t1,True,execution,0.77
case_144,t2,False,semantic,0.54
case_145,t0,True,execution,0.37
case_145,t1,False,schema,0.83
case_145,t2,False,syntax,0.46
case_145,t3,False,schema,0.49
case_145,t4,True,execution,0.39
case_145,t5,True,execution,0.3
case_146,t0,True,execution,0.45
case_146,t1,True,syntax,0.4
case_146,t2,True,schema,0.52
case_146,t3,True,execution,0.87
case_146,t4,True,schema,0.38
case_147,t0,True,semantic,0.51
case_147,t1,False,schema,0.75
case_147,t2,False,syntax,0.42
case_147,t3,True,semantic,0.37
case_148,t0,True,semantic,0.47
case_148,t1,True,execution,0.6
case_148,t2,False,syntax,0.41
case_149,t0,False,schema,0.88
case_149,t1,False,syntax,0.63
case_149,t2,False,semantic,0.94
case_150,t0,False,schema,0.87
case_150,t1,True,execution,0.46
case_150,t2,True,semantic,0.66
case_150,t3,True,execution,0.79
case_151,t0,True,syntax,0.43
case_151,t1,False,schema,0.51
case_151,t2,True,syntax,0.66
case_151,t3,False,schema,0.37
case_151,t4,True,execution,0.76
case_152,t0,False,syntax,0.77
case_152,t1,False,execution,0.74
case_152,t2,True,schema,0.33
case_152,t3,True,execution,0.9
case_153,t0,False,semantic,0.43
case_153,t1,True,syntax,0.86
case_153,t2,True,syntax,0.38
case_153,t3,True,schema,0.36
case_154,t0,True,semantic,0.89
case_154,t1,True,execution,0.31
case_154,t2,False,syntax,0.61
case_154,t3,False,syntax,0.52
case_154,t4,True,execution,0.39
case_155,t0,False,syntax,0.78
case_155,t1,False,execution,0.39
case_155,t2,False,semantic,0.52
case_156,t0,False,syntax,0.77
case_156,t1,False,execution,0.85
case_156,t2,True,semantic,0.74
case_156,t3,False,schema,0.93
case_156,t4,False,syntax,0.36
case_157,t0,True,syntax,0.85
case_157,t1,False,syntax,0.75
case_157,t2,True,schema,0.81
case_158,t0,True,syntax,0.46
case_158,t1,True,schema,0.43
case_158,t2,True,execution,0.79
case_158,t3,False,execution,0.61
case_158,t4,True,schema,0.86
case_158,t5,False,syntax,0.49
case_159,t0,False,execution,0.41
case_159,t1,True,syntax,0.39
case_159,t2,False,syntax,0.65
case_159,t3,False,schema,0.84
case_160,t0,True,syntax,0.66
case_160,t1,False,execution,0.78
case_160,t2,False,semantic,0.38
case_161,t0,False,schema,0.6
case_161,t1,False,execution,0.52
case_161,t2,False,semantic,0.83
case_161,t3,False,execution,0.32
case_162,t0,True,schema,0.79
case_162,t1,False,syntax,0.87
case_162,t2,True,schema,0.84
case_162,t3,True,schema,0.62
case_163,t0,False,syntax,0.51
case_163,t1,True,schema,0.61
case_163,t2,False,schema,0.83
case_163,t3,True,syntax,0.31
case_163,t4,False,syntax,0.8
case_164,t0,True,syntax,0.86
case_164,t1,True,execution,0.4
case_164,t2,True,semantic,0.7
case_164,t3,False,semantic,0.55
case_164,t4,True,execution,0.63
case_165,t0,True,execution,0.63
case_165,t1,True,execution,0.34
case_165,t2,False,execution,0.62
case_165,t3,False,syntax,0.49
case_165,t4,False,semantic,0.69
case_166,t0,True,execution,0.79
case_166,t1,True,syntax,0.76
case_166,t2,False,execution,0.48
case_167,t0,False,schema,0.62
case_167,t1,False,schema,0.85
case_167,t2,True,schema,0.44
case_168,t0,True,schema,0.34
case_168,t1,True,execution,0.59
case_168,t2,False,execution,0.8
case_169,t0,False,semantic,0.33
case_169,t1,False,syntax,0.41
case_169,t2,False,syntax,0.67
case_169,t3,True,syntax,0.89
case_170,t0,True,semantic,0.5
case_170,t1,True,schema,0.3
case_170,t2,False,schema,0.43
case_170,t3,False,syntax,0.47
case_170,t4,False,syntax,0.46
case_170,t5,False,syntax,0.77
case_171,t0,False,execution,0.48
case_171,t1,True,schema,0.65
case_171,t2,True,syntax,0.75
case_171,t3,False,syntax,0.5
case_172,t0,True,semantic,0.74
case_172,t1,True,execution,0.77
case_172,t2,False,syntax,0.39
case_173,t0,False,execution,0.85
case_173,t1,True,schema,0.93
case_173,t2,False,schema,0.65
case_173,t3,False,schema,0.46
case_174,t0,True,execution,0.7
case_174,t1,False,execution,0.44
case_174,t2,True,syntax,0.33
case_174,t3,False,execution,0.76
case_174,t4,True,schema,0.81
case_175,t0,True,schema,0.3
case_175,t1,True,schema,0.57
case_175,t2,True,execution,0.8
case_175,t3,True,schema,0.31
case_175,t4,False,syntax,0.83
case_176,t0,True,syntax,0.91
case_176,t1,False,schema,0.94
case_176,t2,False,schema,0.39
case_176,t3,True,execution,0.58
case_176,t4,True,semantic,0.9
case_176,t5,False,execution,0.78
case_177,t0,True,schema,0.53
case_177,t1,False,schema,0.42
case_177,t2,False,syntax,0.86
case_177,t3,True,syntax,0.46
case_178,t0,False,semantic,0.47
case_178,t1,True,schema,0.59
case_178,t2,True,schema,0.73
case_179,t0,True,semantic,0.31
case_179,t1,True,syntax,0.55
case_179,t2,False,schema,0.89
case_179,t3,True,schema,0.56
case_179,t4,False,semantic,0.51
case_179,t5,True,syntax,0.92
case_180,t0,False,schema,0.68
case_180,t1,False,semantic,0.86
case_180,t2,False,syntax,0.63
case_180,t3,False,semantic,0.85
case_180,t4,True,syntax,0.89
case_181,t0,True,semantic,0.34
case_181,t1,True,semantic,0.74
case_181,t2,True,execution,0.49
case_181,t3,True,schema,0.41
case_182,t0,False,schema,0.74
case_182,t1,False,execution,0.65
case_182,t2,False,schema,0.5
case_182,t3,True,syntax,0.56
case_182,t4,True,syntax,0.43
case_183,t0,True,semantic,0.35
case_183,t1,False,semantic,0.73
case_183,t2,True,syntax,0.48
case_183,t3,False,schema,0.37
case_183,t4,True,schema,0.61
case_184,t0,False,schema,0.82
case_184,t1,False,execution,0.85
case_184,t2,True,syntax,0.69
case_184,t3,False,schema,0.65
case_184,t4,False,schema,0.54
case_185,t0,True,execution,0.57
case_185,t1,False,execution,0.84
case_185,t2,False,schema,0.57
case_185,t3,False,schema,0.62
case_185,t4,True,schema,0.57
case_186,t0,False,schema,0.67
case_186,t1,False,semantic,0.92
case_186,t2,False,execution,0.63
case_186,t3,False,schema,0.95
case_187,t0,True,schema,0.94
case_187,t1,False,syntax,0.69
case_187,t2,True,syntax,0.47
case_187,t3,True,semantic,0.74
case_188,t0,True,schema,0.65
case_188,t1,False,execution,0.83
case_188,t2,False,semantic,0.63
case_188,t3,False,semantic,0.84
case_189,t0,True,schema,0.66
case_189,t1,False,schema,0.59
case_189,t2,True,execution,0.68
case_189,t3,True,schema,0.43
case_189,t4,True,syntax,0.62
case_190,t0,True,schema,0.59
case_190,t1,False,execution,0.56
case_190,t2,False,semantic,0.58
case_190,t3,True,execution,0.88
case_190,t4,False,semantic,0.66
case_191,t0,False,execution,0.72
case_191,t1,True,execution,0.92
case_191,t2,True,syntax,0.65
case_191,t3,True,execution,0.51
case_191,t4,True,syntax,0.4
case_192,t0,True,execution,0.31
case_192,t1,False,execution,0.87
case_192,t2,True,semantic,0.68
case_193,t0,True,semantic,0.5
case_193,t1,False,schema,0.58
case_193,t2,False,syntax,0.31
case_193,t3,True,semantic,0.69
case_193,t4,False,syntax,0.89
case_194,t0,True,schema,0.9
case_194,t1,False,syntax,0.81
case_194,t2,False,syntax,0.63
case_194,t3,False,execution,0.74
case_194,t4,True,schema,0.82
case_195,t0,True,semantic,0.84
case_195,t1,False,execution,0.85
case_195,t2,False,schema,0.47
case_195,t3,False,syntax,0.5
case_195,t4,False,execution,0.77
case_196,t0,False,syntax,0.77
case_196,t1,True,syntax,0.44
case_196,t2,False,execution,0.41
case_196,t3,False,syntax,0.63
case_196,t4,False,schema,0.94
case_197,t0,True,schema,0.38
case_197,t1,True,execution,0.69
case_197,t2,True,semantic,0.45
case_197,t3,False,syntax,0.63
case_197,t4,True,execution,0.61
case_198,t0,False,execution,0.7
case_198,t1,True,semantic,0.81
case_198,t2,False,semantic,0.86
case_198,t3,True,syntax,0.78
