case_id,model_source,difficulty_tier,n_total_checkpoints,n_checkable_checkpoints,n_unverifiable_checkpoints,checkable_rate,main_unverifiable_reason
dtest_case_0070,current_local,standard,2,1,1,0.5,format_error
dtest_case_0071,current_local,standard,2,2,0,1.0,
dtest_case_0072,current_local,deep_nesting,4,1,3,0.25,schema_mismatch
dtest_case_0073,current_local,standard,3,2,1,0.6667,timeout
dtest_case_0074,current_local,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0075,current_local,deep_nesting,2,0,2,0.0,
dtest_case_0076,current_local,standard,2,1,1,0.5,timeout
dtest_case_0077,current_local,standard,3,3,0,1.0,
dtest_case_0078,current_local,standard,2,1,1,0.5,format_error
dtest_case_0079,current_local,standard,2,2,0,1.0,
dtest_case_0080,current_local,standard,2,2,0,1.0,
dtest_case_0081,current_local,standard,3,3,0,1.0,
dtest_case_0082,current_local,standard,4,3,1,0.75,
dtest_case_0083,current_local,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0084,current_local,standard,3,3,0,1.0,
dtest_case_0085,current_local,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0086,current_local,complex,3,2,1,0.6667,format_error
dtest_case_0087,current_local,complex,3,3,0,1.0,
dtest_case_0088,current_local,standard,2,2,0,1.0,
dtest_case_0089,current_local,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0090,current_local,complex,2,1,1,0.5,timeout
dtest_case_0091,current_local,standard,4,2,2,0.5,schema_mismatch
dtest_case_0092,current_local,standard,3,3,0,1.0,
dtest_case_0093,current_local,standard,3,2,1,0.6667,
dtest_case_0094,current_local,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0095,current_local,complex,3,1,2,0.3333,
dtest_case_0096,current_local,complex,3,3,0,1.0,
dtest_case_0097,current_local,standard,4,1,3,0.25,
dtest_case_0098,current_local,standard,4,4,0,1.0,
dtest_case_0099,current_local,standard,2,2,0,1.0,
dtest_case_0100,current_local,complex,3,3,0,1.0,
dtest_case_0101,current_local,standard,3,2,1,0.6667,
dtest_case_0102,current_local,complex,3,1,2,0.3333,format_error
dtest_case_0103,current_local,standard,3,3,0,1.0,
dtest_case_0104,current_local,standard,2,1,1,0.5,format_error
dtest_case_0105,current_local,standard,4,1,3,0.25,schema_mismatch
dtest_case_0106,current_local,standard,4,4,0,1.0,
dtest_case_0107,current_local,standard,4,1,3,0.25,schema_mismatch
dtest_case_0108,current_local,complex,3,2,1,0.6667,unverifiable_predicate
dtest_case_0109,current_local,complex,3,2,1,0.6667,format_error
dtest_case_0110,current_local,complex,3,1,2,0.3333,schema_mismatch
dtest_case_0111,current_local,standard,4,1,3,0.25,
dtest_case_0112,current_local,standard,2,0,2,0.0,unverifiable_predicate
dtest_case_0113,current_local,standard,4,4,0,1.0,
dtest_case_0114,current_local,deep_nesting,2,1,1,0.5,timeout
dtest_case_0115,current_local,complex,3,1,2,0.3333,format_error
dtest_case_0116,current_local,standard,2,2,0,1.0,
dtest_case_0117,current_local,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0118,current_local,standard,4,3,1,0.75,format_error
dtest_case_0119,current_local,standard,4,1,3,0.25,format_error
dtest_case_0120,current_local,complex,2,0,2,0.0,timeout
dtest_case_0121,current_local,complex,2,1,1,0.5,unverifiable_predicate
dtest_case_0122,current_local,standard,3,2,1,0.6667,timeout
dtest_case_0123,current_local,complex,4,4,0,1.0,
dtest_case_0124,current_local,complex,3,0,3,0.0,
dtest_case_0125,current_local,deep_nesting,3,2,1,0.6667,
dtest_case_0126,current_local,complex,2,1,1,0.5,schema_mismatch
dtest_case_0127,current_local,standard,2,2,0,1.0,
dtest_case_0128,current_local,complex,4,0,4,0.0,unverifiable_predicate
dtest_case_0129,current_local,standard,2,2,0,1.0,
dtest_case_0130,current_local,standard,2,2,0,1.0,
dtest_case_0131,current_local,standard,4,4,0,1.0,
dtest_case_0132,current_local,complex,4,4,0,1.0,
dtest_case_0133,current_local,complex,3,3,0,1.0,
dtest_case_0134,current_local,complex,4,2,2,0.5,
dtest_case_0135,current_local,standard,2,1,1,0.5,timeout
dtest_case_0136,current_local,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0137,current_local,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0138,current_local,standard,4,4,0,1.0,
dtest_case_0139,current_local,standard,3,3,0,1.0,
dtest_case_0140,current_local,standard,4,1,3,0.25,format_error
dtest_case_0141,current_local,standard,4,2,2,0.5,schema_mismatch
dtest_case_0142,current_local,standard,4,3,1,0.75,timeout
dtest_case_0143,current_local,complex,2,2,0,1.0,
dtest_case_0144,current_local,standard,4,4,0,1.0,
dtest_case_0145,current_local,complex,2,1,1,0.5,
dtest_case_0146,current_local,standard,3,3,0,1.0,
dtest_case_0147,current_local,deep_nesting,3,1,2,0.3333,schema_mismatch
dtest_case_0148,current_local,standard,4,2,2,0.5,
dtest_case_0149,current_local,standard,4,3,1,0.75,
dtest_case_0150,current_local,complex,2,2,0,1.0,
dtest_case_0151,current_local,standard,2,2,0,1.0,
dtest_case_0152,current_local,complex,3,1,2,0.3333,format_error
dtest_case_0153,current_local,standard,2,1,1,0.5,schema_mismatch
dtest_case_0154,current_local,complex,2,1,1,0.5,schema_mismatch
dtest_case_0155,current_local,complex,2,1,1,0.5,format_error
dtest_case_0156,current_local,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0157,current_local,complex,3,2,1,0.6667,
dtest_case_0158,current_local,standard,3,3,0,1.0,
dtest_case_0159,current_local,complex,2,1,1,0.5,format_error
dtest_case_0160,current_local,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0161,current_local,complex,4,1,3,0.25,timeout
dtest_case_0162,current_local,complex,2,2,0,1.0,
dtest_case_0163,current_local,complex,4,0,4,0.0,format_error
dtest_case_0164,current_local,standard,2,2,0,1.0,
dtest_case_0165,current_local,complex,3,1,2,0.3333,unverifiable_predicate
dtest_case_0166,current_local,complex,4,1,3,0.25,
dtest_case_0167,current_local,complex,3,3,0,1.0,
dtest_case_0168,current_local,standard,3,3,0,1.0,
dtest_case_0169,current_local,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0170,current_local,complex,4,1,3,0.25,
dtest_case_0171,current_local,standard,2,1,1,0.5,schema_mismatch
dtest_case_0172,current_local,standard,2,1,1,0.5,format_error
dtest_case_0173,current_local,deep_nesting,4,4,0,1.0,
dtest_case_0174,current_local,standard,4,3,1,0.75,format_error
dtest_case_0175,current_local,complex,2,2,0,1.0,
dtest_case_0176,current_local,standard,3,1,2,0.3333,timeout
dtest_case_0177,current_local,standard,2,2,0,1.0,
dtest_case_0178,current_local,complex,4,1,3,0.25,timeout
dtest_case_0179,current_local,complex,2,0,2,0.0,format_error
dtest_case_0180,current_local,standard,3,3,0,1.0,
dtest_case_0181,current_local,standard,2,2,0,1.0,
dtest_case_0182,current_local,deep_nesting,4,1,3,0.25,timeout
dtest_case_0183,current_local,complex,3,2,1,0.6667,unverifiable_predicate
dtest_case_0184,current_local,complex,4,3,1,0.75,format_error
dtest_case_0185,current_local,complex,3,1,2,0.3333,timeout
dtest_case_0186,current_local,complex,4,2,2,0.5,schema_mismatch
dtest_case_0187,current_local,standard,4,1,3,0.25,schema_mismatch
dtest_case_0188,current_local,standard,3,2,1,0.6667,schema_mismatch
dtest_case_0189,current_local,standard,2,1,1,0.5,schema_mismatch
dtest_case_0190,current_local,complex,3,3,0,1.0,
dtest_case_0191,current_local,deep_nesting,4,4,0,1.0,
dtest_case_0192,current_local,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0193,current_local,complex,3,0,3,0.0,unverifiable_predicate
dtest_case_0194,current_local,standard,2,1,1,0.5,format_error
dtest_case_0195,current_local,complex,4,1,3,0.25,
dtest_case_0196,current_local,complex,2,1,1,0.5,timeout
dtest_case_0197,current_local,standard,4,3,1,0.75,timeout
dtest_case_0198,current_local,standard,2,1,1,0.5,schema_mismatch
dtest_case_0199,current_local,deep_nesting,3,1,2,0.3333,schema_mismatch
dtest_case_0200,current_local,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0201,current_local,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0202,current_local,standard,3,3,0,1.0,
dtest_case_0203,current_local,complex,2,1,1,0.5,timeout
dtest_case_0204,current_local,standard,4,1,3,0.25,timeout
dtest_case_0205,current_local,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0206,current_local,standard,4,1,3,0.25,format_error
dtest_case_0207,current_local,standard,4,3,1,0.75,
dtest_case_0208,current_local,standard,4,3,1,0.75,format_error
dtest_case_0209,current_local,complex,4,3,1,0.75,
dtest_case_0210,current_local,standard,4,3,1,0.75,format_error
dtest_case_0211,current_local,standard,3,3,0,1.0,
dtest_case_0212,current_local,standard,4,1,3,0.25,timeout
dtest_case_0213,current_local,standard,2,1,1,0.5,timeout
dtest_case_0214,current_local,deep_nesting,2,2,0,1.0,
dtest_case_0215,current_local,deep_nesting,2,2,0,1.0,
dtest_case_0216,current_local,standard,4,2,2,0.5,schema_mismatch
dtest_case_0217,current_local,standard,2,2,0,1.0,
dtest_case_0218,current_local,standard,3,2,1,0.6667,timeout
dtest_case_0219,current_local,complex,2,1,1,0.5,timeout
dtest_case_0220,current_local,standard,4,1,3,0.25,timeout
dtest_case_0221,current_local,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0222,current_local,standard,2,1,1,0.5,
dtest_case_0223,current_local,deep_nesting,2,0,2,0.0,unverifiable_predicate
dtest_case_0224,current_local,standard,2,2,0,1.0,
dtest_case_0225,current_local,complex,3,1,2,0.3333,
dtest_case_0226,current_local,standard,2,2,0,1.0,
dtest_case_0227,current_local,standard,2,2,0,1.0,
dtest_case_0228,current_local,complex,4,4,0,1.0,
dtest_case_0229,current_local,complex,3,1,2,0.3333,
dtest_case_0230,current_local,complex,3,1,2,0.3333,unverifiable_predicate
dtest_case_0231,current_local,standard,2,1,1,0.5,timeout
dtest_case_0232,current_local,complex,4,1,3,0.25,format_error
dtest_case_0233,current_local,standard,3,2,1,0.6667,schema_mismatch
dtest_case_0234,current_local,standard,2,2,0,1.0,
dtest_case_0235,current_local,complex,4,0,4,0.0,format_error
dtest_case_0236,current_local,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0237,current_local,deep_nesting,2,2,0,1.0,
dtest_case_0238,current_local,complex,2,2,0,1.0,
dtest_case_0239,current_local,standard,3,3,0,1.0,
dtest_case_0240,current_local,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0241,current_local,standard,3,1,2,0.3333,format_error
dtest_case_0242,current_local,complex,4,2,2,0.5,unverifiable_predicate
dtest_case_0243,current_local,deep_nesting,2,1,1,0.5,format_error
dtest_case_0244,current_local,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0245,current_local,standard,3,0,3,0.0,
dtest_case_0246,current_local,standard,4,1,3,0.25,timeout
dtest_case_0247,current_local,standard,4,2,2,0.5,timeout
dtest_case_0248,current_local,standard,4,3,1,0.75,schema_mismatch
dtest_case_0249,current_local,deep_nesting,4,3,1,0.75,
dtest_case_0250,current_local,complex,4,2,2,0.5,
dtest_case_0251,current_local,complex,3,3,0,1.0,
dtest_case_0252,current_local,complex,4,2,2,0.5,timeout
dtest_case_0253,current_local,complex,2,1,1,0.5,unverifiable_predicate
dtest_case_0254,current_local,standard,2,1,1,0.5,
dtest_case_0255,current_local,complex,2,1,1,0.5,
dtest_case_0256,current_local,standard,2,1,1,0.5,timeout
dtest_case_0257,current_local,complex,2,1,1,0.5,timeout
dtest_case_0258,current_local,complex,2,2,0,1.0,
dtest_case_0259,current_local,complex,2,2,0,1.0,
dtest_case_0260,current_local,standard,4,3,1,0.75,
dtest_case_0261,current_local,complex,4,1,3,0.25,timeout
dtest_case_0262,current_local,standard,3,3,0,1.0,
dtest_case_0263,current_local,complex,4,3,1,0.75,timeout
dtest_case_0264,current_local,complex,3,1,2,0.3333,
dtest_case_0265,current_local,standard,4,3,1,0.75,format_error
dtest_case_0266,current_local,standard,3,3,0,1.0,
dtest_case_0267,current_local,standard,4,3,1,0.75,
dtest_case_0268,current_local,deep_nesting,3,0,3,0.0,format_error
dtest_case_0269,current_local,deep_nesting,2,2,0,1.0,
dtest_case_0270,current_local,standard,4,4,0,1.0,
dtest_case_0271,current_local,complex,3,3,0,1.0,
dtest_case_0272,current_local,complex,3,2,1,0.6667,schema_mismatch
dtest_case_0273,current_local,standard,4,1,3,0.25,
dtest_case_0274,current_local,standard,2,1,1,0.5,timeout
dtest_case_0275,current_local,standard,3,0,3,0.0,format_error
dtest_case_0276,current_local,standard,2,2,0,1.0,
dtest_case_0277,current_local,standard,3,1,2,0.3333,format_error
dtest_case_0278,current_local,deep_nesting,3,1,2,0.3333,unverifiable_predicate
dtest_case_0279,current_local,complex,4,3,1,0.75,unverifiable_predicate
dtest_case_0280,current_local,standard,4,3,1,0.75,schema_mismatch
dtest_case_0281,current_local,complex,2,2,0,1.0,
dtest_case_0282,current_local,standard,2,1,1,0.5,timeout
dtest_case_0283,current_local,standard,4,3,1,0.75,
dtest_case_0284,current_local,deep_nesting,3,1,2,0.3333,schema_mismatch
dtest_case_0285,current_local,standard,3,1,2,0.3333,
dtest_case_0286,current_local,complex,4,2,2,0.5,timeout
dtest_case_0287,current_local,standard,4,3,1,0.75,format_error
dtest_case_0288,current_local,standard,2,1,1,0.5,
dtest_case_0289,current_local,standard,2,2,0,1.0,
dtest_case_0290,current_local,complex,4,3,1,0.75,format_error
dtest_case_0291,current_local,standard,2,2,0,1.0,
dtest_case_0292,current_local,standard,4,1,3,0.25,format_error
dtest_case_0293,current_local,complex,2,1,1,0.5,format_error
dtest_case_0294,current_local,standard,2,1,1,0.5,schema_mismatch
dtest_case_0295,current_local,standard,3,3,0,1.0,
dtest_case_0296,current_local,standard,3,3,0,1.0,
dtest_case_0297,current_local,standard,4,2,2,0.5,timeout
dtest_case_0298,current_local,standard,3,3,0,1.0,
dtest_case_0299,current_local,standard,3,3,0,1.0,
dtest_case_0300,current_local,standard,4,2,2,0.5,timeout
dtest_case_0301,current_local,standard,3,2,1,0.6667,format_error
dtest_case_0302,current_local,complex,2,1,1,0.5,
dtest_case_0303,current_local,complex,4,3,1,0.75,unverifiable_predicate
dtest_case_0304,current_local,standard,4,2,2,0.5,format_error
dtest_case_0305,current_local,complex,2,2,0,1.0,
dtest_case_0306,current_local,standard,3,1,2,0.3333,timeout
dtest_case_0307,current_local,standard,4,3,1,0.75,timeout
dtest_case_0308,current_local,standard,3,2,1,0.6667,timeout
dtest_case_0309,current_local,standard,2,1,1,0.5,format_error
dtest_case_0310,current_local,standard,3,1,2,0.3333,format_error
dtest_case_0311,current_local,complex,3,2,1,0.6667,
dtest_case_0312,current_local,complex,3,3,0,1.0,
dtest_case_0313,current_local,complex,4,1,3,0.25,timeout
dtest_case_0314,current_local,standard,2,1,1,0.5,schema_mismatch
dtest_case_0315,current_local,complex,4,1,3,0.25,timeout
dtest_case_0316,current_local,standard,3,3,0,1.0,
dtest_case_0317,current_local,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0318,current_local,standard,2,2,0,1.0,
dtest_case_0319,current_local,standard,4,2,2,0.5,format_error
dtest_case_0320,current_local,standard,2,2,0,1.0,
dtest_case_0321,current_local,standard,4,3,1,0.75,schema_mismatch
dtest_case_0322,current_local,complex,4,0,4,0.0,unverifiable_predicate
dtest_case_0323,current_local,standard,3,2,1,0.6667,format_error
dtest_case_0324,current_local,standard,3,3,0,1.0,
dtest_case_0325,current_local,complex,3,3,0,1.0,
dtest_case_0326,current_local,standard,2,2,0,1.0,
dtest_case_0327,current_local,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0328,current_local,complex,3,3,0,1.0,
dtest_case_0329,current_local,complex,4,4,0,1.0,
dtest_case_0330,current_local,complex,3,3,0,1.0,
dtest_case_0331,current_local,complex,3,0,3,0.0,timeout
dtest_case_0332,current_local,deep_nesting,3,3,0,1.0,
dtest_case_0333,current_local,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0334,current_local,standard,4,2,2,0.5,format_error
dtest_case_0335,current_local,standard,3,1,2,0.3333,
dtest_case_0336,current_local,deep_nesting,4,4,0,1.0,
dtest_case_0337,current_local,complex,3,1,2,0.3333,timeout
dtest_case_0338,current_local,standard,2,1,1,0.5,timeout
dtest_case_0339,current_local,deep_nesting,4,1,3,0.25,format_error
dtest_case_0340,current_local,standard,3,1,2,0.3333,
dtest_case_0341,current_local,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0342,current_local,complex,3,0,3,0.0,schema_mismatch
dtest_case_0343,current_local,deep_nesting,4,0,4,0.0,format_error
dtest_case_0344,current_local,deep_nesting,4,0,4,0.0,schema_mismatch
dtest_case_0345,current_local,standard,4,4,0,1.0,
dtest_case_0346,current_local,standard,2,2,0,1.0,
dtest_case_0347,current_local,standard,2,2,0,1.0,
dtest_case_0348,current_local,standard,4,2,2,0.5,schema_mismatch
dtest_case_0349,current_local,standard,2,2,0,1.0,
dtest_case_0350,current_local,standard,3,3,0,1.0,
dtest_case_0351,current_local,deep_nesting,4,4,0,1.0,
dtest_case_0352,current_local,standard,3,3,0,1.0,
dtest_case_0353,current_local,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0354,current_local,standard,3,1,2,0.3333,
dtest_case_0355,current_local,standard,3,1,2,0.3333,
dtest_case_0356,current_local,standard,2,2,0,1.0,
dtest_case_0357,current_local,standard,2,1,1,0.5,timeout
dtest_case_0358,current_local,standard,4,1,3,0.25,
dtest_case_0359,current_local,complex,2,1,1,0.5,unverifiable_predicate
dtest_case_0360,current_local,standard,4,3,1,0.75,
dtest_case_0361,current_local,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0362,current_local,standard,4,1,3,0.25,timeout
dtest_case_0363,current_local,complex,3,1,2,0.3333,
dtest_case_0364,current_local,standard,4,1,3,0.25,timeout
dtest_case_0365,current_local,standard,2,1,1,0.5,timeout
dtest_case_0366,current_local,complex,3,2,1,0.6667,unverifiable_predicate
dtest_case_0367,current_local,standard,2,1,1,0.5,
dtest_case_0368,current_local,complex,2,1,1,0.5,schema_mismatch
dtest_case_0000,gpt4,standard,2,0,2,0.0,
dtest_case_0001,gpt4,standard,4,2,2,0.5,
dtest_case_0002,gpt4,standard,3,1,2,0.3333,format_error
dtest_case_0003,gpt4,standard,4,2,2,0.5,schema_mismatch
dtest_case_0004,gpt4,standard,4,1,3,0.25,
dtest_case_0005,gpt4,standard,3,1,2,0.3333,
dtest_case_0006,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0007,gpt4,standard,3,2,1,0.6667,format_error
dtest_case_0008,gpt4,complex,3,3,0,1.0,
dtest_case_0009,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0010,gpt4,complex,2,2,0,1.0,
dtest_case_0011,gpt4,standard,4,2,2,0.5,
dtest_case_0012,gpt4,standard,3,1,2,0.3333,
dtest_case_0013,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0014,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0015,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0016,gpt4,standard,3,3,0,1.0,
dtest_case_0017,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0018,gpt4,standard,3,2,1,0.6667,format_error
dtest_case_0019,gpt4,complex,2,2,0,1.0,
dtest_case_0020,gpt4,standard,3,2,1,0.6667,
dtest_case_0021,gpt4,complex,3,2,1,0.6667,unverifiable_predicate
dtest_case_0022,gpt4,complex,2,1,1,0.5,schema_mismatch
dtest_case_0023,gpt4,standard,2,2,0,1.0,
dtest_case_0024,gpt4,standard,4,4,0,1.0,
dtest_case_0025,gpt4,complex,2,2,0,1.0,
dtest_case_0026,gpt4,standard,2,1,1,0.5,
dtest_case_0027,gpt4,standard,4,4,0,1.0,
dtest_case_0028,gpt4,standard,3,3,0,1.0,
dtest_case_0029,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0030,gpt4,standard,4,4,0,1.0,
dtest_case_0031,gpt4,deep_nesting,2,2,0,1.0,
dtest_case_0032,gpt4,standard,3,1,2,0.3333,
dtest_case_0033,gpt4,standard,4,2,2,0.5,schema_mismatch
dtest_case_0034,gpt4,standard,3,3,0,1.0,
dtest_case_0035,gpt4,deep_nesting,3,0,3,0.0,
dtest_case_0036,gpt4,deep_nesting,3,3,0,1.0,
dtest_case_0037,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0038,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0039,gpt4,standard,4,4,0,1.0,
dtest_case_0040,gpt4,standard,3,3,0,1.0,
dtest_case_0041,gpt4,standard,2,2,0,1.0,
dtest_case_0042,gpt4,complex,4,4,0,1.0,
dtest_case_0043,gpt4,standard,4,2,2,0.5,
dtest_case_0044,gpt4,standard,4,3,1,0.75,
dtest_case_0045,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0046,gpt4,complex,3,2,1,0.6667,format_error
dtest_case_0047,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0048,gpt4,complex,3,2,1,0.6667,timeout
dtest_case_0049,gpt4,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0050,gpt4,standard,2,2,0,1.0,
dtest_case_0051,gpt4,deep_nesting,2,1,1,0.5,
dtest_case_0052,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0053,gpt4,standard,4,1,3,0.25,format_error
dtest_case_0054,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0055,gpt4,complex,3,2,1,0.6667,unverifiable_predicate
dtest_case_0056,gpt4,complex,3,3,0,1.0,
dtest_case_0057,gpt4,deep_nesting,2,2,0,1.0,
dtest_case_0058,gpt4,standard,2,1,1,0.5,
dtest_case_0059,gpt4,deep_nesting,4,1,3,0.25,unverifiable_predicate
dtest_case_0060,gpt4,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0061,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0062,gpt4,complex,2,1,1,0.5,unverifiable_predicate
dtest_case_0063,gpt4,complex,4,3,1,0.75,timeout
dtest_case_0064,gpt4,standard,2,2,0,1.0,
dtest_case_0065,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0066,gpt4,standard,2,2,0,1.0,
dtest_case_0067,gpt4,standard,2,2,0,1.0,
dtest_case_0068,gpt4,standard,3,1,2,0.3333,timeout
dtest_case_0069,gpt4,standard,4,1,3,0.25,format_error
dtest_case_0070,gpt4,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0071,gpt4,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0072,gpt4,deep_nesting,4,1,3,0.25,
dtest_case_0073,gpt4,standard,4,4,0,1.0,
dtest_case_0074,gpt4,standard,4,4,0,1.0,
dtest_case_0075,gpt4,deep_nesting,4,4,0,1.0,
dtest_case_0076,gpt4,standard,2,2,0,1.0,
dtest_case_0077,gpt4,standard,4,2,2,0.5,timeout
dtest_case_0078,gpt4,standard,3,1,2,0.3333,timeout
dtest_case_0079,gpt4,standard,2,2,0,1.0,
dtest_case_0080,gpt4,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0081,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0082,gpt4,standard,2,1,1,0.5,
dtest_case_0083,gpt4,standard,4,2,2,0.5,format_error
